date,open,high,low,close,volume,value,board
2020-10-29,969.0,1053.0,908.0,953.0,210997,201748750.0,TQBR
2020-10-30,955.0,990.0,951.6,955.0,54402,52488207.2,TQBR
2020-11-02,955.0,958.0,952.0,957.0,16599,15857360.4,TQBR
2020-11-03,959.6,959.6,952.0,952.6,8985,8569232.6,TQBR
2020-11-05,959.0,959.0,944.8,952.8,15505,14773301.6,TQBR
2020-11-06,958.2,958.2,950.6,952.0,9682,9228375.4,TQBR
2020-11-09,952.0,954.2,940.6,942.0,14891,14100818.0,TQBR
2020-11-10,940.2,951.0,935.0,950.0,12696,11997319.0,TQBR
2020-11-11,950.8,950.8,940.2,948.0,9998,9441366.0,TQBR
2020-11-12,950.0,950.6,941.0,947.0,3810,3596689.4,TQBR
2020-11-13,947.0,950.0,941.0,947.0,6267,5926348.4,TQBR
2020-11-16,949.8,951.0,941.2,948.4,12746,12077021.4,TQBR
2020-11-17,942.0,950.8,941.2,947.6,5005,4739125.0,TQBR
2020-11-18,948.0,948.0,940.0,947.0,10422,9839649.4,TQBR
2020-11-19,949.6,949.6,942.8,946.2,3687,3487561.0,TQBR
2020-11-20,946.2,949.6,942.2,943.2,3896,3680091.4,TQBR
2020-11-23,949.4,949.6,941.2,946.2,8916,8424947.0,TQBR
2020-11-24,942.4,948.0,941.2,947.8,5497,5182374.8,TQBR
2020-11-25,949.0,950.0,941.2,949.0,14179,13448767.4,TQBR
2020-11-26,948.2,949.6,941.2,945.0,6659,6289686.0,TQBR
2020-11-27,948.8,948.8,941.8,946.8,7648,7219531.0,TQBR
2020-11-30,948.4,948.4,942.2,944.0,2344,2211574.0,TQBR
2020-12-01,942.0,948.4,940.0,945.0,5640,5325458.4,TQBR
2020-12-02,941.4,946.6,941.2,946.0,7150,6746587.4,TQBR
2020-12-03,942.2,946.0,941.2,942.6,6730,6343554.6,TQBR
2020-12-04,941.2,944.0,941.0,943.8,6791,6401970.0,TQBR
2020-12-07,941.6,944.4,933.0,935.6,17152,16093114.2,TQBR
2020-12-08,942.0,942.0,930.0,935.0,5705,5329383.6,TQBR
2020-12-09,940.0,946.0,931.0,940.8,6474,6090387.2,TQBR
2020-12-10,945.0,945.0,935.0,939.0,7900,7424360.8,TQBR
2020-12-11,939.0,943.8,932.0,936.0,2306,2159689.6,TQBR
2020-12-14,940.0,959.4,934.8,952.2,22428,21225385.8,TQBR
2020-12-15,952.0,970.0,932.0,967.0,18436,17530557.2,TQBR
2020-12-16,967.0,967.0,955.6,959.8,18274,17573321.6,TQBR
2020-12-17,963.0,963.0,952.2,954.0,9040,8650160.4,TQBR
2020-12-18,957.6,957.6,935.0,955.0,11896,11238688.4,TQBR
2020-12-21,945.6,953.0,939.0,944.4,19114,18080729.4,TQBR
2020-12-22,941.0,955.0,936.0,950.2,8513,8054303.2,TQBR
2020-12-23,950.4,960.0,949.0,950.0,2543,2421499.2,TQBR
2020-12-24,949.6,953.4,945.8,950.2,2126,2019345.8,TQBR
2020-12-25,947.0,967.0,947.0,959.2,8025,7727366.4,TQBR
2020-12-28,963.6,963.6,950.0,951.0,3280,3125782.2,TQBR
2020-12-29,963.8,963.8,950.0,959.4,3557,3408303.6,TQBR
2020-12-30,960.0,960.0,949.4,958.0,4391,4188221.8,TQBR
2021-01-04,959.4,965.0,951.4,964.8,4049,3883986.4,TQBR
2021-01-05,967.0,967.0,951.4,965.0,5189,4992759.8,TQBR
2021-01-06,962.0,966.6,957.2,962.0,1380,1330089.0,TQBR
2021-01-08,960.4,964.0,956.2,958.0,4322,4146738.2,TQBR
2021-01-11,958.0,966.4,950.0,961.8,6620,6358425.6,TQBR
2021-01-12,962.6,962.6,951.2,956.8,3467,3315831.8,TQBR
2021-01-13,960.4,962.0,950.2,952.0,2556,2441658.0,TQBR
2021-01-14,957.8,960.4,950.4,951.0,1883,1796796.4,TQBR
2021-01-15,951.0,955.8,940.0,951.0,18292,17316325.6,TQBR
2021-01-18,942.6,958.4,942.2,950.6,3044,2895371.6,TQBR
2021-01-19,951.8,972.8,951.0,957.2,10653,10258140.8,TQBR
2021-01-20,957.2,973.4,957.2,960.0,10180,9791229.4,TQBR
2021-01-21,960.0,969.8,950.2,960.6,7198,6899647.4,TQBR
2021-01-22,954.0,960.8,948.0,951.0,8909,8472601.6,TQBR
2021-01-25,950.4,962.4,950.4,957.2,5360,5134203.0,TQBR
2021-01-26,958.0,962.0,951.0,956.0,2074,1982182.2,TQBR
2021-01-27,958.6,961.0,953.6,955.0,3296,3147995.8,TQBR
2021-01-28,954.2,970.0,948.2,960.0,47156,45140485.8,TQBR
