date,open,high,low,close,volume,value,board
2006-06-30,9.5,9.5,9.5,9.5,2900,27550,EQNE
2006-07-03,9.65,9.65,9.65,9.65,100,965,EQNE
2006-07-04,9,9,9,9.0,2800,25200,EQNE
2006-07-24,9.25,9.25,9.25,9.25,100,925,EQNE
2006-09-11,9.15,9.15,9.15,9.15,16400,150060,EQNE
2006-09-13,10,10,10,10.0,1500,15000,EQNE
2006-09-21,10.04,10.04,10.04,10.04,50000,502000,EQNE
2006-10-02,10.01,10.01,10,10.0,1500,15001,EQNE
2006-10-23,10,10,10,10.0,2800,28000,EQNE
2006-10-25,11,11,10,10.0,200,2100,EQNE
2006-11-09,11,11.5,11,11.5,2000,22050,EQNE
2006-11-10,11.5,11.5,11.5,11.5,100,1150,EQNE
2006-11-16,11.4,11.5,11.4,11.5,60800,693500,EQNE
2006-11-28,11.99,13,11.99,13.0,45100,542380,EQNE
2006-12-07,13.5,13.5,13.49,13.49,400,5398,EQNE
2006-12-11,14,14,13.3,13.3,20300,273700,EQNE
2006-12-14,10.02,12,10,12.0,3000,32060,EQNE
2006-12-18,12.99,13.36,12.99,13.36,3000,39640,EQNE
2006-12-26,12.5,12.5,12.5,12.5,500,6250,EQNE
2006-12-29,13.95,14.01,13.95,14.0,40500,567195,EQNE
2007-01-09,14,14,14,14.0,1000,14000,EQNE
2007-01-10,14,14,14,14.0,200,2800,EQNE
2007-01-12,14.5,14.5,14,14.5,6000,86000,EQNE
2007-01-15,15,15,15,15.0,15000,225000,EQNE
2007-01-16,15.6,15.6,15.3,15.3,1100,16860,EQNE
2007-01-18,15.59,15.6,15,15.0,900,13798,EQNE
2007-01-22,15,15,15,15.0,300,4500,EQNE
2007-01-23,15.6,15.6,15.6,15.6,40000,624000,EQNE
2007-01-25,15.8,15.8,15.8,15.8,1300,20540,EQNE
2007-01-26,15.8,15.8,15.8,15.8,1500,23700,EQNE
2007-01-31,15.8,16,15.8,16.0,26800,425360,EQNE
2007-02-05,16.1,16.1,16.1,16.1,10000,161000,EQNE
2007-02-07,16.3,16.3,16.3,16.3,5000,81500,EQNE
2007-02-12,16.3,16.3,15.81,15.81,1000,16153,EQNE
2007-02-14,16.3,16.3,16.3,16.3,200,3260,EQNE
2007-02-15,16.3,16.5,16.3,16.5,74600,1227900,EQNE
2007-02-16,16.7,17,16.7,17.0,15200,253900,EQNE
2007-02-19,16.5,16.5,16.5,16.5,10000,165000,EQNE
2007-02-20,17,17.5,17,17.5,27600,473100,EQNE
2007-02-22,17.5,17.5,17.5,17.5,2200,38500,EQNE
2007-02-26,17.5,17.5,17.5,17.5,1600,28000,EQNE
2007-03-05,15.01,15.01,15.01,15.01,100,1501,EQNE
2007-03-13,17.5,17.5,17.5,17.5,100,1750,EQNE
2007-03-14,15,15.05,15,15.05,300,4510,EQNE
2007-03-15,16,18.4,16,18.4,1100,18320,EQNE
2007-03-28,15,18.4,15,18.4,400,7020,EQNE
2007-04-02,16.53,16.53,16.53,16.53,200,3306,EQNE
2007-04-03,17.5,19.5,17.5,19.5,3700,64950,EQNE
2007-04-04,17,17,16,16.5,12300,198335,EQNE
2007-04-05,16.5,16.9,16.5,16.9,7000,115580,EQNE
2007-04-09,17.88,18,17.88,18.0,300,5388,EQNE
2007-04-10,16.61,16.8,16.25,16.25,45000,737928,EQNE
2007-04-11,16.01,16.01,16.01,16.01,1000,16010,EQNE
2007-04-12,16,16,16,16.0,600,9600,EQNE
2007-04-16,16.01,16.01,16.01,16.01,4200,67242,EQNE
2007-04-17,16.01,16.32,16.01,16.32,6800,110418,EQNE
2007-04-24,16.2,16.2,16.2,16.2,2000,32400,EQNE
2007-04-27,16,16,16,16.0,20300,324800,EQNE
2007-04-28,16.2,16.2,16.2,16.2,200,3240,EQNE
2007-05-02,15,15,15,15.0,7700,115500,EQNE
2007-06-09,10.7,10.7,10.7,10.7,24,256.8,SMAL
2007-06-18,15.5,15.5,15.5,15.5,200,3100,EQNE
2007-06-22,16.5,17,16.5,17.0,200,3350,EQNE
2007-07-04,15.01,15.01,15.01,15.01,300,4503,EQNE
2007-07-20,15.5,15.5,15.5,15.5,5000,77500,EQNE
2007-07-23,14.2,14.21,14.1,14.1,8700,122958,EQNE
2007-07-31,15.99,15.99,15.99,15.99,100,1599,EQNE
2007-08-08,17,17,17,17.0,1500,25500,EQNE
2007-08-15,14.5,14.5,14.5,14.5,200,2900,EQNE
2007-08-22,15,15,15,15.0,4000,60000,EQNE
2007-09-11,14.98,15.11,14.98,15.01,95400,1432026,EQNE
2007-09-25,13.23,14.55,13.18,14.55,3400,47146,EQNE
2007-10-03,15.24,18.9,14.55,18.8,4900,88659,EQNE
