date,open,high,low,close,volume,value,board
2009-12-04,2950,4095,2950,2950.0,80,237145.02,EQNE
2009-12-07,2850,2949.98,2200,2850.0,268,707249.96,EQNE
2009-12-08,2740,2949.99,2740,2949.99,772,2120125.87,EQNE
2009-12-09,2949,2949,2674.5,2949.0,774,2181235.5,EQNE
2009-12-10,2600.01,2949.98,2600,2949.98,11,28950.01,EQNE
2009-12-11,2699.99,2950,2451,2600.0,1845,4986322.22,EQNE
2009-12-14,2756.02,2756.02,2550.01,2709.0,76,205559.12,EQNE
2009-12-15,2710,2949,2710,2949.0,7491,20330149,EQNE
2009-12-16,2950,2950,2725,2750.0,8569,23463344.05,EQNE
2009-12-17,2751,2940,2730,2793.0,8606,23758300,EQNE
2009-12-18,2850,2942.5,2600,2601.0,6885,19753049.5,EQNE
2009-12-21,2640,2860,2640,2860.0,8371,22566324,EQNE
2009-12-22,2629.01,2945.1,2629.01,2945.1,2601,7654787.37,EQNE
2009-12-23,2899,2899,2777,2777.0,3527,10005995,EQNE
2009-12-24,2701,2847,2701,2847.0,2797,7780373.9,EQNE
2009-12-25,2707,2772.5,2707,2757.0,4759,13120563.5,EQNE
2009-12-28,2945,2949,2601,2601.0,262,727102,EQNE
2009-12-29,2949,2950,2555,2950.0,1590,4676784,EQNE
2009-12-30,2949,2949,2651,2655.0,59,164535.03,EQNE
2010-01-11,2650,2950,2650,2950.0,6,17399.97,EQNE
2010-01-12,2500.24,2974,2500.24,2974.0,72,201336.96,EQNE
2010-01-13,2503,2953,2503,2953.0,37,100261,EQNE
2010-01-14,2556,2762,2552,2762.0,45,115209,EQNE
2010-01-15,2760,2947,2760,2947.0,5038,14556365,EQNE
2010-01-18,2948.11,2948.11,2553,2947.0,5368,13920646.02,EQNE
2010-01-19,2950,2950,2949.99,2949.99,2,5899.99,EQNE
2010-01-20,3050,3050,3020,3039.0,5051,15350541.37,EQNE
2010-01-21,2701,2709,2701,2709.0,3484,9427780,EQNE
2010-01-22,2949,2949.9,2949,2949.9,4305,12697528.2,EQNE
2010-01-25,2635,2990,2635,2990.0,2012,5820208,EQNE
2010-01-26,2999,2999.99,2990,2999.99,3528,10567365.98,EQNE
2010-01-27,2950,2970,2940,2970.0,3362,9926360,EQNE
2010-01-28,2800,2860,2755,2860.0,5147,14594805,EQNE
2010-01-29,3000,3000,3000,3000.0,5,15000,EQNE
2010-02-01,2850,2860,2850,2860.0,1697,4844950,EQNE
2010-02-02,2604,2950,2604,2703.0,3501,9470441.38,EQNE
2010-02-03,2650,2675,2650,2670.0,3461,9222760,EQNE
2010-02-04,2670,2670,2530,2605.0,1853,4813045,EQNE
2010-02-05,2900,2900,2567.05,2567.05,3627,10385217.05,EQNE
2010-02-08,2700,2949,2700,2723.0,3514,9557850,EQNE
2010-02-09,2650,2699,2650,2699.0,1832,4924236,EQNE
2010-02-10,2705,2721.01,2705,2721.01,1128,3060285.65,EQNE
2010-02-11,2754,2754,2754,2754.0,1815,4998510,EQNE
2010-02-12,2760,2760,2760,2760.0,3621,9993960,EQNE
2010-02-15,2775,2780,2775,2780.0,5580,15491427,EQNE
2010-02-16,2974,2974,2800,2800.0,3575,10010522,EQNE
2010-02-17,2810,2810,2810,2810.0,7923,22263630,EQNE
2010-02-18,2705,2820,2705,2820.0,3589,10102715,EQNE
2010-02-19,2825,2825,2825,2825.0,2598,7339350,EQNE
2010-02-24,2837,2840,2837,2840.0,3522,9998883,EQNE
2010-02-25,2850,2875,2850,2875.0,1421,4065125,EQNE
2010-02-26,2875,2875,2875,2875.0,213,612375,EQNE
