date,open,high,low,close,volume,value,board
2003-11-04,0.95,1.09,0.95,0.99,124000,123740,EQNE
2003-11-05,0.98,0.98,0.93,0.97,125100,117362,EQNE
2003-11-06,0.94,0.94,0.94,0.94,162500,152750,EQNE
2003-11-10,0.94,0.96,0.94,0.96,30000,28400,EQNE
2003-11-11,1,1.01,0.98,0.98,20000,19909,EQNE
2003-11-12,0.99,0.99,0.94,0.97,219800,212249,EQNE
2003-11-13,0.97,0.97,0.95,0.95,200,192,EQNE
2003-11-14,0.98,0.98,0.98,0.98,12500,12250,EQNE
2003-11-17,0.99,0.99,0.98,0.98,67000,65865,EQNE
2003-11-18,0.96,0.96,0.92,0.94,87800,82129,EQNE
2003-11-19,0.9,0.96,0.89,0.9,630200,585448,EQNE
2003-11-20,0.95,0.96,0.9,0.96,1559100,1420350,EQNE
2003-11-21,0.96,0.96,0.94,0.94,76200,71648,EQNE
2003-11-24,0.92,0.94,0.92,0.94,169500,156020,EQNE
2003-11-25,0.95,0.96,0.92,0.95,149300,139362,EQNE
2003-11-26,0.94,0.94,0.91,0.92,259600,238878,EQNE
2003-11-27,0.93,0.93,0.93,0.93,30600,28458,EQNE
2003-11-28,0.93,0.93,0.91,0.92,790600,726168,EQNE
2003-12-01,0.92,0.94,0.91,0.93,466000,431277,EQNE
2003-12-02,0.94,0.94,0.93,0.94,596800,555198,EQNE
2003-12-03,0.93,0.94,0.92,0.94,379000,356135,EQNE
2003-12-04,0.94,0.94,0.94,0.94,1120000,1052800,EQNE
2003-12-05,0.94,0.94,0.92,0.92,88700,82763,EQNE
2003-12-08,0.93,0.94,0.93,0.93,6100,5674,EQNE
2003-12-09,0.93,0.95,0.93,0.95,991000,926768,EQNE
2003-12-10,0.95,0.95,0.93,0.95,1176200,1115403,EQNE
2003-12-11,0.95,0.96,0.94,0.96,191500,183045,EQNE
2003-12-15,0.95,0.99,0.95,0.99,460500,451850,EQNE
2003-12-16,1,1,0.97,0.99,633400,621478,EQNE
2003-12-17,0.98,0.98,0.97,0.97,116600,113163,EQNE
2003-12-18,0.97,0.97,0.95,0.97,167700,160799,EQNE
2003-12-19,0.97,1,0.97,0.98,843600,833803,EQNE
2003-12-22,0.99,1.02,0.99,1.02,1091000,1100992,EQNE
2003-12-23,1.01,1.03,0.99,1.02,1030900,1044498,EQNE
2003-12-24,1,1.02,0.99,1.01,719400,724218,EQNE
2003-12-25,1,1.01,1,1.01,11000,11100,EQNE
2003-12-26,1.02,1.03,1.01,1.02,663300,677425,EQNE
2003-12-29,1.04,1.05,1.02,1.05,947300,983492,EQNE
2003-12-30,1.05,1.09,1.02,1.06,814900,862687,EQNE
2004-01-05,1.09,1.15,1.06,1.08,2997100,3238236,EQNE
2004-01-06,1.09,1.1,1.07,1.09,1284400,1400417,EQNE
2004-01-08,1.08,1.13,1.08,1.11,1897000,2124682,EQNE
2004-01-09,1.13,1.21,1.13,1.2,8872000,10577650,EQNE
2004-01-12,1.21,1.22,1.18,1.19,2645900,3178521,EQNE
2004-01-13,1.198,1.22,1.167,1.21,3489437,4184628.69,EQNE
2004-01-14,1.2,1.25,1.2,1.231,2373500,2913265.3,EQNE
2004-01-15,1.26,1.28,1.26,1.277,4415000,5628163,EQNE
2004-01-16,1.282,1.389,1.265,1.312,15082700,20178654,EQNE
2004-01-19,1.35,1.374,1.282,1.365,11266700,15244771.8,EQNE
2004-01-20,1.375,1.392,1.351,1.377,9372200,12900182,EQNE
2004-01-21,1.377,1.39,1.355,1.365,8901100,12254071.8,EQNE
2004-01-22,1.36,1.41,1.345,1.395,10242600,14136207.5,EQNE
2004-01-23,1.407,1.421,1.38,1.386,6128600,8624788.8,EQNE
2004-01-26,1.386,1.4,1.35,1.37,9662100,13310968.5,EQNE
2004-01-27,1.353,1.371,1.318,1.364,7261718,9792778.12,EQNE
2004-01-28,1.37,1.395,1.32,1.358,2894100,3907028.9,EQNE
2004-01-29,1.326,1.36,1.326,1.357,1230800,1665312.9,EQNE
2004-01-30,1.337,1.358,1.3,1.339,6003000,7945051.9,EQNE
2004-02-02,1.345,1.348,1.295,1.346,2738800,3636735.8,EQNE
2004-02-03,1.347,1.389,1.347,1.377,7703200,10552646.9,EQNE
2004-02-04,1.39,1.399,1.367,1.373,1923100,2655658.4,EQNE
2004-02-05,1.355,1.37,1.33,1.339,5620100,7543096.8,EQNE
2004-02-06,1.335,1.34,1.3,1.331,668400,891091.4,EQNE
2004-02-09,1.33,1.37,1.33,1.36,2811900,3805208.5,EQNE
2004-02-10,1.36,1.379,1.343,1.355,8024400,10960186.3,EQNE
2004-02-11,1.37,1.375,1.352,1.37,5639300,7724862.4,EQNE
2004-02-12,1.363,1.38,1.361,1.375,5050500,6928886.5,EQNE
2004-02-13,1.373,1.389,1.37,1.37,5881700,8113396.3,EQNE
2004-02-16,1.38,1.475,1.38,1.455,15670100,22617848.3,EQNE
2004-02-17,1.45,1.489,1.42,1.46,3818000,5570371.2,EQNE
2004-02-18,1.46,1.554,1.455,1.514,10153400,15286197.8,EQNE
2004-02-19,1.495,1.523,1.468,1.509,4565900,6831826.4,EQNE
2004-02-20,1.52,1.53,1.485,1.53,12047500,18247801.8,EQNE
2004-02-24,1.55,1.58,1.478,1.478,13910000,20898265.3,EQNE
2004-02-25,1.474,1.51,1.45,1.451,13139000,19350609.8,EQNE
2004-02-26,1.452,1.48,1.45,1.455,5968500,8703196.4,EQNE
2004-02-27,1.469,1.469,1.45,1.46,2489000,3627797.8,EQNE
2004-03-01,1.455,1.475,1.45,1.47,7839900,11480788.4,EQNE
2004-03-02,1.515,1.515,1.44,1.455,11095500,16248094.7,EQNE
2004-03-03,1.455,1.455,1.374,1.387,6935400,9760415.8,EQNE
2004-03-04,1.4,1.428,1.357,1.41,8057100,11111917,EQNE
2004-03-05,1.41,1.473,1.41,1.411,13105400,18616409.9,EQNE
2004-03-09,1.42,1.425,1.38,1.397,5006600,7070424.8,EQNE
2004-03-10,1.396,1.415,1.385,1.4,3831300,5371467.7,EQNE
2004-03-11,1.4,1.4,1.323,1.345,4574700,6150583.5,EQNE
2004-03-12,1.355,1.358,1.322,1.35,2924100,3934210,EQNE
2004-03-15,1.35,1.352,1.33,1.335,2134000,2868255.3,EQNE
2004-03-16,1.335,1.376,1.335,1.369,3909100,5311911.8,EQNE
2004-03-17,1.358,1.44,1.358,1.425,4487100,6289306.6,EQNE
2004-03-18,1.405,1.451,1.391,1.44,19761700,28334267.6,EQNE
2004-03-19,1.44,1.457,1.426,1.449,2316100,3326127,EQNE
2004-03-22,1.433,1.45,1.41,1.44,8127100,11634771.3,EQNE
2004-03-23,1.425,1.45,1.425,1.44,3428200,4932188.3,EQNE
2004-03-24,1.431,1.442,1.4,1.42,3819600,5435257.7,EQNE
2004-03-25,1.422,1.45,1.41,1.412,2783300,3997717.4,EQNE
2004-03-26,1.427,1.463,1.42,1.44,8405100,12124319.2,EQNE
2004-03-29,1.45,1.463,1.43,1.454,3356600,4874981,EQNE
2004-03-30,1.455,1.485,1.446,1.45,5655400,8312162.5,EQNE
2004-03-31,1.47,1.47,1.44,1.453,2672400,3888460.8,EQNE
2004-04-01,1.43,1.49,1.43,1.49,8349200,12365349.4,EQNE
2004-04-02,1.493,1.51,1.481,1.486,19797100,29563984.7,EQNE
2004-04-05,1.487,1.548,1.487,1.531,17241200,26326049.8,EQNE
2004-04-06,1.533,1.55,1.488,1.5,12693700,19204717.8,EQNE
2004-04-07,1.49,1.542,1.487,1.518,4728800,7195071.7,EQNE
2004-04-08,1.524,1.53,1.515,1.525,6507900,9903682,EQNE
2004-04-09,1.521,1.525,1.5,1.52,4523600,6851518.6,EQNE
2004-04-12,1.528,1.536,1.516,1.516,3277700,4999742.5,EQNE
2004-04-13,1.513,1.524,1.49,1.49,7287300,10968026.7,EQNE
2004-04-14,1.486,1.49,1.43,1.44,10488600,15322752.7,EQNE
