date,open,high,low,close,volume,value,board
2006-12-05,4.5,4.5,3.8,3.8,200,830,EQNE
2007-02-07,5.5,5.5,3.55,5.497,169200,905914.8,EQNE
2007-02-09,4.5,5.19,4.5,5.0,205500,949785.2,EQNE
2007-02-12,5.1,5.1,5.1,5.1,3000,15300,EQNE
2007-02-13,4.701,5.099,4.701,5.099,200,980,EQNE
2007-02-14,4.501,4.501,4.3,4.501,20300,87351.1,EQNE
2007-02-15,4.51,4.997,4.301,4.997,15000,67403.1,EQNE
2007-02-16,4.331,4.42,4.331,4.41,81700,360063.9,EQNE
2007-02-19,4.799,6.09,4.799,5.164,167600,843154.5,EQNE
2007-02-20,4.701,4.99,4.7,4.99,29900,143401.1,EQNE
2007-02-21,4.999,5,4.601,4.601,800,3929.9,EQNE
2007-02-22,4.75,4.95,4.6,4.95,47800,220703.6,EQNE
2007-02-26,4.96,5.33,4.55,4.9,121500,558636.9,EQNE
2007-02-27,4.95,5,4.5,4.74,39100,181433.5,EQNE
2007-02-28,4.6,4.6,4.15,4.37,51600,216589,EQNE
2007-03-01,4.301,4.697,4.11,4.697,35900,149566.3,EQNE
2007-03-02,4.19,4.5,4.19,4.2,2100,8840,EQNE
2007-03-06,4.697,4.697,4.697,4.697,100,469.7,EQNE
2007-03-13,4.2,4.2,4,4.06,67000,268575.4,EQNE
2007-03-14,4.5,4.5,4.5,4.5,400,1800,EQNE
2007-03-19,4.5,4.78,4.1,4.1,2200,9926.8,EQNE
2007-03-20,4.5,4.5,4.499,4.499,15800,71095,EQNE
2007-03-21,4.161,4.161,4.16,4.16,4100,17056.5,EQNE
2007-03-23,4.499,4.5,4.499,4.5,200,899.9,EQNE
2007-03-27,4.11,4.11,4.11,4.11,1000,4110,EQNE
2007-03-30,4.1,4.1,4.1,4.1,100,410,EQNE
2007-04-05,4.101,4.87,4.101,4.298,30300,126327,EQNE
2007-04-10,4.298,4.298,4,4.0,300,1229.8,EQNE
2007-04-11,5.015,5.015,5.015,5.015,2500,12537.5,EQNE
2007-04-16,4.641,4.641,4.271,4.305,8700,37504.5,EQNE
2007-04-17,4.301,4.301,4.301,4.301,2000,8602,EQNE
2007-04-19,4.01,4.01,4,4.0,38000,152012,EQNE
2007-04-20,3.51,3.51,3.51,3.51,7200,25272,EQNE
2007-04-24,3.8,4.1,3.8,4.1,1900,7510,EQNE
2007-05-02,4.2,4.65,4.2,4.65,122800,570069,EQNE
2007-05-10,3.66,4.399,3.66,4.399,200,805.9,EQNE
2007-05-11,3.95,4.4,3.95,4.2,26400,104382.1,EQNE
2007-05-15,3.951,3.951,3.951,3.951,2100,8297.1,EQNE
2007-05-16,3.982,3.982,3.971,3.971,200,795.3,EQNE
2007-05-18,3.951,4.2,3.951,4.05,32800,137130,EQNE
2007-05-21,4.15,4.15,4.148,4.148,300,1244.7,EQNE
2007-05-22,4.25,4.25,4.25,4.25,100,425,EQNE
2007-05-23,4.15,4.15,4.15,4.15,6700,27805,EQNE
2007-05-24,4.49,4.49,4.39,4.39,200,888,EQNE
2007-05-25,4.475,4.475,4.475,4.475,100,447.5,EQNE
2007-05-29,4.27,4.27,4.26,4.27,127000,542288,EQNE
2007-05-30,4.25,4.25,4.25,4.25,10000,42500,EQNE
2007-05-31,4.28,4.28,4.28,4.28,203700,871836,EQNE
2007-06-05,4.25,4.33,4.2,4.33,17100,72742,EQNE
2007-06-06,4.33,4.33,4.26,4.26,600,2577,EQNE
2007-06-07,4.26,4.26,4.26,4.26,10000,42600,EQNE
2007-06-08,4.25,4.32,4.21,4.32,30200,129014,EQNE
2007-06-09,4.65,4.65,4.27,4.27,13200,58459.9,EQNE
2007-06-13,4.699,4.699,4.15,4.34,4900,20978.9,EQNE
2007-06-14,4.32,4.4,4.32,4.4,1200,5203,EQNE
2007-06-15,4.1,4.4,4.051,4.399,44800,196987.9,EQNE
2007-06-19,3.9,4.34,3.9,4.34,7600,31205,EQNE
2007-06-20,4.33,4.4,4.19,4.4,9400,40083,EQNE
2007-06-21,4.3,4.44,4.25,4.44,10700,46046.5,EQNE
2007-06-22,4.42,4.42,4.3,4.4,1800,7874,EQNE
2007-06-25,4.41,4.41,4.3,4.4,500,2176,EQNE
