date,open,high,low,close,volume,value,board
2008-09-12,1.09,1.09,1.09,1.09,100,109.0,EQNE
2008-11-05,1.09,1.09,1.09,1.09,100,109.0,EQNE
2008-12-25,0.7,0.7,0.7,0.7,100,70.0,EQNE
2009-01-12,0.692,0.692,0.42,0.42,11600,5835.2,EQNE
2009-01-13,0.252,0.5,0.252,0.5,700,207.5,EQNE
2009-01-14,0.301,0.55,0.301,0.55,13100,7080.5,EQNE
2009-02-02,0.35,0.35,0.35,0.35,100,35.0,EQNE
2009-02-27,0.37,0.37,0.37,0.37,400,148.0,EQNE
2009-03-06,0.38,0.38,0.38,0.38,100,38.0,EQNE
2009-03-16,0.35,0.35,0.35,0.35,200,70.0,EQNE
2009-03-17,0.333,0.342,0.314,0.342,300,98.9,EQNE
2009-03-31,0.399,0.399,0.399,0.399,100,39.9,EQNE
2009-04-07,0.385,0.385,0.385,0.385,200,77.0,EQNE
2009-04-08,0.395,0.395,0.395,0.395,100,39.5,EQNE
2009-04-09,0.4,0.4,0.277,0.36,19500,6646.7,EQNE
2009-04-13,0.39,0.39,0.39,0.39,100,39.0,EQNE
2009-04-15,0.35,0.35,0.35,0.35,3700,1295.0,EQNE
2009-04-17,0.4,0.4,0.35,0.35,7500,2650.0,EQNE
2009-04-23,0.321,0.384,0.301,0.384,4700,1525.6,EQNE
2009-04-24,0.39,0.39,0.39,0.39,17000,6630.0,EQNE
2009-04-27,0.316,0.316,0.316,0.316,1000,316.0,EQNE
2009-04-30,0.389,0.4,0.389,0.399,107200,42716.7,EQNE
2009-05-06,0.366,0.366,0.366,0.366,109200,39967.2,EQNE
2009-05-08,0.365,0.366,0.365,0.366,500,182.8,EQNE
2009-05-12,0.366,0.366,0.366,0.366,300,109.8,EQNE
2009-05-13,0.366,0.366,0.366,0.366,10000,3660.0,EQNE
2009-05-14,0.35,0.35,0.35,0.35,100,35.0,EQNE
2009-05-18,0.301,0.35,0.3,0.349,1500,460.6,EQNE
2009-05-19,0.35,0.365,0.35,0.35,63400,22191.5,EQNE
2009-05-20,0.35,0.366,0.35,0.366,159800,58400.8,EQNE
2009-05-21,0.228,0.367,0.22,0.33,713100,213205.0,EQNE
2009-05-22,0.33,0.338,0.33,0.338,2000,671.2,EQNE
2009-05-25,0.34,0.34,0.31,0.34,25400,8536.0,EQNE
2009-05-26,0.333,0.333,0.3,0.33,2200,681.9,EQNE
2009-05-27,0.264,0.365,0.264,0.365,133000,42973.5,EQNE
2009-05-28,0.326,0.357,0.326,0.357,5100,1665.7,EQNE
2009-05-29,0.302,0.304,0.302,0.304,10700,3237.8,EQNE
2009-06-01,0.326,0.327,0.325,0.326,8500,2773.2,EQNE
2009-06-03,0.325,0.334,0.325,0.334,5800,1885.9,EQNE
2009-06-05,0.29,0.317,0.29,0.303,14200,4156.0,EQNE
2009-06-09,0.308,0.376,0.308,0.376,24500,8491.8,EQNE
2009-06-10,0.303,0.375,0.3,0.375,24600,7420.0,EQNE
2009-06-15,0.304,0.333,0.301,0.333,160200,49310.9,EQNE
2009-06-16,0.349,0.349,0.349,0.349,800,279.2,EQNE
2009-06-17,0.331,0.331,0.331,0.331,100,33.1,EQNE
2009-06-19,0.303,0.303,0.301,0.301,13000,3937.9,EQNE
2009-06-25,0.366,0.366,0.366,0.366,100,36.6,EQNE
2009-06-30,0.371,0.371,0.3,0.3,24400,7333.8,EQNE
2009-07-06,0.282,0.291,0.27,0.291,11400,3159.5,EQNE
2009-07-07,0.279,0.28,0.277,0.278,37400,10423.0,EQNE
2009-07-08,0.26,0.26,0.167,0.167,60900,13505.7,EQNE
2009-07-09,0.269,0.28,0.269,0.28,400,109.8,EQNE
2009-07-10,0.28,0.28,0.28,0.28,200,56.0,EQNE
2009-07-20,0.298,0.33,0.298,0.33,30700,10094.4,EQNE
2009-07-23,0.308,0.31,0.308,0.308,60000,18580.0,EQNE
2009-07-24,0.308,0.308,0.308,0.308,38400,11827.2,EQNE
2009-07-28,0.305,0.305,0.3,0.3,57700,17338.1,EQNE
2009-07-29,0.301,0.301,0.301,0.301,100,30.1,EQNE
2009-07-31,0.326,0.33,0.326,0.33,200,65.6,EQNE
2009-08-03,0.302,0.302,0.3,0.3,11100,3346.3,EQNE
2009-08-13,0.303,0.303,0.303,0.303,100,30.3,EQNE
2009-08-17,0.26,0.326,0.26,0.326,900,240.6,EQNE
2009-08-19,0.343,0.343,0.341,0.341,400,137.0,EQNE
2009-08-21,0.31,0.311,0.31,0.311,6600,2046.1,EQNE
2009-08-24,0.31,0.343,0.31,0.343,600,189.3,EQNE
2009-08-25,0.31,0.376,0.31,0.376,68800,25207.8,EQNE
2009-08-26,0.377,0.526,0.377,0.51,48800,18963.7,EQNE
2009-08-28,0.385,0.402,0.376,0.4,448000,178852.9,EQNE
2009-08-31,0.399,0.399,0.349,0.399,25800,9532.3,EQNE
2009-09-01,0.399,0.399,0.3,0.307,146600,46093.2,EQNE
2009-09-02,0.319,0.342,0.307,0.342,10000,3149.9,EQNE
2009-09-03,0.307,0.326,0.307,0.32,11400,3577.4,EQNE
2009-09-04,0.336,0.34,0.31,0.311,104400,35325.9,EQNE
2009-09-08,0.312,0.315,0.311,0.311,14800,4643.0,EQNE
2009-09-09,0.33,0.33,0.311,0.311,6700,2099.3,EQNE
