date,open,high,low,close,volume,value,board
2005-05-14,420.0,420.1,418.0,420.1,1200,502555.0,EQNL
2005-05-18,415.0,415.0,415.0,415.0,100,41500.0,EQNL
2005-06-03,424.0,424.5,424.0,424.5,2700,1144850.0,EQNL
2005-06-06,422.0,425.0,422.0,422.0,2200,928700.0,EQNL
2005-06-07,425.0,426.0,425.0,426.0,600,255100.0,EQNL
2005-06-08,421.0,421.0,421.0,421.0,400,168400.0,EQNL
2005-06-09,420.0,420.0,420.0,420.0,400,168000.0,EQNL
2005-06-10,419.0,419.0,416.0,416.0,1700,708600.0,EQNL
2005-06-14,416.0,416.0,416.0,416.0,100,41600.0,EQNL
2005-06-16,416.0,416.0,416.0,416.0,100,41600.0,EQNL
2005-06-20,417.0,417.0,405.0,405.0,600,244200.0,EQNL
2005-06-28,408.0,408.0,408.0,408.0,800,326400.0,EQNL
2005-06-30,410.0,410.0,410.0,410.0,600,246000.0,EQNL
2005-07-05,413.0,413.0,410.0,412.0,4000,1645000.0,EQNL
2005-07-07,413.0,413.0,413.0,413.0,100,41300.0,EQNL
2005-07-08,419.0,419.0,419.0,419.0,500,209500.0,EQNL
2005-07-11,420.0,420.0,420.0,420.0,200,84000.0,EQNL
2005-07-12,419.5,426.0,419.5,426.0,1700,715700.0,EQNL
2005-07-13,422.0,426.0,422.0,426.0,1400,594000.0,EQNL
2005-07-14,425.5,425.5,425.5,425.5,2100,893550.0,EQNL
2005-07-15,427.5,431.5,427.0,431.5,11700,5020050.0,EQNL
2005-07-18,430.0,433.0,430.0,431.0,5000,2160000.0,EQNL
2005-07-19,430.0,430.5,429.0,430.5,1500,645300.0,EQNL
2005-07-20,432.0,442.0,432.0,440.0,32800,14414884.0,EQNL
2005-07-21,442.0,450.0,442.0,444.0,5700,2549205.0,EQNL
2005-07-22,452.0,474.0,451.0,473.0,50500,23419158.0,EQNL
2005-07-25,475.0,488.0,474.01,474.01,6800,3249401.0,EQNL
2005-07-28,458.0,473.99,458.0,473.99,300,140598.0,EQNL
2005-07-29,470.0,470.0,460.03,460.03,200,93003.0,EQNL
2005-08-01,470.0,480.0,470.0,480.0,1100,527000.0,EQNL
2005-08-02,480.0,499.0,461.05,479.0,9800,4704305.0,EQNL
2005-08-03,485.0,485.0,480.0,480.0,6500,3151500.0,EQNL
2005-08-04,486.0,486.0,485.0,485.0,2400,1165000.0,EQNL
2005-08-05,497.0,499.0,486.0,499.0,1300,641300.0,EQNL
2005-08-08,484.0,500.0,480.0,480.0,5200,2553101.0,EQNL
2005-08-09,487.0,499.0,487.0,487.0,7200,3507600.0,EQNL
2005-08-11,475.0,476.0,465.0,465.0,2500,1185100.0,EQNL
2005-08-12,461.0,461.0,455.0,460.0,2500,1141100.0,EQNL
2005-08-15,460.0,460.5,459.0,459.85,27800,12782690.0,EQNL
2005-08-16,475.0,500.0,465.01,472.0,10900,5276090.0,EQNL
2005-08-17,468.5,499.0,468.0,468.0,4600,2200150.0,EQNL
2005-08-18,455.05,480.0,452.01,480.0,4900,2318306.0,EQNL
2005-08-19,473.0,480.0,473.0,473.0,2800,1331398.0,EQNL
2005-08-22,474.0,474.0,474.0,474.0,500,237000.0,EQNL
2005-08-23,460.01,478.0,460.01,470.0,2500,1181401.0,EQNL
2005-08-24,469.0,478.0,469.0,470.0,19900,9377300.0,EQNL
2005-08-25,479.99,480.0,469.0,469.0,1400,659899.0,EQNL
2005-08-26,469.0,469.0,469.0,469.0,2000,938000.0,EQNL
2005-08-29,467.0,469.0,467.0,467.0,1200,562399.0,EQNL
2005-08-30,469.0,471.0,469.0,470.0,2500,1175000.0,EQNL
2005-08-31,469.0,470.0,461.0,469.0,1300,609000.0,EQNL
2005-09-01,468.7,468.71,468.0,468.0,3300,1546361.0,EQNL
2005-09-02,465.23,465.23,465.22,465.22,300,139567.0,EQNL
2005-09-05,466.0,466.0,465.0,465.0,1300,604602.0,EQNL
2005-09-07,452.0,480.0,452.0,479.0,5700,2704770.0,EQNL
2005-09-08,468.0,479.99,468.0,479.99,200,94799.0,EQNL
2005-09-09,476.49,476.49,476.49,476.49,100,47649.0,EQNL
2005-09-12,466.0,466.0,466.0,466.0,200,93200.0,EQNL
2005-09-14,481.98,481.99,481.98,481.99,1000,481988.0,EQNL
2005-09-15,488.0,488.0,488.0,488.0,200,97600.0,EQNL
2005-09-16,489.0,498.99,481.0,481.0,1200,592499.0,EQNL
2005-09-19,499.0,499.95,499.0,499.95,400,199790.0,EQNL
2005-09-20,500.0,515.0,500.0,510.5,2300,1170250.0,EQNL
2005-09-21,515.0,522.11,515.0,520.0,1500,779722.0,EQNL
2005-09-22,520.0,537.0,520.0,535.0,700,371800.0,EQNL
2005-09-23,520.0,534.0,510.0,530.0,4200,2194400.0,EQNL
2005-09-26,521.0,521.0,507.0,507.0,1200,621500.0,EQNL
2005-09-27,525.0,550.0,510.0,550.0,9000,4867395.0,EQNL
2005-09-28,554.89,560.0,554.89,555.0,1000,556478.0,EQNL
2005-09-29,555.01,555.01,533.0,533.0,2600,1411001.0,EQNL
2005-09-30,540.0,552.0,525.0,543.0,1700,921500.0,EQNL
2005-10-03,543.0,660.0,543.0,580.0,12000,6783844.0,EQNL
2005-10-04,565.0,570.0,565.0,570.0,1500,852500.0,EQNL
2005-10-05,550.01,599.98,541.0,599.98,5600,3185679.0,EQNL
2005-10-06,524.0,594.0,524.0,590.0,900,512200.0,EQNL
2005-10-07,590.0,600.0,590.0,600.0,3300,1957000.0,EQNL
2005-10-10,569.0,598.0,569.0,589.0,2300,1342200.0,EQNL
2005-10-11,541.05,595.0,541.05,575.0,3200,1837210.0,EQNL
2005-10-12,555.0,570.0,555.0,570.0,600,340100.0,EQNL
2005-10-13,546.5,555.0,545.0,545.0,800,438123.0,EQNL
2005-10-14,555.0,559.0,532.0,532.0,500,273700.0,EQNL
2005-10-18,565.0,593.0,565.0,593.0,2000,1151600.0,EQNL
2005-10-19,531.01,531.01,519.0,520.0,2300,1199266.0,EQNL
2005-10-20,537.9,559.0,521.0,540.0,1400,756790.0,EQNL
2005-10-21,520.01,520.01,520.0,520.0,300,156001.0,EQNL
2005-10-26,527.0,537.0,510.0,510.0,4800,2497873.0,EQNL
2005-10-31,488.0,570.0,487.0,570.0,15600,8299837.0,EQNL
2005-11-01,563.95,563.95,506.06,506.06,200,107001.0,EQNL
2005-11-02,559.95,559.95,559.95,559.95,100,55995.0,EQNL
2005-11-10,520.0,520.0,510.11,513.0,2000,1032054.0,EQNL
2005-11-11,505.04,505.04,505.04,505.04,100,50504.0,EQNL
2005-11-14,529.99,529.99,529.99,529.99,100,52999.0,EQNL
2005-11-15,526.0,526.0,507.01,507.01,1100,561718.0,EQNL
2005-11-16,519.0,519.0,519.0,519.0,100,51900.0,EQNL
2005-11-17,524.9,534.9,505.0,534.0,1800,950448.0,EQNL
2005-11-18,520.0,538.99,520.0,538.99,2500,1326249.0,EQNL
2005-11-21,537.99,538.0,533.0,533.0,800,429899.0,EQNL
2005-11-22,540.0,540.0,500.11,510.0,13000,6665753.0,EQNL
2005-11-23,519.9,525.0,500.0,500.0,3800,1936760.0,EQNL
2005-11-24,514.5,514.5,495.0,495.0,400,203400.0,EQNL
2005-11-25,500.0,500.0,500.0,500.0,100,50000.0,EQNL
2005-11-28,500.0,509.9,500.0,500.0,1400,701610.0,EQNL
2005-11-29,500.0,502.0,500.0,500.0,4000,2001150.0,EQNL
2005-11-30,499.0,500.0,499.0,500.0,500,249800.0,EQNL
2005-12-01,500.0,500.0,495.0,497.0,1200,597370.0,EQNL
2005-12-02,495.0,496.0,495.0,495.0,700,346600.0,EQNL
2005-12-07,501.99,502.0,492.11,492.11,1600,799231.0,EQNL
2005-12-09,500.0,507.0,500.0,507.0,400,201400.0,EQNL
2005-12-12,500.0,500.0,500.0,500.0,100,50000.0,EQNL
2005-12-13,490.03,490.03,490.01,490.01,300,147006.0,EQNL
2005-12-14,498.99,500.0,484.0,484.0,682,334810.55,EQNL
2005-12-15,499.0,499.0,482.02,493.0,549,268314.72,EQNL
2005-12-16,492.5,492.5,490.0,490.0,206,100955.0,EQNL
2005-12-19,490.0,490.0,481.06,482.0,312,150782.25,EQNL
2005-12-20,490.0,490.0,487.0,487.0,111,54354.0,EQNL
2005-12-21,492.0,492.0,484.0,489.99,795,387010.0,EQNL
2005-12-22,498.8,503.0,487.0,487.0,501,247960.1,EQNL
2005-12-23,491.01,503.0,490.0,502.89,427,212425.03,EQNL
2005-12-26,503.0,503.0,495.0,501.0,3264,1632546.2,EQNL
2005-12-27,500.99,500.99,500.0,500.99,3550,1775049.5,EQNL
2005-12-28,501.0,501.0,496.5,500.5,215,107606.99,EQNL
2005-12-29,500.5,519.0,500.0,514.0,101,51615.0,EQNL
2005-12-30,514.98,524.0,514.98,523.89,1361,710668.9,EQNL
2006-01-10,523.9,523.9,505.15,515.8,2218,1144235.2,EQNL
2006-01-11,510.18,525.0,510.15,524.0,2859,1478449.8,EQNL
2006-01-12,530.0,568.0,524.0,536.0,6833,3657302.52,EQNL
2006-01-13,525.11,554.0,525.11,542.01,3954,2153133.81,EQNL
2006-01-16,544.0,563.0,543.0,563.0,12498,6852146.82,EQNL
2006-01-17,566.9,570.0,550.03,555.05,3475,1933841.12,EQNL
2006-01-18,555.0,640.0,555.0,612.0,21619,13219130.38,EQNL
2006-01-19,625.0,625.0,600.0,616.0,24707,15171390.07,EQNL
2006-01-20,578.5,630.0,578.5,617.9,6038,3738186.16,EQNL
2006-01-23,624.0,625.0,605.01,617.0,5768,3567135.24,EQNL
2006-01-24,608.0,617.0,606.0,613.0,755,463006.05,EQNL
2006-01-25,606.0,618.0,606.0,618.0,1015,621374.9,EQNL
2006-01-26,610.0,621.7,610.0,612.0,3039,1876073.72,EQNL
2006-01-27,613.0,622.1,610.0,610.0,2131,1318204.85,EQNL
2006-01-30,622.0,622.0,600.0,600.0,4626,2794263.66,EQNL
2006-01-31,601.01,608.81,580.0,588.84,5342,3158161.77,EQNL
2006-02-01,586.0,596.0,578.5,578.5,14381,8402699.95,EQNL
2006-02-02,575.0,595.0,575.0,583.0,608,354832.87,EQNL
2006-02-03,584.6,606.0,584.5,596.0,17614,10468447.65,EQNL
2006-02-06,594.0,601.0,591.5,601.0,5126,3054439.56,EQNL
2006-02-07,601.0,645.0,600.0,624.0,22938,14341054.48,EQNL
2006-02-08,633.0,758.99,624.0,719.0,61668,43610899.08,EQNL
2006-02-09,697.5,733.88,675.0,685.0,22386,15563034.15,EQNL
2006-02-10,675.0,692.0,665.0,668.0,10764,7291304.07,EQNL
2006-02-13,667.94,700.0,660.0,690.0,17899,12154558.28,EQNL
2006-02-14,691.0,703.24,680.01,700.0,15681,10900146.46,EQNL
2006-02-15,701.0,707.0,694.01,694.5,6683,4656550.01,EQNL
2006-02-16,695.0,699.98,681.2,685.0,11058,7665519.44,EQNL
2006-02-17,694.95,695.0,685.02,693.0,5895,4068827.64,EQNL
2006-02-20,703.0,717.0,694.2,700.0,6079,4258065.92,EQNL
2006-02-21,700.0,700.0,655.0,664.5,29403,19719381.26,EQNL
2006-02-22,664.69,690.0,660.0,685.0,10340,6975916.69,EQNL
2006-02-26,683.0,687.95,673.03,680.0,5411,3681268.22,EQNL
2006-02-27,681.0,688.1,662.0,680.01,6677,4524637.38,EQNL
2006-02-28,675.0,679.0,665.0,667.0,11683,7854495.0,EQNL
2006-03-01,665.0,678.91,660.0,677.91,4900,3271261.54,EQNL
2006-03-02,675.0,679.99,665.0,679.99,3278,2196133.07,EQNL
2006-03-03,679.99,684.0,671.01,680.5,1509,1024137.93,EQNL
2006-03-06,680.0,719.0,680.0,706.0,25644,18076996.34,EQNL
2006-03-07,712.0,712.0,675.0,675.0,7617,5218415.44,EQNL
2006-03-09,667.0,667.0,655.1,664.9,5564,3682926.48,EQNL
2006-03-10,664.9,673.0,631.0,655.0,8092,5295686.02,EQNL
2006-03-13,662.0,674.9,655.0,659.99,10079,6653393.26,EQNL
2006-03-14,666.5,666.5,645.0,658.0,7946,5161053.44,EQNL
2006-03-15,658.0,658.0,637.3,645.51,2571,1666110.65,EQNL
2006-03-16,640.0,674.0,640.0,658.0,3880,2601282.32,EQNL
2006-03-17,670.0,670.0,650.1,668.0,2147,1428525.23,EQNL
2006-03-20,668.0,681.0,652.03,655.0,2418,1598966.34,EQNL
2006-03-21,658.9,665.0,655.0,655.0,1890,1245227.17,EQNL
2006-03-22,661.97,661.97,650.0,655.0,921,602756.31,EQNL
2006-03-23,662.45,665.1,660.0,664.8,3405,2261333.23,EQNL
2006-03-24,665.0,670.0,656.1,669.0,3348,2237567.83,EQNL
2006-03-27,669.9,670.7,668.0,669.0,996,666780.0,EQNL
2006-03-28,669.97,674.44,662.1,668.0,1158,773238.75,EQNL
2006-03-29,660.0,668.0,660.0,665.0,361,238842.0,EQNL
2006-03-30,661.0,663.0,656.0,660.0,211,138832.16,EQNL
2006-03-31,660.0,666.0,660.0,662.0,152,100946.13,EQNL
2006-04-03,660.0,668.0,660.0,662.0,931,618984.6,EQNL
2006-04-04,669.0,669.0,655.0,669.0,2890,1919855.0,EQNL
2006-04-05,663.13,683.99,663.11,682.0,4694,3184076.38,EQNL
2006-04-06,683.99,693.0,665.0,667.0,4209,2830952.88,EQNL
2006-04-07,665.0,675.0,664.0,672.0,3553,2371549.83,EQNL
2006-04-10,670.0,675.0,666.5,666.59,2239,1494621.42,EQNL
2006-04-11,680.4,680.4,660.0,662.01,6127,4068782.3,EQNL
2006-04-12,666.0,668.0,662.2,663.5,551,367111.2,EQNL
2006-04-13,669.0,670.0,664.01,664.01,811,540386.9,EQNL
2006-04-14,660.01,670.0,660.01,669.0,1240,824834.99,EQNL
2006-04-17,670.0,670.0,665.0,665.51,1492,993653.43,EQNL
2006-04-18,666.0,674.9,660.0,662.1,5305,3520035.97,EQNL
2006-04-19,664.01,676.0,662.0,670.0,2305,1542679.31,EQNL
2006-04-20,670.0,676.0,630.0,665.0,1946,1289775.97,EQNL
2006-04-21,668.9,677.0,668.0,677.0,1829,1225113.7,EQNL
2006-04-24,675.0,680.0,667.01,668.0,634,427261.1,EQNL
2006-04-25,668.0,680.0,668.0,674.0,1803,1217920.0,EQNL
2006-04-26,680.0,680.0,664.0,678.5,1473,996037.66,EQNL
2006-04-27,680.0,680.0,654.0,654.0,2243,1506246.7,EQNL
2006-04-28,670.0,679.9,655.0,679.9,1587,1067674.82,EQNL
2006-05-02,676.0,683.0,657.12,657.12,5707,3861606.55,EQNL
2006-05-03,662.01,679.0,660.0,665.0,1354,897599.44,EQNL
2006-05-04,661.2,669.99,661.01,661.05,901,598155.07,EQNL
2006-05-05,669.9,675.0,663.0,663.01,850,567757.38,EQNL
2006-05-06,665.01,670.0,660.01,670.0,1181,784104.54,EQNL
2006-05-10,660.1,665.0,655.0,662.0,3356,2205864.13,EQNL
2006-05-11,664.0,668.0,648.0,655.0,3215,2108569.15,EQNL
2006-05-12,652.0,652.0,645.15,645.15,3911,2535617.93,EQNL
2006-05-15,649.0,649.0,610.0,620.0,4154,2641945.63,EQNL
2006-05-16,626.0,626.0,585.0,595.0,5940,3569245.8,EQNL
2006-05-17,605.0,610.0,596.0,600.0,13682,8221870.5,EQNL
2006-05-18,590.0,619.88,570.0,619.88,2570,1534045.86,EQNL
2006-05-19,618.0,618.0,575.11,600.0,1477,876675.91,EQNL
2006-05-22,600.0,600.0,451.0,560.0,2825,1532819.12,EQNL
2006-05-23,589.0,589.0,452.0,579.95,1879,1046944.46,EQNL
