date,open,high,low,close,volume,value,board
2007-01-09,2.5,2.5,2.23,2.4,310000,700780,EQNE
2007-01-10,2.522,2.56,2.522,2.56,11900,30217,EQNE
2007-01-11,2.826,2.826,2.562,2.799,19700,54020.8,EQNE
2007-01-12,3,3,2.8,2.8,4200,11935,EQNE
2007-01-15,2.85,2.91,2.8,2.91,13600,38474.2,EQNE
2007-01-16,2.7,2.7,2.7,2.7,20100,54270,EQNE
2007-01-17,2.899,3,2.899,3.0,61100,182188,EQNE
2007-01-18,3,3.3,3,3.3,53100,161076.4,EQNE
2007-01-19,3,3.1,3,3.05,7200,21938.2,EQNE
2007-01-22,3.05,3.333,2.801,3.27,116900,357340.9,EQNE
2007-01-23,3.1,3.1,3.01,3.1,6100,18460,EQNE
2007-01-24,3.39,3.39,3.151,3.151,10700,35006.1,EQNE
2007-01-25,3.25,3.25,3.25,3.25,100,325,EQNE
2007-01-29,3.387,3.39,3.11,3.11,185600,597833.7,EQNE
2007-01-30,3,3,3,3.0,7300,21900,EQNE
2007-01-31,3.25,3.379,3.1,3.379,69400,222497.9,EQNE
2007-02-01,3.3,3.3,3.3,3.3,1600,5280,EQNE
2007-02-02,3.2,3.2,3.1,3.1,9500,30001,EQNE
2007-02-05,3.3,3.399,3.3,3.399,3500,11599.5,EQNE
2007-02-06,3.4,3.6,3.4,3.6,134100,466383,EQNE
2007-02-09,3.53,3.53,3.221,3.5,9500,31819,EQNE
2007-02-12,3.55,4,3.502,3.6,840800,3046130.2,EQNE
2007-02-13,3.673,3.673,3.501,3.6,22300,80279.9,EQNE
2007-02-14,3.6,3.6,3.11,3.5,35900,121766.2,EQNE
2007-02-15,3.4,3.44,3.3,3.3,79200,267814.5,EQNE
2007-02-16,3.211,3.598,3.1,3.45,44000,147686.6,EQNE
2007-02-19,3.49,3.494,3.479,3.493,7000,24415.7,EQNE
2007-02-20,3.45,3.499,3.335,3.335,61000,212189.3,EQNE
2007-02-21,3.35,3.49,3.3,3.49,87800,304961.2,EQNE
2007-02-22,3.5,3.85,3.41,3.78,379300,1356974.7,EQNE
2007-02-26,3.85,3.999,3.75,3.989,149100,574616.1,EQNE
2007-02-27,4.2,4.298,3.71,3.999,77100,305053.6,EQNE
2007-02-28,3.638,3.999,3.2,3.945,159200,586757.6,EQNE
2007-03-01,3.999,4,3.501,3.844,443800,1670285.8,EQNE
2007-03-02,3.75,3.75,3.428,3.429,3200,11357,EQNE
2007-03-05,3.425,3.8,3.302,3.7,8800,30243.8,EQNE
2007-03-07,3.75,3.765,3.511,3.765,165700,596540,EQNE
2007-03-09,3.5,3.55,3.5,3.505,107600,377085.8,EQNE
2007-03-12,3.5,3.55,3.45,3.464,150000,521636.2,EQNE
2007-03-13,3.451,3.59,3.2,3.3,165800,546683.1,EQNE
2007-03-14,3.3,3.33,3.1,3.2,51500,160949.5,EQNE
2007-03-15,3.221,3.448,3.025,3.448,10400,32379.9,EQNE
2007-03-16,3.2,3.39,3.1,3.3,105800,333455.8,EQNE
2007-03-19,3.389,3.4,3.333,3.4,44900,152619.5,EQNE
2007-03-20,3.555,3.555,3.35,3.35,17100,57318.8,EQNE
2007-03-21,3.352,3.499,3.352,3.499,10900,37644.2,EQNE
2007-03-22,3.43,3.599,3.43,3.45,33800,117332.5,EQNE
2007-03-23,3.499,3.8,3.426,3.6,315800,1128845.7,EQNE
