date,open,high,low,close,volume,value,board
2010-07-08,43800.0,43800.0,43800.0,43800.0,4,175200.0,EQNE
2010-07-09,43800.0,43800.0,43800.0,43800.0,3,131400.0,EQNE
2010-07-12,44100.0,44100.0,44100.0,44100.0,7,308700.0,EQNE
2010-12-10,44500.0,44500.0,44500.0,44500.0,15,667500.0,EQNE
2010-12-23,44500.0,44500.0,44500.0,44500.0,135,6007500.0,EQNE
2011-03-30,44600.0,44600.0,44600.0,44600.0,11,490600.0,EQNE
2011-09-19,44100.0,44100.0,44090.0,44090.0,6,264570.0,EQNE
2011-09-20,44100.0,44100.0,44090.0,44090.0,8,352750.0,EQNE
2012-01-27,40200.0,40200.0,40200.0,40200.0,248,9969600.0,EQNE
2012-01-30,40200.0,40200.0,40200.0,40200.0,49,1969800.0,EQNE
2012-09-28,40210.0,40210.0,40210.0,40210.0,5,201050.0,EQNE
2012-11-12,40212.0,40212.0,40212.0,40212.0,2,80424.0,EQNE
2012-11-22,40212.0,40212.0,40212.0,40212.0,5,201060.0,EQNE
2012-12-25,40214.0,40214.0,40214.0,40214.0,6,241284.0,EQNE
2013-06-21,40212.0,40212.0,40200.0,40200.0,5,201024.0,EQNE
2013-06-24,40200.0,40200.0,40200.0,40200.0,5,201000.0,EQNE
2013-06-25,40212.0,40212.0,40200.0,40200.0,7,281448.0,EQNE
2013-10-28,40214.0,40214.0,40214.0,40214.0,18,723852.0,TQNE
2013-10-29,40214.0,40214.0,40214.0,40214.0,31,1246634.0,TQNE
2013-12-18,40190.0,40190.0,40189.0,40189.0,5,200946.0,TQNE
2013-12-19,40189.0,40192.0,40189.0,40192.0,8,321530.0,TQNE
2014-04-18,40300.0,40300.0,40300.0,40300.0,1,40300.0,TQNE
2014-04-21,40206.0,40206.0,40206.0,40206.0,9,361854.0,TQNE
2014-04-22,40300.0,40300.0,40300.0,40300.0,8,322400.0,TQNE
2014-04-23,40206.0,40206.0,40206.0,40206.0,5,201030.0,TQNE
2014-04-24,40300.0,40300.0,40300.0,40300.0,2,80600.0,TQNE
