date,open,high,low,close,volume,value,board
2009-04-01,4.34,4.34,4.34,4.34,100,434.0,EQNE
2009-04-08,6.075,6.076,6.075,6.076,2,12.16,SMAL
2009-04-30,6.076,6.076,6.076,6.076,200,1215.2,EQNE
2009-05-19,8.506,8.506,8.506,8.506,100,850.6,EQNE
2009-05-21,8.506,8.506,8.506,8.506,300,2551.8,EQNE
2009-05-22,11.908,11.908,11.908,11.908,100,1190.8,EQNE
2009-05-25,16.671,16.671,16.671,16.671,100,1667.1,EQNE
2009-05-26,23.339,23.339,23.339,23.339,100,2333.9,EQNE
2009-05-27,32.675,32.675,32.675,32.675,100,3267.5,EQNE
2009-05-28,45.745,45.745,45.745,45.745,100,4574.5,EQNE
2009-05-29,64.043,64.043,64.043,64.043,200,12808.6,EQNE
2009-06-01,89.66,89.66,89.66,89.66,300,26898.0,EQNE
2009-06-02,89.66,89.66,89.66,89.66,600,53796.0,EQNE
2009-06-05,89.0,92.0,89.0,92.0,200,18100.0,EQNE
2009-06-15,60.0,60.0,60.0,60.0,100,6000.0,EQNE
2009-06-19,60.0,60.0,60.0,60.0,100,6000.0,EQNE
2009-07-02,50.0,50.0,50.0,50.0,100,5000.0,EQNE
2009-07-16,35.0,35.0,35.0,35.0,400,14000.0,EQNE
2009-08-03,49.0,49.0,49.0,49.0,200,9800.0,EQNE
2009-08-12,58.6,58.6,36.0,36.0,200,9460.0,EQNE
2009-08-14,50.4,50.4,50.4,50.4,300,15120.0,EQNE
2009-08-18,54.999,54.999,54.999,54.999,100,5499.9,EQNE
2009-09-11,50.0,50.0,50.0,50.0,2500,125000.0,EQNE
2009-09-15,40.01,40.01,40.01,40.01,3000,120030.0,EQNE
2009-09-16,38.01,38.01,33.33,33.67,5800,208674.5,EQNE
2009-09-22,42.0,43.989,34.0,34.0,300,11998.9,EQNE
2009-09-28,30.01,42.999,30.01,34.0,1000,33805.1,EQNE
2009-09-30,32.01,32.01,31.28,31.28,200,6329.0,EQNE
2009-10-01,35.99,41.91,34.0,34.0,400,14789.0,EQNE
2009-10-05,37.999,37.999,37.999,37.999,100,3799.9,EQNE
2009-10-07,38.0,38.0,38.0,38.0,100,3800.0,EQNE
2009-10-08,44.0,45.98,44.0,45.98,400,18194.0,EQNE
2009-10-09,44.988,44.988,44.988,44.988,1000,44988.0,EQNE
2009-10-12,46.01,46.01,46.01,46.01,200,9202.0,EQNE
2009-10-16,48.4,48.4,43.003,44.003,4100,180752.0,EQNE
2009-11-16,59.928,59.928,33.001,33.001,300,13292.9,EQNE
2009-11-17,30.349,42.42,30.349,42.42,200,7276.9,EQNE
2009-11-24,42.4,42.4,42.4,42.4,100,4240.0,EQNE
2009-12-11,40.01,40.01,40.01,40.01,400,16004.0,EQNE
2009-12-18,40.01,40.01,40.01,40.01,500,20005.0,EQNE
2009-12-24,40.0,40.0,40.0,40.0,100,4000.0,EQNE
2009-12-25,54.83,54.83,38.215,45.5,400,19298.9,EQNE
2010-01-19,40.01,59.444,40.01,47.0,1400,68655.7,EQNE
2010-01-21,47.001,47.001,47.001,47.001,100,4700.1,EQNE
2010-01-27,42.25,43.0,42.0,42.0,3200,134626.6,EQNE
2010-01-28,40.111,47.4,40.022,40.022,2700,110540.0,EQNE
2010-01-29,48.4,48.4,41.777,41.777,200,9017.7,EQNE
2010-02-01,48.0,48.0,42.222,42.85,300,13307.2,EQNE
2010-02-02,43.997,44.033,40.3,44.033,900,38157.0,EQNE
2010-02-03,41.007,42.433,41.007,41.9,600,25040.4,EQNE
2010-02-04,42.32,42.32,42.32,42.32,100,4232.0,EQNE
2010-02-05,40.01,40.01,40.01,40.01,100,4001.0,EQNE
2010-02-08,42.0,42.0,41.03,41.03,200,8303.0,EQNE
2010-02-10,41.01,41.01,41.01,41.01,100,4101.0,EQNE
2010-02-11,47.569,47.569,47.569,47.569,100,4756.9,EQNE
2010-02-15,43.1,44.99,43.1,44.99,200,8809.0,EQNE
2010-02-16,45.79,46.499,45.0,45.0,1600,72477.8,EQNE
2010-02-17,44.99,45.0,44.99,45.0,200,8999.0,EQNE
2010-02-25,43.0,44.98,43.0,44.98,200,8798.0,EQNE
2010-03-02,54.999,54.999,54.999,54.999,100,5499.9,EQNE
2010-03-03,45.502,45.502,45.0,45.5,1800,81550.2,EQNE
2010-03-04,45.021,45.021,45.021,45.021,100,4502.1,EQNE
2010-03-09,44.0,44.0,44.0,44.0,100,4400.0,EQNE
2010-03-11,47.999,48.0,47.999,47.999,1200,57599.8,EQNE
2010-03-12,48.0,49.999,46.0,47.0,700,33549.9,EQNE
2010-03-15,48.5,48.5,46.006,46.006,200,9450.6,EQNE
2010-03-17,46.011,46.011,46.011,46.011,100,4601.1,EQNE
2010-03-18,49.999,49.999,48.999,49.0,600,29499.8,EQNE
2010-03-19,50.0,50.0,50.0,50.0,100,5000.0,EQNE
2010-03-24,47.0,47.0,47.0,47.0,700,32900.0,EQNE
2010-04-01,45.511,49.998,45.511,48.0,300,14350.9,EQNE
2010-04-02,49.0,65.0,49.0,65.0,1900,102213.9,EQNE
2010-04-06,69.98,69.98,69.98,69.98,200,13996.0,EQNE
2010-04-16,65.01,75.0,65.01,71.0,2000,136839.4,EQNE
2010-04-20,66.5,66.5,66.5,66.5,100,6650.0,EQNE
2010-04-23,56.0,69.998,56.0,69.998,600,39599.4,EQNE
2010-04-27,65.0,65.0,65.0,65.0,100,6500.0,EQNE
2010-04-28,65.0,65.0,65.0,65.0,800,52000.0,EQNE
2010-05-06,65.0,65.0,65.0,65.0,100,6500.0,EQNE
2010-05-07,60.0,60.0,50.0,50.0,18,1050.0,SMAL
2010-05-19,59.9,59.9,53.0,56.39,1800,101501.0,EQNE
2010-05-20,58.0,58.0,58.0,58.0,100,5800.0,EQNE
2010-05-24,58.0,58.0,58.0,58.0,200,11600.0,EQNE
2010-05-28,54.312,76.0,54.31,76.0,1800,104634.2,EQNE
2010-06-01,65.0,65.0,60.0,60.0,1400,86500.0,EQNE
2010-06-02,64.0,65.0,64.0,65.0,800,51600.0,EQNE
2010-06-03,59.149,63.989,57.5,63.989,900,53549.2,EQNE
2010-06-10,64.999,64.999,64.999,64.999,100,6499.9,EQNE
2010-06-11,65.0,65.0,65.0,65.0,200,13000.0,EQNE
2010-06-16,68.0,68.0,68.0,68.0,100,6800.0,EQNE
2010-06-22,55.0,64.0,55.0,64.0,500,28400.0,EQNE
2010-06-23,55.0,55.0,55.0,55.0,500,27500.0,EQNE
2010-06-25,55.011,55.011,55.01,55.01,500,27505.1,EQNE
2010-06-29,53.02,53.02,53.01,53.01,1200,63619.0,EQNE
2010-07-01,53.1,53.1,35.0,35.0,600,28266.9,EQNE
2010-07-02,53.01,59.999,53.01,59.999,200,11300.9,EQNE
2010-07-06,60.4,79.0,60.02,79.0,2100,131393.1,EQNE
2010-07-07,65.0,65.0,65.0,65.0,300,19500.0,EQNE
2010-07-16,57.02,70.0,57.02,70.0,6700,401913.4,EQNE
2010-07-19,60.211,61.489,59.01,59.01,1900,114165.5,EQNE
2010-07-20,58.01,58.01,58.01,58.01,900,52209.0,EQNE
2010-07-28,57.41,57.41,57.41,57.41,1000,57410.0,EQNE
2010-08-03,57.012,57.012,57.012,57.012,100,5701.2,EQNE
2010-08-04,58.21,59.98,58.21,59.98,200,11819.0,EQNE
2010-08-13,60.0,60.0,59.99,59.99,1000,59991.0,EQNE
2010-08-26,60.0,60.0,60.0,60.0,200,12000.0,EQNE
2010-08-27,59.9,59.9,59.9,59.9,100,5990.0,EQNE
2010-09-03,78.58,78.581,78.58,78.581,600,47148.5,EQNE
2010-09-07,60.011,60.011,60.011,60.011,400,24004.4,EQNE
2010-09-09,60.11,60.11,60.011,60.011,400,24014.3,EQNE
2010-09-14,60.5,70.0,60.5,70.0,6900,482050.0,EQNE
2010-09-15,65.205,66.0,65.01,66.0,1700,110770.9,EQNE
2010-09-28,60.0,60.0,60.0,60.0,100,6000.0,EQNE
2010-09-30,61.0,63.98,61.0,63.98,1000,62801.6,EQNE
2010-10-01,64.989,64.998,64.989,64.998,2000,129987.9,EQNE
2010-10-05,63.811,63.811,61.046,61.046,600,38010.1,EQNE
2010-10-06,63.021,63.021,63.0,63.0,700,44112.6,EQNE
2010-10-08,62.611,62.611,62.611,62.611,100,6261.1,EQNE
2010-10-12,62.011,62.011,62.011,62.011,500,31005.5,EQNE
2010-10-14,61.851,61.851,61.851,61.851,500,30925.5,EQNE
2010-10-18,60.011,60.011,60.011,60.011,100,6001.1,EQNE
2010-10-27,60.0,60.0,60.0,60.0,100,6000.0,EQNE
2010-10-28,61.497,61.497,61.497,61.497,100,6149.7,EQNE
2010-10-29,62.87,62.87,62.87,62.87,4100,257767.0,EQNE
2010-11-10,60.101,60.101,60.101,60.101,100,6010.1,EQNE
2010-11-11,64.998,64.999,64.0,64.799,400,25879.6,EQNE
2010-11-17,60.0,60.0,60.0,60.0,100,6000.0,EQNE
2010-11-19,62.301,62.301,62.2,62.2,300,18680.1,EQNE
2010-11-22,64.0,65.0,62.0,64.0,1500,96988.9,EQNE
2010-11-23,62.0,63.0,62.0,63.0,1100,68500.0,EQNE
2010-11-24,65.0,68.99,61.13,68.983,1100,72084.4,EQNE
2010-11-25,68.983,68.983,62.011,66.66,500,32863.7,EQNE
2010-11-26,66.489,66.489,63.411,63.411,400,26089.0,EQNE
2010-11-30,62.002,62.002,62.002,62.002,100,6200.2,EQNE
2010-12-02,65.0,65.0,61.331,61.331,2200,138178.9,EQNE
2010-12-03,64.995,64.995,64.995,64.995,200,12999.0,EQNE
2010-12-06,62.861,64.996,62.861,64.996,3200,207558.2,EQNE
2010-12-07,64.995,64.996,64.995,64.996,1200,77994.9,EQNE
2010-12-08,64.996,69.0,64.995,69.0,3500,227883.6,EQNE
2010-12-10,70.0,87.9,62.238,62.238,400,29013.8,EQNE
2010-12-16,64.001,64.001,64.0,64.0,400,25600.3,EQNE
2010-12-20,70.0,70.0,65.05,65.05,800,55505.0,EQNE
2010-12-24,67.001,79.99,67.0,79.99,400,29398.0,EQNE
2010-12-27,69.591,69.591,69.591,69.591,200,13918.2,EQNE
2010-12-29,72.4,72.4,70.0,72.0,1400,98640.0,EQNE
2010-12-30,72.0,73.99,69.0,72.0,500,36098.0,EQNE
2011-01-11,93.829,102.658,81.0,102.658,5100,519545.6,EQNE
2011-01-12,142.611,142.621,139.99,142.621,7300,1039719.9,EQNE
2011-01-13,190.835,199.669,190.835,199.669,800,157118.0,EQNE
2011-01-14,199.669,199.669,199.668,199.669,2600,519139.3,EQNE
2011-01-17,277.999,279.537,277.999,279.537,3000,837532.5,EQNE
2011-01-18,300.0,325.0,268.0,275.0,3600,1041024.5,EQNE
2011-01-19,268.0,277.0,225.0,269.794,1400,354656.0,EQNE
2011-01-20,235.005,284.999,235.001,269.36,2000,524888.3,EQNE
2011-01-21,240.289,277.997,240.289,277.997,600,155486.8,EQNE
2011-01-24,270.0,270.0,270.0,270.0,100,27000.0,EQNE
2011-01-25,250.0,253.013,216.006,216.006,1400,335926.0,EQNE
2011-01-26,223.006,235.0,223.006,235.0,300,68500.6,EQNE
