date,open,high,low,close,volume,value,board
2019-10-28,1186,1212,1186,1206.0,204766,245462320.4,TQBR
2019-10-29,1202,1226,1200.2,1219.8,68382,82888163.2,TQBR
2019-10-30,1225,1227,1212.8,1217.0,36691,44656578,TQBR
2019-10-31,1221.4,1223.8,1210.2,1216.0,19326,23469279.2,TQBR
2019-11-01,1218.4,1219,1212.6,1214.0,16625,20215418.4,TQBR
2019-11-05,1217.8,1220,1197.4,1198.0,61347,73869925.4,TQBR
2019-11-06,1209.8,1214,1190,1208.6,21717,26181538,TQBR
2019-11-07,1220,1225.8,1201.2,1225.8,38222,46531750,TQBR
2019-11-08,1226.2,1251.2,1216,1222.8,20250,24803493,TQBR
2019-11-11,1229.8,1230,1216.2,1222.0,7094,8679139.2,TQBR
2019-11-12,1228,1242,1223.4,1235.6,27393,33690928.2,TQBR
2019-11-13,1248.6,1248.6,1231.6,1239.4,33644,41660630.2,TQBR
2019-11-14,1248.6,1276.4,1235.2,1261.2,84600,106614107,TQBR
2019-11-15,1276,1312.4,1249.2,1250.0,33713,42369663.2,TQBR
2019-11-18,1274.8,1275.8,1250.2,1255.0,43925,55223550.4,TQBR
2019-11-19,1274,1274,1235.6,1241.0,128523,160804778.4,TQBR
2019-11-20,1250,1252,1215,1215.8,126020,154871162,TQBR
2019-11-21,1219.8,1221.4,1206,1210.8,63452,77120138.4,TQBR
2019-11-22,1219.4,1219.6,1196.4,1202.0,80217,96602649.2,TQBR
2019-11-25,1209.2,1220.2,1200.8,1206.0,52066,62798726,TQBR
2019-11-26,1207.2,1212,1197,1199.4,128226,154526592,TQBR
2019-11-27,1208,1208.2,1199.8,1203.0,70640,85051236.6,TQBR
2019-11-28,1207.6,1207.6,1191,1194.2,117215,140420088.4,TQBR
2019-11-29,1204.6,1205,1174.6,1185.8,87847,104009952.6,TQBR
2019-12-02,1177,1199.6,1174.8,1176.4,62359,73634677,TQBR
2019-12-03,1161,1179.8,1130,1133.0,127204,146725827.4,TQBR
2019-12-04,1135,1140,1126.6,1140.0,34008,38587988.4,TQBR
2019-12-05,1144.6,1174.2,1137.2,1167.8,72013,83154006.4,TQBR
2019-12-06,1169.8,1192,1167,1186.2,125107,147879936,TQBR
2019-12-09,1207.8,1230,1180.4,1228.4,89712,108597979,TQBR
2019-12-10,1230,1248,1221,1238.8,158239,195496159.6,TQBR
2019-12-11,1243,1264.8,1219,1234.8,102807,128517597,TQBR
2019-12-12,1244,1245,1224.2,1235.0,176037,217107686.6,TQBR
2019-12-13,1249,1257.8,1204.4,1257.2,92558,115487374.4,TQBR
2019-12-16,1266,1305,1251,1300.0,244473,313549093.2,TQBR
2019-12-17,1304.8,1314,1290.8,1299.6,90448,117629369,TQBR
2019-12-18,1308.8,1327.6,1301.4,1322.4,117307,154609998.8,TQBR
2019-12-19,1325.8,1340,1317.4,1340.0,200152,265925358,TQBR
2019-12-20,1333.8,1333.8,1285,1285.6,183508,240208094,TQBR
2019-12-23,1285.6,1309.6,1285.6,1304.6,56853,73997952.4,TQBR
2019-12-24,1302,1310,1300,1310.0,42682,55664494.6,TQBR
2019-12-25,1313,1346,1300,1313.8,36177,47212737.2,TQBR
2019-12-26,1301,1310,1281,1305.0,25835,33651797.8,TQBR
2019-12-27,1319.8,1339,1295.2,1308.6,65864,86062830,TQBR
2019-12-30,1317,1335.8,1301.4,1311.2,38121,49835201.8,TQBR
2020-01-03,1317.2,1353,1317.2,1332.4,86037,115661375.8,TQBR
2020-01-06,1340,1349.4,1312,1322.8,54394,71864157,TQBR
2020-01-08,1315.2,1350.2,1312.4,1350.2,69111,92213837.2,TQBR
2020-01-09,1350.2,1368,1333.8,1366.8,65027,88277620,TQBR
2020-01-10,1355.2,1401,1355,1398.4,73345,101292419.2,TQBR
2020-01-13,1384.6,1434.4,1384.4,1426.4,309449,438536040,TQBR
2020-01-14,1440.8,1450,1405.2,1426.4,405080,580256288.8,TQBR
2020-01-15,1437.4,1473.2,1414.8,1453.8,439150,634969550,TQBR
2020-01-16,1470,1490.2,1441.2,1452.0,696392,1024086305.4,TQBR
2020-01-17,1451,1467,1444.4,1465.2,173432,252639893,TQBR
2020-01-20,1490,1490,1451.8,1473.2,171556,252606195.8,TQBR
2020-01-21,1472,1472.6,1437.2,1448.0,290698,423936712.6,TQBR
2020-01-22,1460.6,1467.6,1442.8,1444.8,346407,502084768,TQBR
2020-01-23,1440,1458.4,1420.2,1436.4,335086,484650518.2,TQBR
2020-01-24,1438.4,1467.8,1426.2,1437.4,247016,356550698,TQBR
2020-01-27,1427.6,1439.2,1386,1399.2,249092,353877184,TQBR
2020-01-28,1391.2,1456.6,1391.2,1450.0,185645,265314586.4,TQBR
2020-01-29,1473.2,1476.8,1428.4,1468.0,230034,332725656.8,TQBR
2020-01-30,1477.6,1487.2,1444,1486.2,50912,74935761.8,TQBR
2020-01-31,1490,1527.8,1470,1515.0,91160,137454008.6,TQBR
2020-02-03,1520.4,1565,1484.2,1545.0,198887,306691554,TQBR
2020-02-04,1567,1616.8,1545.4,1590.4,215604,342655459.8,TQBR
2020-02-05,1609.6,1656.6,1592.6,1635.2,356181,579400283,TQBR
2020-02-06,1660,1676.8,1632.4,1645.2,218745,361656962.2,TQBR
2020-02-07,1650,1670,1638.8,1662.0,139804,231905363.4,TQBR
2020-02-10,1673.6,1699.8,1661,1670.6,176483,296210206.6,TQBR
2020-02-11,1690,1698,1654.2,1684.8,182803,305525477.4,TQBR
2020-02-12,1699.6,1699.6,1648,1671.6,95963,159489298.4,TQBR
2020-02-13,1671,1680,1652.2,1657.8,72840,121033651.2,TQBR
2020-02-14,1665.8,1673.6,1615.2,1650.0,89670,146837009.4,TQBR
2020-02-17,1638.8,1639.4,1600,1610.2,128859,207440521.2,TQBR
2020-02-18,1601,1636,1590.2,1604.0,89952,144801298,TQBR
2020-02-19,1615.8,1624.8,1600.2,1624.8,54883,88413297,TQBR
2020-02-20,1628,1663.8,1619.2,1644.4,89189,147085540.2,TQBR
2020-02-21,1641.8,1659,1611.2,1631.6,72203,118054821.6,TQBR
2020-02-25,1580,1614.8,1551,1590.6,151916,242154694,TQBR
2020-02-26,1567,1602,1511.2,1595.2,343060,535995299,TQBR
2020-02-27,1573,1615.8,1530,1551.0,190779,297493671.8,TQBR
2020-02-28,1500,1530,1361,1474.2,416136,602815782.6,TQBR
2020-03-02,1448.6,1514.2,1371,1437.4,459641,658290013,TQBR
2020-03-03,1420,1441.6,1375,1419.6,244012,341249869.8,TQBR
2020-03-04,1401.4,1462.4,1345.8,1454.4,203070,288174090.6,TQBR
2020-03-05,1524,1524,1432.2,1482.0,197018,288305074.2,TQBR
2020-03-06,1400.4,1427.2,1053.4,1116.6,899771,1103894806.8,TQBR
2020-03-10,1005,1220.2,952,1131.0,626347,713542525.6,TQBR
2020-03-11,1157.8,1250,1125,1167.2,846021,1007486684.8,TQBR
2020-03-12,1083,1145.4,960.6,960.6,593342,617180911,TQBR
2020-03-13,989,1088,910.4,1045.0,458034,473681493.2,TQBR
2020-03-16,1017.2,1057,956,1010.8,428438,428075667,TQBR
2020-03-17,1000.2,1029,920,934.6,307974,297331085.2,TQBR
2020-03-18,939.8,939.8,851.4,873.8,469827,419147593,TQBR
2020-03-19,894,945,810,934.0,426633,376861953.2,TQBR
2020-03-20,980.4,1021.6,958,987.0,333010,327912713.4,TQBR
2020-03-23,945,966,890.4,924.2,432353,399579004.8,TQBR
2020-03-24,972,1010,934.6,951.6,302922,290615870.4,TQBR
2020-03-25,996,1030,936.2,960.4,406139,398977334.4,TQBR
2020-03-26,955,975,913.6,940.0,343304,320825014.8,TQBR
2020-03-27,939,970,882,882.0,202418,184275917.6,TQBR
2020-03-30,882,882,824.4,831.8,597948,501613678.4,TQBR
2020-03-31,855,918,835,900.0,767225,677033439.2,TQBR
2020-04-01,878,898.8,860,860.8,364092,318614198,TQBR
2020-04-02,879,886,818,835.0,912607,770926556.6,TQBR
2020-04-03,840,868.6,830.2,862.0,593020,507261981.4,TQBR
2020-04-06,870.2,958.6,864.6,950.0,845462,777066795.6,TQBR
2020-04-07,969,1038,938.6,956.2,1516143,1506752721,TQBR
2020-04-08,940.4,967,915,959.0,862195,818801666.2,TQBR
2020-04-09,980,1002,920,931.0,1026030,983336222,TQBR
2020-04-10,939,941.8,916,940.6,230704,215121286.2,TQBR
2020-04-13,936,945.6,909.8,912.4,354295,325371426.2,TQBR
2020-04-14,925,955,919.2,940.0,606793,570774102.6,TQBR
2020-04-15,941.4,948.8,908.2,913.2,483466,449976867,TQBR
2020-04-16,930,930,891,891.0,576379,525120813.2,TQBR
2020-04-17,915,922.8,877.8,895.0,504347,450939952.6,TQBR
2020-04-20,904,905,865,875.0,373138,328296927.2,TQBR
2020-04-21,861,867,830,843.0,828529,700556569.6,TQBR
2020-04-22,836.2,860.6,833.2,858.0,491983,418423316,TQBR
2020-04-23,869,882.2,851.2,875.0,778283,675618247.6,TQBR
2020-04-24,856.2,927.4,854.6,904.0,712358,641148152,TQBR
2020-04-27,930.8,946,874.2,940.0,689191,635822045.6,TQBR
2020-04-28,940,1004.6,936,999.0,1033898,1012159866.8,TQBR
2020-04-29,1000.2,1031.8,989.6,1025.0,672313,686684021.2,TQBR
2020-04-30,1034.8,1037.8,987,1025.0,659980,667455020.4,TQBR
2020-05-04,1006,1025.4,994.8,1020.0,287281,289489447.6,TQBR
2020-05-05,1030,1037.8,1013.4,1024.0,160671,164708141,TQBR
2020-05-06,1029.6,1038.8,1011.2,1014.8,204169,209436352.4,TQBR
2020-05-07,1017.6,1048.8,1013.2,1036.6,333710,345598721.8,TQBR
2020-05-08,1049.6,1049.6,1027,1038.4,146973,152470736.4,TQBR
2020-05-12,1044.6,1048.6,1025.4,1043.0,234467,242856334.6,TQBR
2020-05-13,1043.2,1071.8,1009,1040.8,664417,694228895,TQBR
2020-05-14,1047.8,1064.2,1030,1049.6,406746,427974565.4,TQBR
2020-05-15,1084,1084.6,1050.2,1070.0,407596,436221229.4,TQBR
2020-05-18,1080,1092.4,1073,1082.0,447591,484556046.4,TQBR
2020-05-19,1090,1102.8,1065.6,1102.8,396642,430781613.8,TQBR
