date,open,high,low,close,volume,value,board
2011-03-29,180,180,176,176.0,7370,1306600,EQLV
2011-03-30,234.11,234.11,180.02,190.0,221280,41979750.9,EQLV
2011-03-31,185.1,190,176.53,180.0,23920,4356813.8,EQLV
2011-04-01,180,181.02,174.02,174.06,178130,31831661.5,EQLV
2011-04-04,174.1,176,171.45,175.9,115380,20268802.4,EQLV
2011-04-05,174.05,176.99,174,175.98,650,113841.7,EQLV
2011-04-06,174.02,180,173.01,176.81,18380,3269387,EQLV
2011-04-07,179.96,180.81,174,179.99,9920,1773700.5,EQLV
2011-04-08,181.9,184.97,179,179.03,84760,15503956.6,EQLV
2011-04-11,195.5,195.5,177,181.0,31170,5617586.5,EQLV
2011-04-12,180.1,182.5,175,179.0,32370,5873187,EQLV
2011-04-13,183.99,183.99,180.25,181.0,100930,18418303.9,EQLV
2011-04-14,181,181,176,180.0,1540,275602.8,EQLV
2011-04-15,183.3,183.5,180.51,183.14,860,157506.5,EQLV
2011-04-18,175.51,183.49,175.5,180.0,153960,27717798.1,EQLV
2011-04-19,179.98,181,175,181.0,590,104209.2,EQLV
2011-04-20,183,183.5,180,182.5,4620,843041.8,EQLV
2011-04-21,183.02,184.27,180,181.0,162270,29209094.2,EQLV
2011-04-22,184.2,184.2,181,181.0,10900,1992000.4,EQLV
2011-04-25,179.07,184.5,179,184.5,4220,759057.2,EQLV
2011-04-26,177,183.5,177,182.5,1470,267932.9,EQLV
2011-04-27,180.5,180.5,180.5,180.5,170,30685,EQLV
2011-04-28,182,182,182,182.0,80,14560,EQLV
2011-04-29,182,182,180,180.0,2120,381700.7,EQLV
2011-05-03,184.99,184.99,181.51,181.51,20,3665,EQLV
2011-05-04,181,181,181,181.0,590,106790,EQLV
2011-05-05,181,181,171.01,177.74,9790,1731568.5,EQLV
2011-05-06,177.99,179,177.99,179.0,5590,995587,EQLV
2011-05-10,179.5,179.5,179,179.0,6020,1080585,EQLV
2011-05-11,180,180,178.99,179.0,5010,897780,EQLV
2011-05-12,173.02,180,152,180.0,1830,324865.9,EQLV
2011-05-13,173.14,180,173,180.0,1220,215559.3,EQLV
2011-05-16,179.44,179.5,179.44,179.5,220,39489.4,EQLV
2011-05-17,181.01,181.01,181,181.0,1010,182810.1,EQLV
2011-05-18,182.49,182.5,182.49,182.49,5010,914324.8,EQLV
2011-05-19,181,182.48,181,181.0,350,63424.4,EQLV
2011-05-20,181,183,181,182.99,1080,197599.4,EQLV
2011-05-23,182.5,183,182.5,183.0,2540,464810,EQLV
2011-05-24,182,182,182,182.0,950,172900,EQLV
2011-05-25,202,203.37,181,187.0,15960,3009409.4,EQLV
2011-05-26,185,185,182,183.0,240,44080.4,EQLV
2011-05-27,185.99,188,184.99,187.99,1360,253552.9,EQLV
2011-05-31,186,186,186,186.0,50,9300,EQLV
2011-06-01,188.5,189.49,187,187.0,1790,337466.2,EQLV
2011-06-02,186,187.69,180,181.0,5960,1073673.5,EQLV
2011-06-03,184,184,183.9,184.0,2510,461839,EQLV
2011-06-06,187,189,187,187.0,3370,634928.1,EQLV
2011-06-07,189,189.99,180,180.0,7920,1457399,EQLV
2011-06-08,187.01,187.01,181,181.02,8520,1550399.1,EQLV
2011-06-09,184.95,186,182,186.0,3450,638802.2,EQLV
2011-06-10,184.49,186,184.49,184.5,2900,537899.9,EQLV
2011-06-14,186,186,177.3,180.0,12080,2191451.9,EQLV
2011-06-15,184.82,185,177.3,177.3,4000,730218.3,EQLV
2011-06-16,183.99,185,182.49,184.99,4500,829187.8,EQLV
2011-06-17,184.99,184.99,184,184.3,3010,554449.9,EQLV
2011-06-20,184.99,185,184.69,184.7,2500,461899.5,EQLV
2011-06-21,184.7,185,182.5,185.0,4810,884183,EQLV
2011-06-22,184,185,184,185.0,2500,462490,EQLV
2011-06-24,185,185,185,185.0,200,37000,EQLV
2011-06-27,185.5,186,185.5,186.0,1000,185995,EQLV
2011-06-28,186,186,186,186.0,20,3720,EQLV
2011-06-29,186,190,186,190.0,1510,282860,EQLV
