date,open,high,low,close,volume,value,board
2007-01-25,0.0245,0.0262,0.0245,0.026,36707000,909735,EQNE
2007-01-26,0.027,0.0296,0.0267,0.029,32894000,904349,EQNE
2007-01-29,0.0273,0.03,0.027,0.0283,22541000,621888.5,EQNE
2007-01-31,0.0279,0.0279,0.0277,0.0279,2278000,63477.7,EQNE
2007-02-01,0.0275,0.0278,0.0275,0.0275,23015000,633812.5,EQNE
2007-02-02,0.028,0.0289,0.028,0.0289,2390000,67460.8,EQNE
2007-02-05,0.029,0.0314,0.029,0.03,100196000,3005759.3,EQNE
2007-02-06,0.0315,0.0345,0.0301,0.0344,40709000,1306092.8,EQNE
2007-02-07,0.036,0.0419,0.0344,0.0386,76982000,2989634.4,EQNE
2007-02-08,0.0395,0.055,0.038,0.0397,49313000,2067136.2,EQNE
2007-02-09,0.044,0.0445,0.0365,0.04,5374000,214348.9,EQNE
2007-02-12,0.0415,0.0415,0.0313,0.035,3192000,111637.7,EQNE
2007-02-13,0.035,0.035,0.0301,0.0346,5263000,172420.7,EQNE
2007-02-14,0.0349,0.0349,0.03,0.0318,4782000,146763.8,EQNE
2007-02-15,0.0307,0.035,0.0295,0.0317,24013000,750323.2,EQNE
2007-02-16,0.0298,0.0342,0.0298,0.0327,16326000,508336.2,EQNE
2007-02-19,0.0353,0.06,0.0304,0.0344,61605000,2295914.1,EQNE
2007-02-20,0.04,0.04,0.0306,0.0322,32473000,1033221.6,EQNE
2007-02-21,0.0329,0.0333,0.0315,0.0326,7691000,247098.1,EQNE
2007-02-22,0.0315,0.0322,0.0309,0.032,2443000,76925.7,EQNE
2007-02-26,0.0326,0.0326,0.0314,0.032,3295000,104371.3,EQNE
2007-02-27,0.0312,0.0316,0.0292,0.0305,18786000,576221.4,EQNE
2007-02-28,0.0301,0.0311,0.0296,0.0307,6624000,199555.6,EQNE
2007-03-01,0.0304,0.0315,0.03,0.0305,89925000,2698489.2,EQNE
2007-03-02,0.0296,0.0309,0.0295,0.0304,2561000,76251.5,EQNE
2007-03-05,0.0325,0.0325,0.0285,0.0286,984000,28064.9,EQNE
2007-03-06,0.0314,0.0314,0.0287,0.0309,34523000,1060259.1,EQNE
2007-03-07,0.0291,0.0324,0.0291,0.032,115451000,3686290.1,EQNE
2007-03-09,0.0325,0.0373,0.0315,0.0342,6376000,214593,EQNE
2007-03-12,0.0326,0.037,0.0326,0.0344,26810000,907832.8,EQNE
2007-03-13,0.0336,0.0344,0.0335,0.0344,10511000,354405.5,EQNE
2007-03-14,0.032,0.034,0.032,0.034,7425000,249066.5,EQNE
2007-03-15,0.0348,0.0348,0.034,0.034,2949000,100267.6,EQNE
2007-03-16,0.0312,0.0344,0.0312,0.0344,27348000,853908.5,EQNE
2007-03-19,0.033,0.0349,0.033,0.0345,1197000,41054.1,EQNE
2007-03-20,0.0369,0.0369,0.034,0.0343,3268000,111247.5,EQNE
2007-03-21,0.0348,0.0348,0.0338,0.0345,660000,22842.2,EQNE
2007-03-22,0.0362,0.0362,0.035,0.035,1721000,60955.1,EQNE
2007-03-23,0.0347,0.0374,0.0347,0.036,298000,10829.4,EQNE
