date,open,high,low,close,volume,value,board
2008-11-06,0.0025,0.0033,0.0025,0.0032,803000,2411.5,EQNE
2008-11-07,0.0027,0.0033,0.0027,0.0033,2529000,7804.3,EQNE
2008-11-10,0.0033,0.0033,0.0033,0.0033,507000,1673.1,EQNE
2008-11-11,0.0033,0.0033,0.0033,0.0033,212000,699.6,EQNE
2008-11-13,0.0033,0.0033,0.0029,0.0033,271000,893.9,EQNE
2008-11-14,0.0033,0.0033,0.0033,0.0033,231000,762.3,EQNE
2008-11-18,0.0033,0.0033,0.0033,0.0033,14000,46.2,EQNE
2008-11-19,0.0033,0.0033,0.0033,0.0033,40000,132.0,EQNE
2008-11-20,0.0026,0.0033,0.0026,0.0029,1066000,3299.8,EQNE
2008-11-21,0.0027,0.0027,0.0027,0.0027,7000,18.9,EQNE
2008-11-24,0.0027,0.0032,0.0027,0.0027,109000,294.9,EQNE
2008-11-25,0.0028,0.0028,0.0028,0.0028,96000,268.8,EQNE
2008-11-26,0.0027,0.003,0.0027,0.003,55000,150.6,EQNE
2008-11-27,0.003,0.0033,0.003,0.0031,2218000,7299.7,EQNE
2008-11-28,0.0032,0.0033,0.0032,0.0033,917000,2934.6,EQNE
2008-12-01,0.0031,0.0031,0.0031,0.0031,6000,18.6,EQNE
2008-12-02,0.0033,0.0033,0.003,0.003,5000,15.3,EQNE
2008-12-03,0.003,0.0033,0.003,0.0033,185000,556.4,EQNE
2008-12-04,0.0033,0.0033,0.003,0.0031,17000,53.9,EQNE
2008-12-11,0.0037,0.0038,0.0036,0.0038,585233000,2163377.8,EQBS
2008-12-12,0.0036,0.0038,0.0034,0.0037,889550000,3197237.7,EQBS
2008-12-15,0.0037,0.0038,0.0035,0.0036,1178828000,4293327.7,EQBS
2008-12-16,0.0037,0.0037,0.0033,0.0035,731145000,2539911.3,EQBS
2008-12-17,0.0036,0.0037,0.0033,0.0034,1123208000,3824144.5,EQBS
2008-12-18,0.0035,0.0036,0.0033,0.0036,2078925000,7249954.1,EQBS
2008-12-19,0.0035,0.0036,0.0034,0.0036,198056000,692651.2,EQBS
2008-12-22,0.0035,0.0037,0.0031,0.0035,1089400000,3653489.8,EQBS
2008-12-23,0.0034,0.0035,0.0033,0.0035,121478000,412756.7,EQBS
2008-12-24,0.0036,0.0039,0.0033,0.0035,2427770000,8472316.6,EQBS
2008-12-25,0.0034,0.0035,0.0033,0.0035,718536000,2450730.0,EQBS
2008-12-26,0.0035,0.0036,0.0033,0.0034,525959000,1804343.6,EQBS
2008-12-29,0.0033,0.0035,0.0033,0.0034,166124000,560128.6,EQBS
2008-12-30,0.0033,0.0034,0.0032,0.0034,415822000,1380743.1,EQBS
2008-12-31,0.0033,0.0035,0.0033,0.0034,187874000,637239.5,EQBS
2009-01-11,0.0034,0.0035,0.0033,0.0035,140068000,473434.3,EQBS
2009-01-12,0.0033,0.0035,0.0033,0.0034,185987000,628067.9,EQBS
2009-01-13,0.0036,0.0036,0.0033,0.0034,807834000,2731241.2,EQBS
2009-01-14,0.0034,0.0035,0.0033,0.0033,1718713000,5828120.0,EQBS
