date,open,high,low,close,volume,value,board
2006-10-20,0.0122,0.0156,0.0122,0.0156,18670000,257482,EQNE
2006-10-23,0.014,0.0155,0.014,0.0155,1000000,15035,EQNE
2006-10-24,0.014,0.0159,0.014,0.0159,20000,299,EQNE
2006-11-02,0.014,0.0179,0.014,0.0179,29310000,458086.6,EQNE
2006-11-03,0.0185,0.02,0.0175,0.0199,20017000,354063,EQNE
2006-11-07,0.0195,0.02,0.0193,0.02,121000,2405.4,EQNE
2006-11-08,0.02,0.0215,0.02,0.0215,946000,18921.5,EQNE
2006-11-10,0.022,0.022,0.022,0.022,1000,22,EQNE
2006-11-15,0.022,0.022,0.022,0.022,71000,1562,EQNE
2006-11-17,0.0181,0.0181,0.0181,0.0181,50000,905,EQNE
2006-11-21,0.0217,0.0217,0.0217,0.0217,50000,1085,EQNE
2006-11-23,0.019,0.0195,0.019,0.0195,3650000,71150,EQNE
2006-11-24,0.0219,0.0219,0.0219,0.0219,36000,788.4,EQNE
2006-11-27,0.022,0.0235,0.022,0.0235,28100000,640778,EQNE
2006-11-28,0.0235,0.0235,0.0235,0.0235,11449000,269051.5,EQNE
2006-12-06,0.0305,0.0305,0.0305,0.0305,10000,305,EQNE
2006-12-07,0.0293,0.0305,0.0293,0.0305,54000,1632.2,EQNE
2006-12-08,0.023,0.023,0.023,0.023,45000,1035,EQNE
2006-12-14,0.0299,0.0299,0.0235,0.0235,425000,11115,EQNE
2006-12-28,0.0235,0.0235,0.0235,0.0235,100000,2350,EQNE
