date,open,high,low,close,volume,value,board
2006-12-20,0.0207,0.0207,0.0207,0.0207,5548000,114843.6,EQNE
2006-12-27,0.0207,0.0207,0.0207,0.0207,5000000,103500,EQNE
2007-01-15,0.0207,0.0273,0.0207,0.025,5002000,125193,EQNE
2007-10-01,0.0233,0.0233,0.02,0.022,217000,4553.3,EQNE
2007-10-03,0.0232,0.0232,0.0227,0.0227,9243000,213995.2,EQNE
2007-10-04,0.0227,0.0227,0.0227,0.0227,7007000,159058.9,EQNE
2007-10-05,0.0232,0.0232,0.0232,0.0232,10000000,232000,EQNE
2007-10-08,0.0232,0.0232,0.0232,0.0232,21000000,487200,EQNE
2007-10-09,0.0299,0.0299,0.0232,0.0232,21492000,498644.2,EQNE
2007-10-10,0.023,0.0231,0.0229,0.0231,33771000,778256.1,EQNE
2007-10-11,0.0231,0.0231,0.0228,0.0229,41990000,962176.3,EQNE
2007-10-12,0.0229,0.023,0.0228,0.023,17004000,388892,EQNE
2007-10-15,0.023,0.023,0.023,0.023,1350000,31050,EQNE
2007-10-16,0.0231,0.0231,0.0224,0.0224,136000,3127.7,EQNE
2007-10-17,0.023,0.023,0.023,0.023,2183000,50209,EQNE
2007-10-18,0.023,0.0247,0.023,0.0242,37385000,894573.4,EQNE
2007-10-19,0.024,0.0323,0.024,0.024,31764000,782574.4,EQNE
2007-10-22,0.0244,0.0244,0.0209,0.0232,5000,114.8,EQNE
2007-10-23,0.0242,0.0243,0.0242,0.0243,4000,96.9,EQNE
2008-11-06,0.0069,0.0069,0.0052,0.0057,51000,284.4,EQNE
2008-11-07,0.0052,0.0057,0.0052,0.0053,198000,1047.4,EQNE
2008-11-10,0.0052,0.006,0.0052,0.006,732000,4258.1,EQNE
2008-11-11,0.0052,0.0052,0.0052,0.0052,113000,587.6,EQNE
2008-11-13,0.0068,0.0068,0.0052,0.0052,2000,12,EQNE
2008-12-01,0.0051,0.0051,0.0032,0.0037,38000,143.7,EQNE
2008-12-02,0.0032,0.004,0.0032,0.0035,16000,55,EQNE
2008-12-03,0.0035,0.004,0.0035,0.0035,298000,1046.8,EQNE
2008-12-04,0.0038,0.0038,0.0035,0.0035,371000,1360.1,EQNE
2008-12-05,0.0037,0.0037,0.0031,0.0033,11000,36.7,EQNE
2008-12-11,0.004,0.004,0.0036,0.0038,80294000,299526.2,EQNL
2008-12-12,0.0036,0.0037,0.0035,0.0037,302883000,1075842.2,EQNL
2008-12-15,0.0035,0.0037,0.0035,0.0036,68383000,249295.3,EQNL
2008-12-16,0.0036,0.0036,0.0034,0.0035,278961000,963618.2,EQNL
2008-12-17,0.0035,0.0036,0.0033,0.0034,93839000,315132,EQNL
2008-12-18,0.0034,0.0034,0.0032,0.0034,168704000,564190.1,EQNL
2008-12-19,0.0034,0.0034,0.0032,0.0034,118852000,390994.9,EQNL
2008-12-22,0.0034,0.0034,0.0032,0.0034,105914000,345874.4,EQNL
2008-12-23,0.0033,0.0035,0.003,0.0034,252656000,824263.6,EQNL
2008-12-24,0.0033,0.0034,0.0031,0.0034,446666000,1469651,EQNL
2008-12-25,0.0032,0.0036,0.0031,0.0032,100718000,338850.4,EQNL
2008-12-26,0.0032,0.0034,0.0031,0.0033,75537000,244828.1,EQNL
2008-12-29,0.0031,0.0033,0.0031,0.0031,287949000,921191.8,EQNL
2008-12-30,0.0031,0.0033,0.003,0.003,41297000,130119.6,EQNL
2008-12-31,0.0032,0.0032,0.0031,0.0032,1864000,5876.9,EQNL
2009-01-11,0.0032,0.0033,0.0031,0.0032,35905000,114343,EQNL
2009-01-12,0.0031,0.0033,0.0031,0.0032,54741000,172533.2,EQNL
2009-01-13,0.0032,0.0033,0.003,0.0032,252505000,783481.8,EQNL
2009-01-14,0.0031,0.0032,0.0031,0.0031,76839000,240726.7,EQNL
2009-01-15,0.003,0.0032,0.003,0.003,141669000,434803.7,EQNL
2009-01-16,0.0029,0.0031,0.0029,0.003,96190000,288454.5,EQNL
2009-01-19,0.003,0.003,0.0028,0.0028,174065000,502146.4,EQNL
2009-01-20,0.0028,0.0029,0.0024,0.0026,450960000,1178662.3,EQNL
2009-01-21,0.0025,0.0027,0.0024,0.0025,259501000,668768.7,EQNL
2009-01-22,0.0026,0.0027,0.0023,0.0024,100998000,249827.4,EQNL
2009-01-23,0.0025,0.0025,0.0022,0.0024,292291000,659389.2,EQNL
2009-01-26,0.0024,0.0025,0.0022,0.0024,131399000,312229.1,EQNL
2009-01-27,0.0024,0.0025,0.0023,0.0023,31892000,74990.1,EQNL
2009-01-28,0.0023,0.0024,0.0023,0.0024,61778000,146560.4,EQNL
2009-01-29,0.0023,0.0024,0.0022,0.0022,114579000,262017.5,EQNL
2009-01-30,0.0023,0.0023,0.0021,0.0023,529642000,1166349.8,EQNL
2009-02-02,0.0023,0.0023,0.0022,0.0023,77967000,178339.6,EQNL
2009-02-03,0.0022,0.0024,0.0022,0.0023,33086000,75711.9,EQNL
2009-02-04,0.0023,0.0025,0.0023,0.0024,535006000,1260069.8,EQNL
2009-02-05,0.0025,0.0025,0.0023,0.0024,149642000,364505.4,EQNL
2009-02-06,0.0024,0.0027,0.0024,0.0027,94347000,240998.7,EQNL
2009-02-09,0.0025,0.0029,0.0025,0.0029,153865000,430350.1,EQNL
2009-02-10,0.0029,0.0035,0.0028,0.0031,515875000,1579913.4,EQNL
2009-02-11,0.003,0.0031,0.0029,0.003,45078000,134171.2,EQNL
2009-02-12,0.003,0.003,0.0028,0.0029,79212000,233250.3,EQNL
2009-02-13,0.003,0.003,0.0028,0.0029,33751000,97623.1,EQNL
2009-02-16,0.0029,0.0029,0.0027,0.0028,173874000,477379.7,EQNL
2009-02-17,0.0028,0.0029,0.0026,0.0027,33531000,91652.5,EQNL
2009-02-18,0.0026,0.0027,0.0023,0.0026,398141000,975131.2,EQNL
2009-02-19,0.0025,0.0027,0.0024,0.0026,91210000,234840.5,EQNL
2009-02-20,0.0026,0.0026,0.0025,0.0025,80826000,205187.8,EQNL
2009-02-24,0.0024,0.0026,0.0023,0.0024,548695000,1310712.5,EQNL
2009-02-25,0.0025,0.0029,0.0024,0.0028,675317000,1802829.7,EQNL
2009-02-26,0.0029,0.003,0.0027,0.0029,428884000,1191329.9,EQNL
2009-02-27,0.0027,0.0036,0.0027,0.0032,2025318000,6754674.5,EQNL
2009-03-02,0.0032,0.0032,0.0029,0.0031,40878000,122846.2,EQNL
2009-03-03,0.0028,0.003,0.0028,0.0029,69764000,205749.8,EQNL
2009-03-04,0.0029,0.0037,0.0028,0.0032,200781000,637170.6,EQNL
2009-03-05,0.0032,0.0033,0.0027,0.0029,450365000,1260873.8,EQNL
2009-03-06,0.0029,0.0029,0.0027,0.0029,34763000,97681.2,EQNL
2009-03-10,0.0028,0.003,0.0027,0.0029,200038000,572106.3,EQNL
2009-03-11,0.0029,0.0032,0.0029,0.003,393435000,1184791.3,EQNL
2009-03-12,0.003,0.0031,0.0029,0.003,33617000,99941.5,EQNL
2009-03-13,0.003,0.0032,0.003,0.003,72225000,217924.6,EQNL
2009-03-16,0.003,0.0031,0.0029,0.003,140326000,418034.6,EQNL
2009-03-17,0.0029,0.0031,0.0029,0.0029,316952000,944648.7,EQNL
2009-03-18,0.0031,0.0031,0.0028,0.0028,178290000,528666.9,EQNL
2009-03-19,0.0028,0.003,0.0028,0.003,350872000,1014745.1,EQNL
2009-03-20,0.003,0.003,0.0028,0.003,229314000,661964,EQNL
2009-03-23,0.003,0.0031,0.0028,0.0031,732692000,2206564.3,EQNL
2009-03-24,0.003,0.0032,0.0028,0.0029,338537000,987707.8,EQNL
2009-03-25,0.003,0.0031,0.0029,0.003,146784000,440413.1,EQNL
2009-03-26,0.0029,0.0031,0.0029,0.003,122504000,368386.2,EQNL
2009-03-27,0.003,0.0034,0.0029,0.0031,1013392000,3132703.2,EQNL
2009-03-30,0.0031,0.0031,0.0028,0.003,1054162000,3126177.5,EQNL
2009-03-31,0.003,0.003,0.0028,0.003,317687000,930909,EQNL
