date,open,high,low,close,volume,value,board
2006-10-20,0.014,0.014,0.0118,0.0118,6516000,91221.8,EQNE
2006-10-23,0.014,0.014,0.014,0.014,200000,2800,EQNE
2006-10-24,0.014,0.0152,0.014,0.0152,1219000,18374,EQNE
2006-10-25,0.014,0.0156,0.014,0.0141,93000,1334.6,EQNE
2006-10-26,0.014,0.015,0.014,0.015,490000,7340,EQNE
2006-10-27,0.014,0.0149,0.0132,0.0149,610000,8551.3,EQNE
2006-10-30,0.014,0.014,0.014,0.014,5000,70,EQNE
2006-10-31,0.014,0.014,0.0124,0.014,154000,2014.1,EQNE
2006-11-01,0.014,0.014,0.014,0.014,2000,28,EQNE
2006-11-02,0.014,0.014,0.014,0.014,5000,70,EQNE
2006-11-09,0.014,0.014,0.014,0.014,2000,28,EQNE
2006-11-10,0.014,0.014,0.014,0.014,6000,84,EQNE
2006-11-13,0.014,0.014,0.014,0.014,5000,70,EQNE
2006-11-17,0.0123,0.014,0.0123,0.014,113000,1398.4,EQNE
2006-11-20,0.014,0.0174,0.014,0.0174,108000,1832.2,EQNE
2006-11-23,0.019,0.0199,0.017,0.0199,1818000,34459.7,EQNE
2006-11-24,0.0199,0.02,0.0198,0.0199,791000,15806.9,EQNE
2006-11-27,0.02,0.02,0.0199,0.02,5704000,114079.8,EQNE
2006-11-28,0.0205,0.0207,0.02,0.0207,5891000,120510.7,EQNE
2006-11-29,0.0202,0.0237,0.0202,0.0235,340000,7038.4,EQNE
2006-11-30,0.02,0.0237,0.02,0.022,1131000,24764.2,EQNE
2006-12-01,0.02,0.0207,0.02,0.0207,42000,856.7,EQNE
2006-12-04,0.0207,0.0207,0.0207,0.0207,1000,20.7,EQNE
2006-12-05,0.0207,0.0207,0.02,0.0207,1435000,29630.5,EQNE
2006-12-06,0.0188,0.0207,0.0188,0.0205,652000,13490.3,EQNE
2006-12-07,0.0207,0.0207,0.0207,0.0207,18000,372.6,EQNE
2006-12-08,0.0207,0.0207,0.0207,0.0207,20000,414,EQNE
2006-12-11,0.0207,0.0207,0.0207,0.0207,3000,62.1,EQNE
2006-12-22,0.0207,0.0207,0.0207,0.0207,1000000,20700,EQNE
2006-12-26,0.018,0.0207,0.018,0.0207,1928000,36384.1,EQNE
2007-01-09,0.0207,0.0207,0.0207,0.0207,1920000,39744,EQNE
2007-01-10,0.0207,0.0207,0.0207,0.0207,230000,4761,EQNE
2007-01-11,0.0207,0.0207,0.0207,0.0207,391000,8093.7,EQNE
2007-01-12,0.019,0.0207,0.017,0.0207,2711000,51310.7,EQNE
2007-01-15,0.0206,0.0207,0.0206,0.0207,1210000,25046,EQNE
2007-01-16,0.0207,0.0207,0.0207,0.0207,897000,18567.9,EQNE
2007-01-17,0.0207,0.0207,0.0207,0.0207,10000,207,EQNE
2007-01-18,0.0207,0.0207,0.0207,0.0207,10000,207,EQNE
2007-01-19,0.0207,0.023,0.0207,0.023,110000,2507,EQNE
2007-01-23,0.0207,0.022,0.0207,0.022,410000,9007,EQNE
2007-01-24,0.0207,0.022,0.0207,0.022,172000,3735.4,EQNE
2007-01-25,0.0207,0.0221,0.0207,0.0221,301000,6611,EQNE
2007-01-26,0.0207,0.0227,0.0207,0.0226,811000,18139.7,EQNE
2007-01-29,0.02,0.0226,0.02,0.0226,38000,768.9,EQNE
