date,open,high,low,close,volume,value,board
2006-12-07,0.0259,0.0259,0.0259,0.0259,100000,2590,EQNE
2006-12-11,0.0259,0.0259,0.0259,0.0259,100000,2590,EQNE
2007-01-16,0.0259,0.0259,0.0259,0.0259,2000,51.8,EQNE
2007-01-17,0.0259,0.0259,0.0259,0.0259,4000,103.6,EQNE
2007-01-18,0.0259,0.0259,0.0259,0.0259,3000,77.7,EQNE
2007-01-19,0.0259,0.0259,0.0259,0.0259,5000,129.5,EQNE
2007-01-23,0.0259,0.0259,0.0259,0.0259,2000,51.8,EQNE
2007-01-25,0.0253,0.0259,0.0253,0.0259,3000,77.1,EQNE
2007-01-26,0.0259,0.0259,0.0259,0.0259,2000,51.8,EQNE
2007-01-29,0.0259,0.0259,0.0259,0.0259,2000,51.8,EQNE
2007-01-31,0.0259,0.0259,0.0259,0.0259,2000,51.8,EQNE
2007-02-02,0.0259,0.0259,0.0259,0.0259,2000,51.8,EQNE
2007-02-07,0.0259,0.0259,0.0259,0.0259,1000,25.9,EQNE
2007-02-08,0.0259,0.0259,0.0259,0.0259,2000,51.8,EQNE
2007-02-28,0.0259,0.0259,0.0259,0.0259,140000,3626,EQNE
