date,open,high,low,close,volume,value,board
2006-11-29,0.0202,0.0202,0.0202,0.0202,33000,666.6,EQNE
2006-11-30,0.025,0.025,0.025,0.025,8000,200,EQNE
2006-12-01,0.025,0.025,0.025,0.025,100000,2500,EQNE
2006-12-11,0.021,0.021,0.021,0.021,15000,315,EQNE
2006-12-18,0.023,0.023,0.023,0.023,15000,345,EQNE
2006-12-20,0.023,0.023,0.023,0.023,9000000,207000,EQNE
2006-12-21,0.023,0.023,0.023,0.023,1412000,32476,EQNE
2006-12-22,0.0234,0.0234,0.0234,0.0234,1000,23.4,EQNE
2006-12-27,0.023,0.023,0.023,0.023,11000,253,EQNE
2006-12-28,0.0225,0.0225,0.0225,0.0225,570000,12825,EQNE
2007-01-10,0.0233,0.0233,0.0233,0.0233,33000,768.9,EQNE
2007-01-16,0.023,0.023,0.023,0.023,93000,2139,EQNE
2007-01-18,0.023,0.023,0.023,0.023,33000,759,EQNE
2007-01-24,0.021,0.021,0.021,0.021,15000,315,EQNE
2007-02-02,0.023,0.023,0.023,0.023,15000,345,EQNE
2007-02-05,0.0235,0.0258,0.0235,0.0258,3293000,77603.9,EQNE
2007-02-06,0.0259,0.0259,0.0259,0.0259,1448000,37503.2,EQNE
2007-02-08,0.0259,0.0441,0.0259,0.0329,6182000,235605.4,EQNE
2007-02-09,0.0246,0.0416,0.0246,0.0387,20485000,740258.2,EQNE
2007-02-12,0.038,0.0396,0.025,0.03,5039000,158367.8,EQNE
2007-02-13,0.0368,0.039,0.0301,0.0325,16201000,545092.2,EQNE
2007-02-14,0.0375,0.049,0.0309,0.0399,17727000,654105.5,EQNE
2007-02-15,0.04,0.04,0.025,0.033,11187000,385640.7,EQNE
2007-02-16,0.0349,0.0356,0.0311,0.0345,1033000,35456.5,EQNE
2007-02-19,0.0335,0.0339,0.0285,0.0312,354112000,10665147.2,EQNE
2007-02-20,0.0303,0.0349,0.0282,0.034,8884000,293386.2,EQNE
2007-02-21,0.0342,0.0346,0.0322,0.0335,186555000,6237085.1,EQNE
2007-02-22,0.034,0.036,0.033,0.0338,11605000,396854.2,EQNE
2007-02-26,0.037,0.0545,0.0349,0.041,56361000,2542629.2,EQNE
2007-02-27,0.0418,0.0499,0.03,0.0341,24905000,969877.8,EQNE
2007-02-28,0.0341,0.0365,0.03,0.0326,4908000,157954.7,EQNE
2007-03-01,0.0326,0.035,0.025,0.031,18681000,604851.4,EQNE
2007-03-02,0.032,0.033,0.0275,0.0301,54882000,1617454.8,EQNE
2007-03-05,0.03,0.03,0.0221,0.0245,46875000,1342188.3,EQNE
2007-03-06,0.0245,0.029,0.0245,0.028,4171000,113516,EQNE
2007-03-07,0.0305,0.0305,0.0272,0.0279,2652000,75170,EQNE
2007-03-09,0.0305,0.0305,0.0276,0.0292,5461000,157962.5,EQNE
2007-03-12,0.0299,0.0299,0.0274,0.0286,5573000,157413.3,EQNE
2007-03-13,0.0314,0.0314,0.0265,0.0287,1673000,46951.2,EQNE
2007-03-14,0.0272,0.0283,0.0267,0.028,38000,1043,EQNE
2007-03-15,0.028,0.0284,0.0258,0.027,1157000,30314.9,EQNE
2007-03-16,0.0309,0.0309,0.0245,0.0265,594000,15270.1,EQNE
2007-03-19,0.027,0.0293,0.027,0.0283,4854000,137728.5,EQNE
2007-03-20,0.0292,0.0309,0.0289,0.03,1116000,33374.5,EQNE
2007-03-21,0.0305,0.031,0.0303,0.0306,3425000,104514.7,EQNE
2007-03-22,0.0308,0.0315,0.0306,0.0311,237000,7316.3,EQNE
2007-03-23,0.0311,0.0311,0.0307,0.0309,866000,26748.4,EQNE
2007-03-26,0.0266,0.0314,0.0266,0.0302,185000,5558.8,EQNE
