date,open,high,low,close,volume,value,board
2007-11-29,0.0188,0.0188,0.0188,0.0188,2,0.04,SMAL
2007-11-30,0.0188,0.019,0.0188,0.019,17,0.34,SMAL
2007-12-11,0.0188,0.023,0.0188,0.023,25,0.5,SMAL
2007-12-17,0.0188,0.0188,0.0188,0.0188,52,1.04,SMAL
2007-12-18,0.0188,0.0188,0.0188,0.0188,20,0.4,SMAL
2007-12-19,0.0188,0.0188,0.0188,0.0188,15,0.3,SMAL
2007-12-20,0.019,0.0216,0.019,0.0216,200,4.06,EQNL
2007-12-21,0.0188,0.0188,0.0188,0.0188,10,0.2,SMAL
2007-12-25,0.0188,0.0188,0.0188,0.0188,29,0.58,SMAL
2007-12-26,0.0188,0.02,0.0188,0.02,28,0.56,SMAL
2007-12-27,0.0188,0.0188,0.0188,0.0188,9,0.18,SMAL
2007-12-28,0.0188,0.0188,0.0188,0.0188,23,0.46,SMAL
2008-01-10,0.0188,0.0188,0.0188,0.0188,18,0.36,SMAL
2008-01-11,0.021,0.021,0.021,0.021,100,2.1,EQNL
2008-01-15,0.0188,0.0188,0.0188,0.0188,4,0.08,SMAL
2008-01-16,0.0188,0.0188,0.0188,0.0188,3,0.06,SMAL
2008-01-21,0.0188,0.0188,0.0188,0.0188,6,0.12,SMAL
2008-01-25,0.0188,0.019,0.0188,0.0188,4,0.08,SMAL
2008-01-28,0.0188,0.0188,0.0188,0.0188,1,0.02,SMAL
2008-01-29,0.0188,0.0188,0.0188,0.0188,3,0.06,SMAL
2008-01-30,0.0188,0.02,0.0188,0.02,7,0.14,SMAL
2008-02-04,0.0208,0.0208,0.0208,0.0208,100,2.08,EQNL
2008-02-05,0.02,0.02,0.02,0.02,10,0.2,SMAL
