date,open,high,low,close,volume,value,board
2007-05-21,0.0335,0.0335,0.0335,0.0335,60900,2040.15,EQNE
2007-05-22,0.029,0.0345,0.026,0.03,9967600,310940.28,EQNE
2007-05-23,0.0329,0.0329,0.0279,0.03,2300900,69109.91,EQNE
2007-05-24,0.0332,0.0332,0.027,0.027,695500,19920.34,EQNE
2007-05-25,0.027,0.0421,0.027,0.0299,5016900,147295.94,EQNE
2007-05-28,0.031,0.031,0.0251,0.0302,561400,17391.24,EQNE
2007-05-29,0.0304,0.0304,0.0256,0.026,18802300,524175.19,EQNE
2007-05-30,0.025,0.029,0.025,0.0251,4419200,112727.3,EQNE
2007-05-31,0.0254,0.028,0.025,0.028,1806600,45302.61,EQNE
2007-06-01,0.0271,0.0271,0.0263,0.0271,4652500,125882.47,EQNE
2007-06-04,0.0261,0.0261,0.0258,0.0258,2000,51.64,EQNE
2007-06-05,0.0294,0.0294,0.026,0.026,200,5.54,EQNE
2007-06-06,0.028,0.0284,0.027,0.027,41200,1154.3,EQNE
2007-06-07,0.0263,0.0263,0.026,0.026,261000,6788.04,EQNE
2007-06-08,0.0296,0.0297,0.02,0.0278,102200,2832.49,EQNE
2007-06-09,0.0268,0.0297,0.0268,0.0297,3900,106.17,EQNE
2007-06-14,0.0275,0.0275,0.0272,0.0273,1550900,42228.53,EQNE
2007-06-15,0.0274,0.0274,0.0274,0.0274,600,16.44,EQNE
2007-06-18,0.0275,0.0275,0.0275,0.0275,500000,13750,EQNE
2007-06-19,0.0287,0.0296,0.0287,0.029,202300,5867.23,EQNE
2007-06-20,0.0289,0.0289,0.0289,0.0289,528900,15285.21,EQNE
2007-06-25,0.0288,0.0288,0.0288,0.0288,559500,16113.6,EQNE
2007-06-26,0.0272,0.0272,0.0271,0.0271,100000,2710.13,EQNE
2007-06-28,0.0288,0.0288,0.0288,0.0288,200,5.76,EQNE
2007-06-29,0.0285,0.0285,0.0285,0.0285,12900,367.65,EQNE
2007-07-04,0.0294,0.0294,0.0279,0.028,3441900,97795.2,EQNE
2007-07-05,0.029,0.029,0.0285,0.0287,1007400,29210.93,EQNE
2007-07-06,0.0293,0.031,0.0288,0.0303,18491800,564537.56,EQNE
2007-07-09,0.0318,0.0318,0.031,0.0311,600,18.86,EQNE
2007-07-10,0.0321,0.0325,0.0321,0.0325,75000100,2407503.25,EQNE
2007-07-11,0.0323,0.0327,0.0311,0.0327,55000200,1778506.37,EQNE
2007-07-12,0.0334,0.0334,0.0304,0.0304,150200,4956.38,EQNE
2007-07-13,0.0321,0.033,0.0321,0.033,200,6.51,EQNE
2007-07-16,0.0325,0.0325,0.032,0.032,6500000,208000.4,EQNE
2007-07-18,0.0301,0.0301,0.0301,0.0301,1968300,59245.83,EQNE
2007-07-20,0.0306,0.0307,0.0306,0.0307,1400,42.91,EQNE
2007-07-23,0.03,0.03,0.03,0.03,1968300,59049,EQNE
2007-07-24,0.032,0.032,0.032,0.032,100,3.2,EQNE
2007-07-26,0.03,0.03,0.03,0.03,1550000,46500,EQNE
2007-07-31,0.03,0.03,0.03,0.03,8700,261,EQNE
2007-08-06,0.0295,0.0295,0.0295,0.0295,14600000,430700,EQNE
2007-08-07,0.0297,0.0297,0.0297,0.0297,100,2.97,EQNE
2007-08-08,0.0295,0.0295,0.0295,0.0295,45100,1330.45,EQNE
2007-08-09,0.0278,0.028,0.0278,0.028,273500,7630.6,EQNE
2007-08-10,0.0294,0.0295,0.0294,0.0295,2000500,59014.7,EQNE
2007-08-15,0.0265,0.0265,0.0265,0.0265,1550000,41075,EQNE
2007-08-16,0.0263,0.0263,0.0255,0.0255,150100,3827.64,EQNE
