date,open,high,low,close,volume,value,board
2006-08-29,0.018,0.018,0.018,0.018,590100,10621.8,EQNE
2006-08-30,0.018,0.018,0.018,0.018,1558600,28054.8,EQNE
2006-09-01,0.018,0.018,0.018,0.018,38500,693,EQNE
2006-09-04,0.018,0.018,0.018,0.018,200,3.6,EQNE
2006-09-07,0.018,0.018,0.018,0.018,115700,2082.6,EQNE
2006-09-11,0.018,0.018,0.018,0.018,935400,16837.2,EQNE
2006-09-13,0.018,0.019,0.018,0.019,51632200,981010.7,EQNE
2006-09-14,0.02,0.02,0.019,0.019,340100,6462,EQNE
2006-09-15,0.019,0.02,0.019,0.02,1900000,37659.3,EQNE
2006-09-18,0.019,0.019,0.019,0.019,6026300,114499.7,EQNE
2006-09-19,0.019,0.019,0.019,0.019,110000,2090,EQNE
2006-09-20,0.019,0.019,0.019,0.019,8900,169.1,EQNE
2006-09-21,0.019,0.019,0.018,0.019,7600000,143900,EQNE
2006-09-25,0.017,0.018,0.017,0.018,1092400,18572,EQNE
2006-09-26,0.017,0.017,0.016,0.016,15122100,248491.5,EQNE
2006-09-27,0.017,0.018,0.017,0.018,8695400,147851.8,EQNE
2006-09-28,0.018,0.019,0.018,0.018,5903300,111055,EQNE
2006-09-29,0.017,0.017,0.017,0.017,9998700,169977.9,EQNE
2006-10-03,0.017,0.017,0.017,0.017,780000,13260,EQNE
2006-10-10,0.018,0.018,0.018,0.018,1090000,19620,EQNE
2006-10-12,0.018,0.018,0.018,0.018,1347000,24246,EQNE
2006-10-13,0.018,0.018,0.018,0.018,8651700,155730.6,EQNE
2006-10-16,0.018,0.018,0.017,0.017,4250000,76450,EQNE
2006-10-17,0.018,0.019,0.017,0.017,130000,2310.2,EQNE
2006-10-18,0.018,0.018,0.017,0.017,34300,613,EQNE
2006-10-19,0.018,0.018,0.018,0.018,4535000,81630,EQNE
2006-10-20,0.017,0.017,0.017,0.017,200,3.4,EQNE
2006-10-23,0.018,0.018,0.018,0.018,1000100,18001.8,EQNE
2006-10-24,0.018,0.018,0.018,0.018,1000000,18000,EQNE
2006-10-25,0.019,0.019,0.017,0.017,16287100,276881,EQNE
2006-10-26,0.017,0.018,0.017,0.018,805000,13690,EQNE
2006-10-31,0.018,0.018,0.018,0.018,7400,133.2,EQNE
2006-11-02,0.018,0.019,0.018,0.019,5292700,95268.7,EQNE
2006-11-03,0.018,0.019,0.018,0.019,91031800,1724199.4,EQNE
2006-11-09,0.018,0.018,0.018,0.018,4700100,84601.8,EQNE
2006-11-10,0.02,0.02,0.019,0.02,13751800,261289.3,EQNE
