date,open,high,low,close,volume,value,board
2008-02-21,90,90,90,90.0,936,84240,EQNE
2008-02-28,95,97.5,95,97.5,2225,213875,EQNE
2008-02-29,103.9,103.9,103.9,103.9,1,103.9,EQNE
2008-03-04,103.9,104,103.9,104.0,2997,311538.15,EQNE
2008-03-13,92,92,92,92.0,1,92,EQNE
2008-03-18,105,105,88,88.0,2,193,EQNE
2008-03-19,103.8,103.8,103.8,103.8,1,103.8,EQNE
2008-03-28,105,105,105,105.0,2000,210000,EQNE
2008-04-02,105.9,105.9,86.91,86.91,3,279.81,EQNE
2008-04-03,105.9,105.9,105.9,105.9,2001,211905.9,EQNE
2008-04-08,105,105.75,105,105.75,4528,477138,EQNE
2008-04-25,105.99,105.99,105.99,105.99,607,64335.93,EQNE
2008-04-30,106.6,106.6,106.6,106.6,2000,213200,EQNE
