date,open,high,low,close,volume,value,board
2007-12-28,0.045,0.045,0.045,0.045,30000000,1350000,EQNE
2008-02-05,0.045,0.045,0.045,0.045,10000000,450000,EQNE
2008-02-15,0.0399,0.0399,0.0398,0.0398,2000,79.7,EQNE
2008-02-28,0.0398,0.0398,0.0398,0.0398,5000000,199000,EQNE
2008-03-06,0.0336,0.0336,0.0336,0.0336,3000,100.8,EQNE
2008-03-07,0.0368,0.0398,0.0336,0.0336,10157000,403272.2,EQNE
2008-03-11,0.03,0.03,0.03,0.03,3000,90,EQNE
2008-03-17,0.03,0.03,0.03,0.03,2000,60,EQNE
2008-03-19,0.033,0.0399,0.0259,0.0259,10076000,400733.9,EQNE
2008-03-21,0.0397,0.0397,0.0259,0.032,5303000,209580.4,EQNE
2008-03-24,0.0297,0.0297,0.0291,0.0291,2700000,78572.4,EQNE
2008-03-25,0.0297,0.031,0.029,0.029,152000,4471.7,EQNE
2008-03-26,0.026,0.03,0.026,0.03,161000,4700.8,EQNE
2008-03-28,0.0286,0.0286,0.0286,0.0286,47000,1344.2,EQNE
2008-04-01,0.03,0.037,0.03,0.037,1076000,32401.8,EQNE
2008-04-02,0.03,0.0315,0.03,0.0315,950000,29812.5,EQNE
2008-04-03,0.0315,0.0315,0.0315,0.0315,2000000,63000,EQNE
2008-04-07,0.0349,0.0369,0.032,0.032,12000,391.8,EQNE
2008-04-08,0.0303,0.0303,0.03,0.03,3002000,90090.3,EQNE
2008-04-11,0.0309,0.0309,0.0309,0.0309,50000,1545,EQNE
2008-04-14,0.03,0.03,0.03,0.03,500000,15000,EQNE
2008-04-16,0.0267,0.0267,0.0267,0.0267,1000,26.7,EQNE
2008-04-17,0.0289,0.0289,0.0289,0.0289,22000000,635800,EQNE
2008-04-23,0.031,0.0335,0.031,0.0325,8169000,256423.6,EQNE
2008-04-24,0.0343,0.0348,0.032,0.032,6123000,197906.1,EQNE
2008-04-30,0.0319,0.0319,0.0312,0.0312,5133000,163237.3,EQNL
2008-05-07,0.0312,0.0314,0.0312,0.0314,5302000,166452.6,EQNL
2008-05-14,0.032,0.0325,0.032,0.0325,3711000,119002,EQNL
2008-05-15,0.0312,0.0312,0.0311,0.0311,70000,2177.2,EQNL
2008-05-20,0.0318,0.032,0.0318,0.032,11977000,383256.8,EQNL
2008-06-06,0.0272,0.032,0.0272,0.032,1021000,27867.2,EQNL
2008-06-10,0.0275,0.0318,0.0275,0.0318,3906000,107419.3,EQNL
2008-06-11,0.0272,0.0272,0.0272,0.0272,1000,27.2,EQNL
2008-06-20,0.027,0.027,0.027,0.027,16000,432,EQNL
2008-06-26,0.0241,0.0248,0.024,0.024,31000,756.1,EQNL
2008-07-07,0.027,0.027,0.027,0.027,1000,27,EQNL
2008-07-22,0.0329,0.033,0.0329,0.033,13000,428.1,EQNL
2008-07-25,0.033,0.033,0.033,0.033,50000,1650,EQNL
2008-07-28,0.0319,0.0329,0.0319,0.0329,20000,640.8,EQNL
2008-08-21,0.0329,0.0395,0.03,0.03,40070000,1582093.4,EQNL
2008-08-22,0.0355,0.0355,0.0299,0.03,34000000,1109375,EQNL
2008-08-28,0.03,0.03,0.03,0.03,10000,300,EQNL
2008-09-02,0.0285,0.0285,0.0221,0.0221,6955000,181807.9,EQNL
2008-09-05,0.0255,0.0255,0.0255,0.0255,1000,25.5,EQNL
2008-09-10,0.0249,0.0249,0.0249,0.0249,10100000,251490,EQNL
2008-09-12,0.0238,0.0238,0.019,0.019,849000,19879.8,EQNL
2008-09-15,0.0183,0.0183,0.0183,0.0183,487000,8912.1,EQNL
2008-09-23,0.0182,0.0182,0.0182,0.0182,1000,18.2,EQNL
2008-10-13,0.0182,0.0182,0.0182,0.0182,2000,36.4,EQNL
2008-10-14,0.0255,0.0255,0.0182,0.0182,11000,207.5,EQNL
2008-11-10,0.0182,0.0182,0.0182,0.0182,2000,36.4,EQNL
2008-11-14,0.0182,0.0182,0.0182,0.0182,83000,1510.6,EQNL
2008-12-01,0.0127,0.0127,0.0127,0.0127,2000,25.4,EQNL
2008-12-03,0.0122,0.0122,0.0089,0.01,215000,2041.1,EQNL
2008-12-05,0.0087,0.0087,0.007,0.0076,1233000,9259.3,EQNL
2008-12-09,0.0075,0.0075,0.0069,0.0069,28676000,200943.7,EQNL
2008-12-10,0.0067,0.0067,0.0067,0.0067,1000,6.7,EQNL
2008-12-11,0.0066,0.0066,0.0066,0.0066,1000,6.6,EQNL
2008-12-12,0.0065,0.0065,0.0051,0.0051,1599000,8489.4,EQNL
2008-12-15,0.006,0.0067,0.006,0.0067,2019000,12644.2,EQNL
2008-12-17,0.0067,0.0067,0.0059,0.0061,67000,397.7,EQNL
2008-12-18,0.006,0.006,0.0053,0.0057,2790000,16083.1,EQNL
2008-12-19,0.0059,0.0059,0.0059,0.0059,50000,295,EQNL
2008-12-24,0.006,0.006,0.0052,0.0052,2000,11.2,EQNL
2008-12-25,0.0052,0.0056,0.0052,0.0053,1806000,10014.7,EQNL
2008-12-26,0.0052,0.0052,0.0052,0.0052,1199000,6234.8,EQNL
2008-12-30,0.0053,0.0053,0.0051,0.0051,2000,10.4,EQNL
2008-12-31,0.0053,0.0053,0.005,0.005,122000,640,EQNL
2009-01-11,0.0053,0.0053,0.0053,0.0053,224000,1187.2,EQNL
2009-01-12,0.005,0.005,0.005,0.005,2428000,12140,EQNL
2009-01-13,0.0035,0.0035,0.0035,0.0035,333,1.17,SMAL
2009-01-20,0.0047,0.0047,0.0047,0.0047,11000,51.7,EQNL
2009-01-21,0.0046,0.0046,0.0044,0.0044,16000,71.4,EQNL
2009-01-22,0.0046,0.0046,0.0046,0.0046,900000,4140,EQNL
2009-01-23,0.0045,0.0045,0.0045,0.0045,3800000,17100,EQNL
2009-02-05,0.0042,0.0042,0.0042,0.0042,25000,105,EQNL
2009-02-06,0.004,0.004,0.0033,0.0033,2000,7.3,EQNL
2009-02-09,0.0036,0.004,0.0036,0.004,3720000,14879.6,EQNL
2009-02-10,0.0041,0.0041,0.0041,0.0041,2434000,9979.4,EQNL
2009-02-12,0.0042,0.0042,0.0042,0.0042,2000,8.4,EQNL
2009-02-16,0.0042,0.0042,0.0042,0.0042,1000000,4200,EQNL
2009-02-17,0.0045,0.0045,0.0043,0.0043,2221000,9850.4,EQNL
2009-02-18,0.0047,0.0047,0.004,0.004,201000,874.7,EQNL
2009-02-19,0.0044,0.0044,0.0044,0.0044,1000,4.4,EQNL
2009-02-20,0.0048,0.0048,0.0041,0.0042,2153000,8843.5,EQNL
2009-02-24,0.0042,0.0042,0.0042,0.0042,1000000,4200,EQNL
2009-02-25,0.0046,0.0046,0.0046,0.0046,4000,18.4,EQNL
2009-02-26,0.0044,0.0055,0.0041,0.0047,127488000,578154.2,EQNL
2009-02-27,0.0048,0.0048,0.0048,0.0048,4000,19.2,EQNL
2009-03-04,0.0049,0.0049,0.0049,0.0049,70000,343,EQNL
2009-03-10,0.0047,0.0047,0.0047,0.0047,1000000,4700,EQNL
2009-03-11,0.0048,0.0048,0.0048,0.0048,104000,499.2,EQNL
2009-03-12,0.0048,0.0048,0.0048,0.0048,1000000,4800,EQNL
2009-03-13,0.0049,0.0049,0.0043,0.0043,1002000,4908.6,EQNL
2009-03-16,0.0043,0.0043,0.0038,0.0041,23278000,97344.9,EQNL
2009-03-17,0.0041,0.0042,0.0041,0.0042,2400000,9841.9,EQNL
2009-03-18,0.0041,0.0041,0.0041,0.0041,1000,4.1,EQNL
2009-03-19,0.0041,0.0041,0.0041,0.0041,5971000,24481.1,EQNL
2009-03-20,0.0042,0.0043,0.0042,0.0043,11942000,50753.5,EQNL
2009-03-23,0.0044,0.0049,0.0044,0.0045,13501000,60014.9,EQNL
2009-03-24,0.0045,0.005,0.0045,0.0048,30713000,141156.8,EQNL
2009-03-25,0.0049,0.0053,0.0049,0.0053,9690000,48278.5,EQNL
2009-03-26,0.0051,0.0053,0.0051,0.0053,14790000,77837,EQNL
2009-03-27,0.0053,0.0069,0.0053,0.0062,4592000,27555.9,EQNL
2009-03-30,0.0054,0.006,0.0054,0.006,15900000,93934.2,EQNL
2009-04-01,0.0059,0.006,0.0058,0.006,3620000,21218.5,EQNL
2009-04-02,0.0059,0.007,0.0058,0.007,4401000,26330.5,EQNL
2009-04-03,0.0065,0.007,0.0065,0.007,1106000,7212.1,EQNL
2009-04-06,0.0075,0.0075,0.0064,0.0064,8248000,58812.8,EQNL
2009-04-08,0.0072,0.008,0.0072,0.008,53197000,415396.8,EQNL
2009-04-09,0.008,0.008,0.0077,0.0079,4021000,31665.7,EQNL
2009-04-10,0.0078,0.008,0.0078,0.008,60200000,470160,EQNL
2009-04-13,0.0081,0.01,0.008,0.0097,132001000,1218485.7,EQNL
2009-04-14,0.0121,0.0121,0.0085,0.0099,32618000,339875.8,EQNL
2009-04-15,0.011,0.011,0.0081,0.0102,9771000,96160,EQNL
2009-04-17,0.0106,0.011,0.0078,0.0106,29000,304,EQNL
2009-04-20,0.0095,0.0104,0.0081,0.0104,78259000,770104.3,EQNL
2009-04-21,0.0082,0.01,0.0081,0.0093,2959000,27251.4,EQNL
2009-04-22,0.0095,0.01,0.0093,0.0093,4267000,39895.8,EQNL
2009-04-23,0.0098,0.0115,0.0088,0.0101,153000,1540.5,EQNL
2009-04-24,0.0105,0.0105,0.0093,0.0093,3000,30.1,EQNL
2009-04-27,0.0105,0.0105,0.0085,0.0097,772000,7360.4,EQNL
2009-04-28,0.0096,0.0096,0.0075,0.0094,1055000,8755.5,EQNL
2009-04-29,0.0076,0.0095,0.0075,0.0089,9843000,80586,EQNL
2009-04-30,0.0096,0.0096,0.008,0.0094,3021000,26782.2,EQNL
2009-05-04,0.0088,0.0091,0.0082,0.0088,11186000,95415,EQNL
2009-05-05,0.0088,0.0088,0.0081,0.0087,5736000,50426.6,EQNL
2009-05-06,0.0087,0.0088,0.0087,0.0088,4122000,36153.6,EQNL
2009-05-07,0.0081,0.0089,0.0081,0.0089,5668000,50336.5,EQNL
2009-05-08,0.009,0.0106,0.0083,0.0087,32689000,302019.1,EQNL
2009-05-12,0.0098,0.0099,0.0083,0.0087,145000,1290.7,EQNL
2009-05-13,0.0091,0.0098,0.0084,0.0085,6381000,55938.7,EQNL
2009-05-14,0.0076,0.0085,0.0075,0.0085,1158000,9615.8,EQNL
2009-05-15,0.0088,0.0098,0.0088,0.0098,4245000,37509,EQNL
2009-05-18,0.0097,0.0099,0.0095,0.0099,5365000,51065.2,EQNL
