date,open,high,low,close,volume,value,board
2007-02-13,0.009,0.009,0.009,0.009,10000,90,EQNE
2007-02-15,0.009,0.03,0.009,0.0276,684972000,18187473.4,EQNE
2007-02-16,0.0291,0.0473,0.0265,0.0272,604004000,19764808.4,EQNE
2007-02-19,0.0287,0.0287,0.0201,0.022,246374000,5649213.1,EQNE
2007-02-20,0.0243,0.0243,0.018,0.0189,147276000,2932710.1,EQNE
2007-02-21,0.018,0.0181,0.0162,0.017,128854000,2232035.4,EQNE
2007-02-22,0.0175,0.0175,0.0161,0.0169,104878000,1743765.2,EQNE
2007-02-26,0.0167,0.017,0.0162,0.0168,39060000,649584.9,EQNE
2007-02-27,0.0166,0.0168,0.0156,0.0162,31550000,508857.9,EQNE
2007-02-28,0.016,0.016,0.012,0.0145,82448000,1194513.1,EQNE
2007-03-01,0.014,0.0148,0.013,0.0135,70542000,973442.3,EQNE
2007-03-02,0.0144,0.0144,0.013,0.0141,9167000,127439.1,EQNE
2007-03-05,0.013,0.0137,0.0123,0.0132,21083000,273041.5,EQNE
2007-03-06,0.0137,0.0145,0.0134,0.014,28206000,395960,EQNE
2007-03-07,0.0149,0.0161,0.0139,0.0142,12189000,180433.8,EQNE
2007-03-09,0.0146,0.0148,0.0139,0.0143,13413000,189960.7,EQNE
2007-03-12,0.0148,0.0148,0.0141,0.0141,282000,4051.2,EQNE
2007-03-13,0.0147,0.0147,0.0132,0.0142,11598000,160160.6,EQNE
2007-03-14,0.0138,0.014,0.0131,0.0138,15194000,205654.2,EQNE
2007-03-15,0.0142,0.0143,0.013,0.0133,42001000,565689.7,EQNE
2007-03-16,0.0137,0.0137,0.0129,0.013,80894000,1051598.6,EQNE
2007-03-19,0.0134,0.0134,0.0125,0.013,98502000,1273393,EQNE
2007-03-20,0.013,0.013,0.0127,0.013,38931000,503748.3,EQNE
2007-03-21,0.0133,0.0134,0.0127,0.013,9161000,118972.5,EQNE
2007-03-22,0.0133,0.0133,0.0127,0.013,41766000,542007.9,EQNE
2007-03-23,0.0131,0.0131,0.0126,0.0128,17324000,219725.3,EQNE
2007-03-26,0.0125,0.013,0.0123,0.0128,27832000,352670.6,EQNE
2007-03-27,0.0129,0.013,0.0127,0.0127,4414000,56731.9,EQNE
2007-03-28,0.013,0.013,0.0123,0.0126,34842000,436049.7,EQNE
2007-03-29,0.0128,0.0128,0.0121,0.0124,36196000,447179.1,EQNE
2007-03-30,0.0124,0.0124,0.0121,0.0122,12265000,149049.7,EQNE
2007-04-02,0.0124,0.0126,0.0115,0.012,54973000,657935.9,EQNE
2007-04-03,0.0119,0.012,0.0115,0.0117,15798000,185546.7,EQNE
2007-04-04,0.0128,0.0128,0.0113,0.012,44154000,525271.8,EQNE
2007-04-05,0.0112,0.0125,0.0112,0.0122,4343000,52731.2,EQNE
2007-04-06,0.013,0.013,0.012,0.0122,3527000,42730,EQNE
2007-04-09,0.0131,0.0131,0.0115,0.012,26447000,310658.5,EQNE
2007-04-10,0.0119,0.012,0.0118,0.0119,6284000,74682,EQNE
2007-04-11,0.012,0.012,0.0116,0.0118,5358000,63096.9,EQNE
2007-04-12,0.0116,0.0118,0.0115,0.0116,10635000,122956.3,EQNE
