date,open,high,low,close,volume,value,board
2016-02-09,246.995,246.995,149.906,149.906,4800,739004.2,TQDE
2016-02-10,144,144,144,144.0,100,14400,TQDE
2016-02-17,130,130,130,130.0,400,52000,TQDE
2016-03-01,123,123,123,123.0,200,24600,TQDE
2016-03-14,119.5,119.5,119,119.0,21200,2531150,TQDE
2016-03-15,118,118,117,117.0,93500,11009500,TQDE
2016-03-18,117,117,116,116.0,33500,3895950,TQDE
2016-03-24,116,116,116,116.0,123300,14302800,TQDE
2016-04-12,112,112,112,112.0,453000,50736000,TQDE
2016-04-13,112,112,112,112.0,325300,36433600,TQDE
2016-04-18,110,110,110,110.0,100,11000,TQDE
2016-04-19,109,109,108.5,108.5,400,43500,TQDE
2016-04-20,109.5,115,109.5,115.0,200,22450,TQDE
2016-04-22,109.5,109.5,109.5,109.5,600,65700,TQDE
2016-04-28,109,109,109,109.0,100,10900,TQDE
2016-05-20,109,109,109,109.0,800,87200,TQDE
2016-05-26,105,105,105,105.0,100,10500,TQDE
2016-05-30,105,105,105,105.0,100,10500,TQDE
2016-06-06,104,104,104,104.0,100,10400,TQDE
2016-06-14,104,104,104,104.0,20,2080,TQDE
2016-06-17,108,108,108,108.0,10000,1080000,TQDE
2016-07-05,107.5,107.5,107.5,107.5,450,48375,TQDE
2016-07-28,70,110,70,104.5,340,26440,TQDE
2016-08-17,102,103,102,103.0,20,2050,TQDE
2016-08-23,103,103,103,103.0,10,1030,TQDE
2016-08-24,103,103,103,103.0,10,1030,TQDE
2016-08-25,62,62,62,62.0,18,1116,SMAL
2016-09-02,97,97,97,97.0,10,970,TQDE
2016-09-15,95.5,97,95.5,97.0,20,1925,TQDE
2016-09-16,97,97,97,97.0,10,970,TQDE
2016-09-19,97,97,97,97.0,110,10670,TQDE
2016-09-22,90,95,90,95.0,20,1850,TQDE
2016-09-23,93,132.5,93,104.5,450,46995,TQDE
2016-09-26,106,107,106,107.0,270,28840,TQDE
2016-09-29,102,102,67,102.0,30,2710,TQDE
2016-10-03,101,101,101,101.0,10,1010,TQDE
2016-10-05,101,101,101,101.0,10,1010,TQDE
2016-10-06,101.5,101.5,101.5,101.5,20,2030,TQDE
2016-10-10,102,102,102,102.0,50,5100,TQDE
2016-10-11,101.5,101.5,101.5,101.5,220,22330,TQDE
2016-10-12,95,95,95,95.0,8010,760950,TQDE
2016-10-18,79,79,64,64.0,3770,241740,TQDE
