date,open,high,low,close,volume,value,board
2010-12-06,92,94.75,83.02,88.0,637865,56495242.29,EQNE
2010-12-07,90,91.6,85.77,86.6,295084,26129363.32,EQNE
2010-12-08,86.5,87.34,85.77,86.0,333950,28893611.82,EQNE
2010-12-09,86.11,88.74,84,84.8,285719,24358009.48,EQNE
2010-12-10,85.34,85.67,83.99,84.0,163040,13770276.04,EQNE
2010-12-13,84.52,87.04,84.52,86.32,462856,40195566.78,EQNE
2010-12-14,86.89,87.12,82.7,83.0,373218,31405117.42,EQNE
2010-12-15,83.88,83.88,82.88,83.5,97894,8187220.13,EQNE
2010-12-16,83.53,85.5,83.2,83.2,235420,19746035.4,EQNE
2010-12-17,83.2,83.5,82.79,83.15,82827,6883191.37,EQNE
2010-12-20,82.78,84.1,82.6,83.4,413525,34525035.79,EQNE
2010-12-21,83.4,84.05,83.09,84.05,268817,22449532.71,EQNE
2010-12-22,84.25,84.25,83.18,83.18,206202,17264262.37,EQNE
2010-12-23,83.2,83.25,82.6,83.02,234020,19422591.2,EQNE
2010-12-24,83.44,83.44,82.3,82.5,24496,2027543.93,EQNE
2010-12-27,82.88,82.88,81.64,81.9,23666,1942177.8,EQNE
2010-12-28,82.5,82.5,80.99,81.3,85188,6938490.86,EQNE
2010-12-29,81.87,81.87,80.8,81.7,353153,28848610.98,EQNE
2010-12-30,81.7,82.25,81.5,81.97,696953,57149008.94,EQNE
2011-01-11,82.69,85.8,82.51,85.6,277977,23474162.81,EQNE
2011-01-12,85.6,87.7,85.5,87.7,221818,19177811.55,EQNE
2011-01-13,87.8,91.2,87,89.37,1395211,125249032.55,EQNE
2011-01-14,90.4,90.53,88.15,90.3,770129,69215427.78,EQNE
2011-01-17,92.91,97.9,91,96.19,1869088,176531214.17,EQNE
2011-01-18,96.25,96.75,92,94.5,312170,29681671.47,EQNE
2011-01-19,95.01,95.82,91.42,94.0,456166,42769711.23,EQNE
2011-01-20,92.08,92.08,82.01,88.29,1324216,117445097.51,EQNE
2011-01-21,88.4,90.49,87.5,89.9,436108,38893365.04,EQNE
2011-01-24,85.28,90.05,85.28,87.0,535782,47217331.96,EQNE
2011-01-25,87.35,87.9,86.25,87.25,1152141,100476742.39,EQNE
2011-01-26,87.35,87.7,86.9,86.98,761230,66418358.17,EQNE
2011-01-27,87.2,87.4,85.31,85.7,632319,54789060.22,EQNE
2011-01-28,85.88,87.5,84.2,84.4,1036550,88137654.65,EQNE
2011-01-31,84.01,84.48,82.51,82.8,493554,40917923.6,EQNE
2011-02-01,82.8,86.29,82.7,86.29,1989211,167059251.44,EQNE
2011-02-02,87,87.25,85.09,85.97,362973,31208508.1,EQNE
2011-02-03,86.5,86.5,84.51,84.88,128435,10921636.78,EQNE
2011-02-04,86.72,92,86.28,87.6,2024828,180193936.81,EQNE
2011-02-07,87.98,88,85.8,86.5,294526,25459054.45,EQNE
2011-02-08,85.36,88,85.36,87.01,714254,62056982.55,EQNE
2011-02-09,87.93,87.94,86.66,87.3,282925,24627945.5,EQNE
2011-02-10,87.3,87.99,85.52,87.2,733689,63526756.17,EQNE
2011-02-11,86.75,89.5,86.75,89.39,637017,56642255.81,EQNE
2011-02-14,89.75,90,87.6,88.3,129164,11483800.3,EQNE
2011-02-15,88.1,88.1,87.02,87.5,75914,6652686.34,EQNE
2011-02-16,87.69,87.69,85.52,87.35,52363,4550493.71,EQNE
2011-02-17,87.5,87.89,87.01,87.5,109594,9578523.8,EQNE
2011-02-18,87.36,87.79,87,87.45,262015,22876359.74,EQNE
2011-02-21,86.54,88,86.54,87.75,119337,10465851.1,EQNE
2011-02-22,88,88.49,87,87.75,107498,9429393.89,EQNE
2011-02-24,88,90.88,87.01,88.0,826352,73033158.03,EQNE
2011-02-25,88.43,88.43,86.76,87.39,372219,32565104.94,EQNE
2011-02-28,87.99,88,86.77,87.22,164726,14401750.3,EQNE
2011-03-01,92,92,86.36,87.0,130600,11380463,EQNE
2011-03-02,84.52,88.6,84.52,87.5,265700,23293651,EQNE
2011-03-03,88.01,88.96,87.01,87.4,277300,24304083,EQNE
2011-03-04,87.4,87.97,87.4,87.67,93100,8151885,EQNE
2011-03-05,87.42,87.96,87.42,87.7,10300,902438,EQNE
2011-03-09,88.23,88.23,87.42,87.91,52200,4584624,EQNE
2011-03-10,87.07,87.49,86.24,86.24,431400,37659112,EQNE
2011-03-11,85.01,86.88,82,85.0,111800,9524553,EQNE
2011-03-14,84.03,84.82,83.7,83.9,64600,5449956,EQNE
2011-03-15,83.7,83.7,81.37,81.89,170400,14019580,EQNE
2011-03-16,83.44,85,81.01,81.5,76400,6246356,EQNE
2011-03-17,81.6,82.9,81,82.0,677700,55554985,EQNE
2011-03-18,82.7,82.7,80.81,81.47,183200,15050074,EQNE
2011-03-21,81.51,81.51,80.8,81.0,214700,17393788,EQNE
2011-03-22,81.01,81.01,80.6,80.8,263700,21302604,EQNE
2011-03-23,80.96,81.41,80.6,81.15,631800,51122945,EQNE
2011-03-24,81.2,82.3,80.69,82.0,1059000,85914755,EQNE
2011-03-25,82,83.9,82,83.7,367900,30697874,EQNE
2011-03-28,83.88,84.02,83.11,84.0,230800,19357849,EQNE
2011-03-29,84,84.16,83.25,83.27,83900,7014211,EQNE
2011-03-30,83.7,85,83.35,85.0,95200,8017492,EQNE
2011-03-31,85,86.19,83.48,84.05,437700,36893402,EQNE
