date,open,high,low,close,volume,value,board
2010-12-06,86.66,86.82,78.52,79.89,906978,74683270.96,EQNE
2010-12-07,80.48,80.48,79,79.45,456037,36407949.02,EQNE
2010-12-08,79.99,80,78.26,78.26,152955,12069601.07,EQNE
2010-12-09,75.92,79.54,75.92,77.0,189303,14653246.98,EQNE
2010-12-10,77,77,75.05,76.0,102168,7774483.63,EQNE
2010-12-13,76.49,77,76.04,76.69,134629,10314593.49,EQNE
2010-12-14,76.88,76.88,74,75.0,202335,15173728.93,EQNE
2010-12-15,75.25,75.25,73.9,74.36,166943,12406140.45,EQNE
2010-12-16,74.45,74.98,74,74.43,142600,10580583.56,EQNE
2010-12-17,74.49,74.99,73.65,74.62,359673,26764438.57,EQNE
2010-12-20,74.3,75.5,74.3,75.0,208418,15670382.25,EQNE
2010-12-21,75.25,76.72,74.41,76.4,209903,15822294.1,EQNE
2010-12-22,76.4,76.75,75.5,76.5,391075,29700320.84,EQNE
2010-12-23,75.84,76.5,75.5,75.78,207580,15731350.13,EQNE
2010-12-24,76.43,76.43,75.2,75.35,328136,24770243.79,EQNE
2010-12-27,75.8,75.8,74.87,75.4,98189,7365119.26,EQNE
2010-12-28,75.26,75.49,74,74.0,254547,18948486.81,EQNE
2010-12-29,77.7,77.7,74,74.92,121474,9025871.55,EQNE
2010-12-30,75,75.35,74.73,75.0,74533,5594300.61,EQNE
2011-01-11,75.75,76.75,74.45,76.4,129327,9826152.51,EQNE
2011-01-12,76.82,77.99,76.44,77.6,201783,15604887.26,EQNE
2011-01-13,77.89,79.85,77.02,79.0,207704,16367989.41,EQNE
2011-01-14,79,79.9,78.31,79.1,398342,31482188.76,EQNE
2011-01-17,79.55,81.99,79.01,81.5,751569,60637512.51,EQNE
2011-01-18,81.5,81.5,80,80.0,460490,37189826.73,EQNE
2011-01-19,80.02,80.7,79.75,79.75,156480,12537409.53,EQNE
2011-01-20,79.73,79.99,78.15,79.0,311456,24520547.66,EQNE
2011-01-21,79,80.5,78.53,80.24,139341,11140871.66,EQNE
2011-01-24,80.24,80.44,78.24,79.48,45931,3658310,EQNE
2011-01-25,80,80.4,78.51,80.0,453062,36122334.35,EQNE
2011-01-26,80,80,78.71,78.94,238992,18872254.76,EQNE
2011-01-27,78.98,78.98,77.52,77.68,133102,10406151.26,EQNE
2011-01-28,78.03,78.04,77,78.04,262542,20330848.67,EQNE
2011-01-31,80.75,80.75,76.95,77.7,255686,19752569.87,EQNE
2011-02-01,78,79.59,77.12,78.57,307806,24153817.95,EQNE
2011-02-02,79.02,79.5,77.51,77.9,284319,22265811.39,EQNE
2011-02-03,77.85,78,76.5,76.7,331552,25601364.63,EQNE
2011-02-04,76.75,80,76.75,78.04,678494,53279095.92,EQNE
2011-02-07,78.2,78.2,77.03,77.56,160164,12400457.03,EQNE
2011-02-08,77.31,78.2,77.3,78.15,170184,13250256.02,EQNE
2011-02-09,78.5,78.87,78,78.4,117482,9201425.61,EQNE
2011-02-10,74.46,78.91,74.46,78.0,278210,21745244.34,EQNE
2011-02-11,78.14,79.5,78,78.9,232249,18327852.31,EQNE
2011-02-14,79,79,78.01,79.0,19524,1540309.97,EQNE
2011-02-15,78.61,79.67,78.06,78.08,154780,12208363.37,EQNE
2011-02-16,79,79,78.3,78.5,12821,1006466.28,EQNE
2011-02-17,78.89,79,78.49,78.8,12347,973693.13,EQNE
2011-02-18,78.32,79,77.5,78.29,35478,2781493.01,EQNE
2011-02-21,78.79,79.5,77.71,79.0,51253,4038567.92,EQNE
2011-02-22,76.51,78.9,76.51,78.7,47406,3693747.97,EQNE
2011-02-24,78.12,78.99,77.07,78.0,77570,6064984.08,EQNE
2011-02-25,78.5,78.5,77.81,78.2,82402,6434536.79,EQNE
2011-02-28,78,78.2,77.67,78.1,146246,11405528.19,EQNE
2011-03-01,79.99,79.99,77.78,78.28,19300,1510752,EQNE
2011-03-02,78.4,78.42,77.61,77.73,140600,10949809,EQNE
2011-03-03,78,78,76.7,76.7,153300,11862200,EQNE
2011-03-04,77.47,78.14,77,77.78,70000,5427626,EQNE
2011-03-05,77.51,77.8,77,77.36,11200,865029,EQNE
2011-03-09,77.21,78,77.2,77.77,39700,3086429,EQNE
2011-03-10,77.24,77.5,76.78,76.78,86400,6663843,EQNE
2011-03-11,76.72,77,76.2,76.35,76100,5832082,EQNE
2011-03-14,76.17,76.4,75.9,75.97,49400,3761159,EQNE
2011-03-15,75.53,75.76,73.37,73.6,221700,16387362,EQNE
2011-03-16,74,74,73,73.0,85900,6307515,EQNE
2011-03-17,73,73,71.7,72.0,202400,14562745,EQNE
2011-03-18,72.59,72.99,72.03,72.58,75500,5465189,EQNE
2011-03-21,72.79,73,72.4,72.85,107100,7798816,EQNE
2011-03-22,72.71,73.54,72.71,73.5,62000,4532806,EQNE
2011-03-23,73.5,75.3,73.4,74.75,60700,4516500,EQNE
2011-03-24,74.74,75,74.6,75.0,109500,8186729,EQNE
2011-03-25,75.9,76.4,75.66,76.0,61500,4676590,EQNE
2011-03-28,76,77.5,75.51,76.52,139700,10631402,EQNE
2011-03-29,76.74,76.74,75.6,75.8,27900,2117276,EQNE
2011-03-30,76.33,76.72,75.79,75.81,17300,1314690,EQNE
2011-03-31,75.76,76.38,75.76,76.03,57100,4351199,EQNE
2011-04-01,75.76,76.21,75.75,76.2,84200,6409690,EQNE
2011-04-04,76.2,77.9,76.2,77.1,198800,15190601,EQNE
2011-04-05,76.82,77.1,75.76,77.1,27700,2123561,EQNE
2011-04-06,77.6,78,77.49,77.9,698900,54417964,EQNE
2011-04-07,77.11,79.99,76.7,78.22,292000,22604976,EQNE
2011-04-08,78.2,80.11,78,79.8,439500,34953494,EQNE
2011-04-11,79.51,82.6,79.51,81.42,514700,41841433,EQNE
2011-04-12,80.98,81,79.61,79.78,233300,18742948,EQNE
2011-04-13,79.54,81.49,79.02,81.49,109600,8848605,EQNE
2011-04-14,80.04,82.5,80,81.6,487200,39820260,EQNE
2011-04-15,80.16,81.91,80.15,80.15,142200,11558852,EQNE
2011-04-18,79.16,80.4,77,78.92,219500,17345548,EQNE
2011-04-19,78.5,79.2,78.5,79.0,50600,3993531,EQNE
2011-04-20,78.11,80,77.52,79.51,467900,37379028,EQNE
2011-04-21,79.99,80,78.3,78.3,79900,6339296,EQNE
2011-04-22,78.99,80.59,78.97,80.49,82500,6582794,EQNE
2011-04-25,80.97,81.49,78.45,78.45,77400,6190850,EQNE
2011-04-26,78.52,79.5,78.47,79.49,23900,1884453,EQNE
2011-04-27,79.49,80,78.5,78.51,77300,6107088,EQNE
2011-04-28,79.11,79.27,77.03,78.51,144600,11282578,EQNE
2011-04-29,78.5,79.9,78.01,79.0,33600,2646216,EQNE
2011-05-03,78.5,78.5,77,77.0,118700,9241949,EQNE
2011-05-04,77,78.28,76.75,76.9,140200,10839625,EQNE
