date,open,high,low,close,volume,value,board
2005-11-08,0.2,0.2,0.2,0.2,20500,4100,EQNE
2005-11-09,0.2,0.2,0.2,0.2,7100,1420,EQNE
2005-11-10,0.2,0.23,0.2,0.23,121400,25510,EQNE
2005-11-11,0.22,0.22,0.18,0.19,40100,7722,EQNE
2005-11-14,0.2,0.21,0.19,0.19,67800,13412,EQNE
2005-11-15,0.2,0.2,0.18,0.18,115000,21700,EQNE
2005-11-16,0.19,0.2,0.19,0.19,15000,2950,EQNE
2005-11-18,0.2,0.2,0.18,0.18,55600,10920,EQNE
2005-11-21,0.19,0.21,0.19,0.2,67700,13460,EQNE
2005-11-29,0.2,0.21,0.2,0.21,25000,5180,EQNE
2005-11-30,0.2,0.2,0.2,0.2,100,20,EQNE
2005-12-01,0.21,0.21,0.16,0.2,192900,37284,EQNE
2005-12-06,0.22,0.22,0.22,0.22,500,110,EQNE
2005-12-07,0.15,0.15,0.15,0.15,800,120,EQNE
2005-12-12,0.18,0.24,0.18,0.21,56100,12217,EQNE
2005-12-13,0.23,0.23,0.19,0.2,32000,6479,EQNE
2005-12-14,0.151,0.2,0.151,0.2,1300,218.6,EQNE
2005-12-15,0.2,0.2,0.16,0.16,8500,1580.1,EQNE
2005-12-16,0.161,0.161,0.16,0.16,20500,3280.6,EQNE
2005-12-20,0.17,0.2,0.17,0.198,10800,1867,EQNE
2005-12-21,0.18,0.18,0.18,0.18,1400,252,EQNE
2005-12-23,0.189,0.19,0.18,0.19,151600,28555.2,EQNE
2005-12-27,0.185,0.185,0.156,0.156,91500,14900,EQNE
2005-12-28,0.169,0.169,0.137,0.137,166800,25772.8,EQNE
2005-12-29,0.191,0.191,0.167,0.19,80100,14951.1,EQNE
2006-01-10,0.19,0.199,0.19,0.199,44700,8696.9,EQNE
2006-01-11,0.145,0.195,0.145,0.195,50500,7347.5,EQNE
2006-01-12,0.152,0.152,0.149,0.149,10000,1495.3,EQNE
2006-01-16,0.198,0.198,0.198,0.198,10000,1980,EQNE
2006-01-18,0.18,0.185,0.18,0.18,80800,14547.5,EQNE
2006-01-19,0.147,0.18,0.147,0.18,110000,19470,EQNE
2006-01-20,0.175,0.175,0.152,0.16,449700,70803.1,EQNE
2006-01-24,0.17,0.17,0.151,0.151,100100,17015.1,EQNE
2006-01-31,0.15,0.15,0.091,0.1,16296400,1630114.8,EQNE
2006-02-01,0.1,0.1,0.09,0.099,1393500,134058.8,EQNE
2006-02-02,0.1,0.1,0.099,0.1,536100,53389,EQNE
2006-02-03,0.125,0.125,0.093,0.1,1232500,123351.3,EQNE
