date,open,high,low,close,volume,value,board
2006-02-20,0.071,0.126,0.06,0.124,4361800,417003.7,EQNE
2006-02-21,0.128,0.167,0.126,0.136,672500,91970,EQNE
2006-02-22,0.128,0.162,0.128,0.131,1052000,151517.4,EQNE
2006-02-26,0.128,0.128,0.128,0.128,180300,23078.4,EQNE
2006-02-27,0.128,0.178,0.128,0.178,750600,119964.6,EQNE
2006-02-28,0.128,0.128,0.128,0.128,172000,22016,EQNE
2006-03-01,0.128,0.128,0.128,0.128,120000,15360,EQNE
2006-03-02,0.128,0.128,0.128,0.128,100,12.8,EQNE
2006-03-06,0.128,0.15,0.128,0.137,26472800,3523668.1,EQNE
2006-03-07,0.146,0.15,0.128,0.137,2274600,316828,EQNE
2006-03-09,0.14,0.14,0.127,0.134,1002000,132081.4,EQNE
2006-03-10,0.13,0.13,0.125,0.129,1519000,196435.9,EQNE
2006-03-13,0.129,0.137,0.116,0.129,4578400,563860.4,EQNE
2006-03-14,0.127,0.13,0.117,0.125,11724900,1467288,EQNE
2006-03-15,0.129,0.129,0.119,0.124,268700,33445.6,EQNE
2006-03-16,0.125,0.125,0.111,0.12,4616900,557857.9,EQNE
2006-03-17,0.125,0.125,0.112,0.12,6080600,728878.5,EQNE
2006-03-20,0.124,0.125,0.119,0.123,235000,28351.1,EQNE
2006-03-21,0.12,0.13,0.116,0.12,2057800,245192.2,EQNE
2006-03-22,0.12,0.13,0.119,0.128,225700,28894.7,EQNE
2006-03-23,0.128,0.133,0.125,0.132,730000,94890,EQNE
2006-03-24,0.133,0.133,0.126,0.129,3882200,504132.9,EQNE
2006-03-27,5.065,5.065,0.117,0.128,364600,44401.1,EQNE
2006-03-28,0.127,0.127,0.121,0.125,79200,9875.2,EQNE
2006-03-29,0.129,0.129,0.118,0.12,2915100,349625.4,EQNE
2006-03-30,0.127,0.127,0.117,0.12,8429500,1011885.7,EQNE
2006-03-31,0.124,0.125,0.117,0.121,362500,42931.6,EQNE
2006-04-03,0.124,0.126,0.118,0.12,1922100,232244.2,EQNE
2006-04-04,0.118,0.119,0.11,0.119,3376500,386421.4,EQNE
2006-04-05,0.12,0.123,0.114,0.123,400500,48161.7,EQNE
2006-04-06,0.12,0.125,0.119,0.124,701300,84151.6,EQNE
2006-04-07,0.12,0.124,0.115,0.124,376000,44277.5,EQNE
2006-04-10,0.123,0.123,0.122,0.123,2600,317.9,EQNE
2006-04-11,0.121,0.122,0.12,0.122,192900,23341,EQNE
2006-04-12,0.12,0.123,0.119,0.119,7428800,884100.6,EQNE
2006-04-13,0.122,0.122,0.121,0.121,300,36.5,EQNE
2006-04-14,0.122,0.125,0.119,0.119,613900,75437.7,EQNE
2006-04-17,0.122,0.122,0.117,0.121,103100,12463.4,EQNE
2006-04-18,0.121,0.121,0.117,0.117,200100,23523.6,EQNE
2006-04-19,0.116,0.12,0.11,0.116,1666100,186770.5,EQNE
2006-04-20,0.114,0.114,0.111,0.113,204900,23215,EQNE
2006-04-21,0.118,0.119,0.113,0.119,5500,650.7,EQNE
2006-04-24,0.118,0.118,0.111,0.118,436100,49821.2,EQNE
2006-04-25,0.112,0.12,0.112,0.12,18200,2141.5,EQNE
2006-04-26,0.122,0.122,0.12,0.12,185300,22297.5,EQNE
2006-04-27,0.112,0.121,0.11,0.121,11100,1236.3,EQNE
2006-04-28,0.111,0.119,0.111,0.118,44700,5182.1,EQNE
2006-05-02,0.119,0.119,0.115,0.118,281300,33100.9,EQNE
2006-05-03,0.112,0.117,0.104,0.116,190700,20978.8,EQNE
2006-05-04,0.117,0.118,0.112,0.116,29000,3375.2,EQNE
2006-05-05,0.118,0.118,0.113,0.118,132100,15323.8,EQNE
2006-05-06,0.119,0.12,0.117,0.118,5200,618.5,EQNE
2006-05-10,0.119,0.119,0.112,0.116,192700,21728.5,EQNE
2006-05-11,0.36,0.36,0.1,0.1,862200,95893.3,EQNE
2006-05-12,0.112,0.115,0.101,0.11,394000,42570,EQNE
2006-05-15,0.107,0.11,0.099,0.109,131200,13180.4,EQNE
2006-05-16,0.109,0.109,0.109,0.109,10600,1155.4,EQNE
2006-05-17,0.109,0.109,0.103,0.109,82300,8922,EQNE
2006-05-18,0.1,0.108,0.1,0.107,31900,3199.8,EQNE
2006-05-19,0.115,0.115,0.095,0.105,801400,79998.1,EQNE
2006-05-22,0.106,0.106,0.097,0.104,350300,35111,EQNE
2006-05-23,0.096,0.103,0.094,0.103,879000,84534.6,EQNE
2006-05-24,0.107,0.108,0.095,0.105,302700,28881.4,EQNE
2006-05-25,0.104,0.107,0.098,0.107,57300,6126.2,EQNE
2006-05-26,0.108,0.109,0.1,0.107,2124600,220692.3,EQNE
2006-05-29,0.115,0.115,0.105,0.105,45900,4828.3,EQNE
2006-05-30,0.109,0.109,0.094,0.105,10400,1084,EQNE
2006-05-31,0.09,0.105,0.09,0.104,31600,3284.3,EQNE
2006-06-01,0.119,0.119,0.119,0.119,100,11.9,EQNE
2006-06-02,0.105,0.114,0.103,0.113,235800,25575.7,EQNE
2006-06-05,0.118,0.118,0.107,0.11,931600,99703.6,EQNE
2006-06-06,0.103,0.108,0.103,0.105,4300,451.9,EQNE
2006-06-07,0.106,0.106,0.106,0.106,1100,116.6,EQNE
2006-06-08,0.103,0.12,0.103,0.109,1100,117.8,EQNE
2006-06-09,0.109,0.109,0.109,0.109,100,10.9,EQNE
2006-06-13,0.103,0.104,0.089,0.103,13800,1420.3,EQNE
2006-06-14,0.09,0.103,0.09,0.1,47000,4668.6,EQNE
2006-06-16,0.115,0.115,0.115,0.115,2200,253,EQNE
2006-06-19,0.101,0.108,0.1,0.105,29500,3059.6,EQNE
2006-06-20,0.115,0.115,0.105,0.105,300,32.5,EQNE
2006-06-21,0.101,0.104,0.101,0.104,3800,388.9,EQNE
2006-06-22,0.112,0.112,0.102,0.102,3900,399.5,EQNE
2006-06-23,0.109,0.12,0.1,0.102,642600,69603.4,EQNE
2006-06-26,0.107,0.107,0.102,0.107,2800,286.6,EQNE
2006-06-27,0.112,0.114,0.112,0.114,500,56.6,EQNE
2006-06-28,0.109,0.109,0.097,0.1,201000,20100,EQNE
2006-06-29,0.108,0.108,0.1,0.1,12100,1213.7,EQNE
2006-06-30,0.108,0.108,0.1,0.106,2564200,269066.8,EQNE
2006-07-03,0.108,0.108,0.098,0.105,102400,10157.3,EQNE
2006-07-04,0.1,0.104,0.099,0.103,13400,1339.7,EQNE
2006-07-05,0.107,0.107,0.097,0.102,213500,21091.4,EQNE
2006-07-06,0.103,0.103,0.099,0.099,400,40.8,EQNE
2006-07-07,0.108,0.108,0.098,0.104,469800,46373.5,EQNE
2006-07-10,0.105,0.105,0.105,0.105,100,10.5,EQNE
2006-07-11,0.107,0.107,0.107,0.107,100,10.7,EQNE
2006-07-12,0.106,0.106,0.097,0.103,100500,9753.9,EQNE
2006-07-13,0.102,0.103,0.097,0.102,64800,6348,EQNE
2006-07-14,0.104,0.104,0.082,0.082,1653900,147283.4,EQNE
2006-07-17,0.087,0.087,0.083,0.087,198900,16514.1,EQNE
2006-07-18,0.084,0.089,0.084,0.086,791700,67086.5,EQNE
2006-07-19,0.082,0.092,0.08,0.092,300100,24411.4,EQNE
2006-07-20,0.083,0.083,0.08,0.08,900000,72159.9,EQNE
2006-07-21,0.088,0.089,0.081,0.085,6200,542.7,EQNE
2006-07-24,0.083,0.085,0.079,0.079,1288500,109367.2,EQNE
2006-07-26,0.081,0.081,0.079,0.081,1402300,112086.4,EQNE
2006-07-27,0.08,0.084,0.075,0.084,3998500,301628.8,EQNE
2006-07-28,0.085,0.086,0.085,0.085,94100,7999.2,EQNE
2006-07-31,0.097,0.097,0.097,0.097,100,9.7,EQNE
2006-08-01,0.09,0.09,0.09,0.09,1100,99,EQNE
2006-08-02,0.095,0.095,0.085,0.085,2300,206.7,EQNE
2006-08-04,0.08,0.098,0.08,0.098,121000,11349.6,EQNE
2006-08-09,0.094,0.094,0.094,0.094,100,9.4,EQNE
2006-08-10,0.093,0.094,0.091,0.094,253100,23706.4,EQNE
2006-08-11,0.095,0.099,0.081,0.092,17951200,1489105.5,EQNE
2006-08-14,0.087,0.088,0.087,0.088,2300,200.2,EQNE
2006-08-15,0.087,0.088,0.087,0.088,301700,26548.5,EQNE
2006-08-17,0.093,0.093,0.089,0.091,400,36.3,EQNE
2006-08-18,0.092,0.092,0.092,0.092,1000,92,EQNE
2006-08-21,0.094,0.095,0.093,0.095,198700,18770,EQNE
2006-08-25,0.095,0.095,0.095,0.095,200,19,EQNE
2006-08-28,0.098,0.101,0.098,0.1,3300,325.5,EQNE
2006-08-30,0.11,0.11,0.09,0.09,79400,7436.2,EQNE
2006-08-31,0.09,0.107,0.09,0.105,192200,19139.5,EQNE
2006-09-01,0.106,0.108,0.093,0.101,214000,22906.1,EQNE
2006-09-04,0.099,0.1,0.087,0.1,560300,52330.1,EQNE
2006-09-05,0.097,0.105,0.089,0.102,477500,46619.1,EQNE
2006-09-06,0.095,0.105,0.095,0.1,207200,21484.7,EQNE
2006-09-07,0.098,0.109,0.095,0.095,437700,46172.7,EQNE
2006-09-08,0.095,0.107,0.095,0.106,184800,19506,EQNE
2006-09-12,0.102,0.104,0.096,0.104,20400,1984.4,EQNE
2006-09-13,0.098,0.105,0.095,0.103,50600,4871.5,EQNE
2006-09-14,0.105,0.106,0.105,0.106,4100,430.6,EQNE
2006-09-15,0.104,0.106,0.104,0.106,22200,2348.8,EQNE
2006-09-18,0.108,0.108,0.104,0.107,24700,2596,EQNE
2006-09-19,0.107,0.109,0.106,0.108,121600,13067.3,EQNE
2006-09-20,0.107,0.107,0.102,0.105,5800,596.1,EQNE
2006-09-21,0.107,0.107,0.107,0.107,3100,331.7,EQNE
2006-09-22,0.1,0.108,0.095,0.108,4200,417.8,EQNE
2006-09-25,0.1,0.103,0.097,0.101,22400,2259.1,EQNE
2006-09-26,0.101,0.103,0.099,0.103,17200,1712.4,EQNE
2006-09-27,0.1,0.1,0.1,0.1,5200,520,EQNE
2006-09-28,0.1,0.1,0.098,0.1,28200,2787.4,EQNE
