date,open,high,low,close,volume,value,board
2011-06-14,1.08,1.08,1.0799,1.08,665000,718195.9,EQNE
2011-06-15,1.18,1.512,1.1115,1.512,3702000,5533352.2,EQNE
2011-06-16,1.725,1.725,1,1.0126,2661000,3536432.4,EQNE
2011-06-17,0.9999,1.15,0.89,0.92,5386000,5192022.7,EQNE
2011-06-20,0.92,0.95,0.8152,0.8643,1007000,872124,EQNE
2011-06-21,0.8643,0.96,0.841,0.9098,974000,861486.9,EQNE
2011-06-22,0.8672,0.8997,0.8211,0.8772,479000,413119.3,EQNE
2011-06-23,0.8572,0.8772,0.81,0.825,143000,118850.4,EQNE
2011-06-24,0.819,1.098,0.7816,0.95,4108000,4012556.9,EQNE
2011-06-27,0.94,0.97,0.85,0.8997,1247000,1120978.4,EQNE
2011-06-28,0.8601,0.94,0.84,0.85,2053000,1762465,EQNE
2011-06-29,0.85,0.8697,0.8201,0.825,1201000,1005386.6,EQNE
2011-06-30,0.82,0.83,0.78,0.7977,1292000,1032510.7,EQNE
2011-07-01,0.8122,0.825,0.7878,0.8,653000,525041.4,EQNE
2011-07-04,0.7921,0.8198,0.7711,0.8,1205000,962329.5,EQNE
2011-07-05,0.7999,0.8,0.7802,0.7885,1108000,881057,EQNE
2011-07-06,0.7803,0.8,0.7771,0.7859,850000,669270.8,EQNE
2011-07-07,0.7943,0.7943,0.77,0.7799,1413000,1099076.3,EQNE
2011-07-08,0.7799,0.7894,0.7686,0.775,644000,499985.6,EQNE
2011-07-11,0.7703,0.7794,0.755,0.77,468000,357675.4,EQNE
2011-07-12,0.749,0.78,0.7401,0.7495,3227000,2450138.3,EQNE
2011-07-13,0.7599,0.778,0.74,0.7512,5281000,4002842.9,EQNE
2011-07-14,0.7503,0.7778,0.75,0.7736,3960000,3015139.7,EQNE
2011-07-15,0.745,0.775,0.745,0.7697,1757000,1352910.8,EQNE
2011-07-18,0.7795,0.7795,0.7407,0.744,1922000,1448694.8,EQNE
2011-07-19,0.75,0.758,0.735,0.75,1488000,1104331.9,EQNE
2011-07-20,0.75,0.7693,0.7423,0.7518,1169000,877657.7,EQNE
2011-07-21,0.755,0.7695,0.75,0.7648,1101000,826762.1,EQNE
2011-07-22,0.767,0.767,0.75,0.75,1343000,1011357.3,EQNE
2011-07-25,0.75,0.84,0.745,0.7976,2807000,2202381.6,EQNE
2011-07-26,0.801,0.81,0.78,0.7997,967000,765161.3,EQNE
2011-07-27,0.7753,0.81,0.77,0.7975,2029000,1605076.9,EQNE
2011-07-28,0.76,0.803,0.76,0.798,568000,452274.6,EQNE
2011-07-29,0.8038,0.8099,0.7951,0.8,1061000,848877.5,EQNE
2011-08-01,0.8,0.8149,0.7901,0.8089,652000,519770.8,EQNE
2011-08-02,0.8,0.8099,0.77,0.7899,398000,312723.8,EQNE
2011-08-03,0.7798,0.8,0.7511,0.7798,231000,180907.2,EQNE
2011-08-04,0.77,0.804,0.746,0.7699,1477000,1161914.7,EQNE
2011-08-05,0.722,0.76,0.7,0.745,1006000,720769.5,EQNE
2011-08-08,0.72,0.7545,0.685,0.7286,399000,282459.5,EQNE
2011-08-09,0.6801,0.725,0.6502,0.7,771000,527276.4,EQNE
2011-08-10,0.744,0.744,0.6005,0.6677,1106000,706392.6,EQNE
2011-08-11,0.6599,0.6899,0.6007,0.6834,664000,423909,EQNE
2011-08-12,0.6799,0.7299,0.6499,0.7,932000,643334.1,EQNE
2011-08-15,0.7003,0.7198,0.685,0.7001,137000,96835.9,EQNE
2011-08-16,0.6801,0.6999,0.6601,0.6899,46000,31615.7,EQNE
2011-08-17,0.7188,0.7191,0.6701,0.6997,101000,70178,EQNE
2011-08-18,0.6734,0.6969,0.6212,0.6925,242000,157823.9,EQNE
2011-08-19,0.6797,0.6982,0.65,0.6866,193000,128299.6,EQNE
2011-08-22,0.6955,0.6955,0.6473,0.68,51000,34322.9,EQNE
2011-08-23,0.6251,0.6939,0.6251,0.6799,459000,308023.8,EQNE
2011-08-24,0.6919,0.6919,0.6799,0.6799,8000,5451.4,EQNE
2011-08-25,0.6929,0.6929,0.6699,0.68,1047000,701719.8,EQNE
2011-08-26,0.6701,0.6701,0.6604,0.6699,227000,151948,EQNE
2011-08-29,0.697,0.7098,0.671,0.7098,1581000,1110535.9,EQNE
2011-08-30,0.751,0.751,0.69,0.706,464000,325160,EQNE
2011-08-31,0.706,0.7498,0.706,0.7398,3397000,2495002.6,EQNE
2011-09-01,0.7879,0.7879,0.732,0.75,11166000,8251329.7,EQNE
2011-09-02,0.7645,0.7645,0.7363,0.7598,3000,2260.6,EQNE
2011-09-05,0.7451,0.7457,0.7007,0.7396,83000,60226.1,EQNE
2011-09-06,0.7121,0.7498,0.711,0.7498,91000,65593.6,EQNE
2011-09-07,0.7634,0.7634,0.7203,0.7403,193000,143849.3,EQNE
2011-09-08,0.7645,0.7769,0.722,0.7546,213000,158458.2,EQNE
2011-09-09,0.7771,0.7771,0.7308,0.7311,39000,28659,EQNE
2011-09-12,0.7451,0.7451,0.7103,0.741,270000,192984.8,EQNE
2011-09-13,0.7698,0.7698,0.705,0.725,177000,126413.2,EQNE
2011-09-14,0.7029,0.7399,0.7,0.73,639000,466023.5,EQNE
2011-09-15,0.7525,0.7949,0.722,0.7412,33000,24353.7,EQNE
2011-09-16,0.7496,0.77,0.735,0.735,12000,8913.6,EQNE
2011-09-19,0.7597,0.7597,0.722,0.722,68000,49197.7,EQNE
2011-09-20,0.77,0.77,0.7005,0.7437,72000,52592.3,EQNE
2011-09-21,0.7692,0.7692,0.7019,0.7449,25000,18567.4,EQNE
2011-09-22,0.77,0.77,0.7001,0.715,454000,325105.1,EQNE
2011-09-23,0.7054,0.7061,0.66,0.693,132000,87582.7,EQNE
2011-09-26,0.6997,0.6997,0.63,0.6982,198000,129172.8,EQNE
2011-09-27,0.71,0.71,0.6612,0.6999,89000,61578.2,EQNE
2011-09-28,0.6512,0.6899,0.6512,0.6899,13000,8607.6,EQNE
2011-09-29,0.6977,0.6977,0.66,0.6974,6000,4082.6,EQNE
2011-09-30,0.6974,0.6974,0.6651,0.6943,159000,109561.1,EQNE
2011-10-03,0.6996,0.6996,0.6406,0.6895,15000,10249.8,EQNE
2011-10-04,0.6899,0.6899,0.6,0.6375,936000,589986.4,EQNE
2011-10-05,0.6799,0.6799,0.55,0.6146,1649000,974974.2,EQNE
2011-10-06,0.6388,0.6655,0.5951,0.6401,1233000,770704,EQNE
2011-10-07,0.674,0.69,0.61,0.6425,605000,380292.6,EQNE
2011-10-10,0.6497,0.7,0.64,0.6741,5045000,3370780.5,EQNE
2011-10-11,0.6709,0.7139,0.665,0.7139,122000,85828.4,EQNE
2011-10-12,0.6707,0.69,0.67,0.69,265000,177777.4,EQNE
2011-10-13,0.7085,0.7299,0.6502,0.6813,240000,169148.2,EQNE
2011-10-14,0.6806,0.6919,0.6523,0.6919,105000,70019.5,EQNE
2011-10-17,0.6999,0.6999,0.6671,0.6943,29000,19499.1,EQNE
2011-10-18,0.6513,0.685,0.6513,0.685,16000,10551.6,EQNE
2011-10-19,0.661,0.661,0.661,0.661,1000,661,EQNE
2011-10-20,0.661,0.6897,0.6112,0.6897,15000,9527.9,EQNE
2011-10-21,0.6883,0.6883,0.64,0.6847,31000,20098.9,EQNE
2011-10-24,0.6898,0.6999,0.67,0.6999,13000,8919.2,EQNE
2011-10-25,0.6613,0.6979,0.6613,0.6979,5000,3343.4,EQNE
2011-10-26,0.6603,0.6971,0.6603,0.6971,5000,3339.7,EQNE
2011-10-27,0.6749,0.675,0.65,0.655,528000,343376.1,EQNE
2011-10-28,0.6291,0.6497,0.6031,0.6497,1541000,970707.3,EQNE
2011-10-31,0.6003,0.6399,0.6003,0.6348,540000,329867.2,EQNE
2011-11-01,0.615,0.6474,0.6,0.6474,569000,348947.5,EQNE
2011-11-02,0.6021,0.6322,0.6001,0.6322,11000,6665.9,EQNE
2011-11-03,0.6001,0.6393,0.6001,0.6393,3000,1878.7,EQNE
2011-11-07,0.6299,0.65,0.6161,0.6437,75000,48351.7,EQNE
2011-11-08,0.6642,0.6681,0.5744,0.6149,863000,525788,EQNE
2011-11-09,0.6442,0.6442,0.58,0.616,176000,103204.3,EQNE
2011-11-10,0.6297,0.69,0.61,0.6349,1065000,678946.1,EQNE
2011-11-11,0.6508,0.6508,0.61,0.615,83000,51474.1,EQNE
2011-11-14,0.6055,0.6083,0.5815,0.6037,222000,131672.8,EQNE
2011-11-15,0.6036,0.71,0.6015,0.6015,138000,88349,EQNE
2011-11-16,0.6397,0.6399,0.5611,0.6199,281000,168864.2,EQNE
2011-11-17,0.6193,0.6892,0.6055,0.6403,397000,249505.7,EQNE
2011-11-18,0.6349,0.6796,0.6131,0.6492,52000,33637.6,EQNE
2011-11-21,0.6128,0.6614,0.58,0.64,133000,78718.1,EQNE
2011-11-22,0.6101,0.6384,0.5828,0.6373,40000,24167.6,EQNE
2011-11-23,0.6388,0.6388,0.59,0.637,67000,40687.2,EQNE
2011-11-24,0.637,0.6617,0.5937,0.6398,13000,8190.5,EQNE
2011-11-25,0.6349,0.65,0.5981,0.65,21000,12856,EQNE
2011-11-28,0.6499,0.66,0.6001,0.66,19000,11710.1,EQNE
2011-11-29,0.6441,0.6645,0.62,0.6645,37000,23522.4,EQNE
2011-11-30,0.645,0.66,0.5801,0.6399,206000,129802.3,EQNE
2011-12-01,0.6621,0.6621,0.6101,0.649,69000,44791.8,EQNE
2011-12-02,0.6101,0.64,0.6101,0.6398,4000,2507.9,EQNE
2011-12-05,0.6046,0.6689,0.5801,0.62,197000,123566.9,EQNE
2011-12-06,0.6666,0.6666,0.6089,0.6089,26000,16868.8,EQNE
2011-12-07,0.6498,0.6498,0.6027,0.6298,32000,19530.8,EQNE
2011-12-08,0.6483,0.6483,0.6483,0.6483,1000,648.3,EQNE
2011-12-09,0.6389,0.6389,0.58,0.5908,211000,123151.6,EQNE
2011-12-12,0.5999,0.6649,0.599,0.599,27000,16373.8,EQNE
2011-12-13,0.63,0.6349,0.5777,0.5999,31000,18089.7,EQNE
