date,open,high,low,close,volume,value,board
2008-09-12,340,350,340,350.0,19,6550,EQNE
2008-09-26,400,400,400,400.0,1,400,EQNE
2008-10-01,333.2,333.2,333.2,333.2,3,999.6,EQNE
2008-10-31,333.2,333.2,333.2,333.2,1,333.2,EQNE
2008-11-06,333.2,333.2,333.2,333.2,1,333.2,EQNE
2009-01-19,199.92,199.92,199.92,199.92,1,199.92,EQNE
2009-03-19,119.95,119.95,119.95,119.95,21,2518.95,EQNE
2009-03-20,72,72,71.97,71.97,425,30587.38,EQNE
2009-03-23,71.97,71.97,43.18,43.18,597,26166.49,EQNE
2009-03-24,26,60.45,25.99,53.0,2219,104980.22,EQNE
2009-03-25,51.75,65,51.75,65.0,1136,64810.42,EQNE
2009-03-26,80,89.98,60,89.98,881,58106.05,EQNE
2009-03-27,70,82.43,70,70.12,5,375.1,EQNE
2009-03-30,89.96,98.17,70,71.0,332,26038.63,EQNE
2009-03-31,71,79,71,79.0,901,67545.46,EQNE
2009-04-01,75,78.99,75,78.99,447,33528.99,EQNE
2009-04-02,79.05,79.05,50.02,77.0,25,1837.99,EQNE
2009-04-06,65.65,76.99,62.5,76.99,105,6715.1,EQNE
2009-04-09,65.5,65.5,65.45,65.45,12,785.95,EQNE
2009-04-10,65.45,75,65.44,75.0,193,12752.15,EQNE
2009-04-14,70,70,65,70.0,108,7065.25,EQNE
2009-04-15,70,70,70,70.0,1,70,EQNE
2009-04-16,70,75.98,70,75.98,89,6548.02,EQNE
2009-04-17,75,75.98,70,75.98,54,3841.98,EQNE
2009-04-20,76.99,76.99,76.99,76.99,1,76.99,EQNE
2009-04-21,68.04,75.99,60,75.99,32,2211.88,EQNE
2009-04-22,70.01,74.99,70,74.99,384,26885.07,EQNE
2009-04-23,75,75,75,75.0,1,75,EQNE
2009-04-24,77,77,70,77.0,502,35154,EQNE
2009-04-28,70,75,70,75.0,322,22734.6,EQNE
2009-04-29,79.97,79.97,79.97,79.97,978,78210.66,EQNE
2009-04-30,65.06,65.06,65.06,65.06,30,1951.8,EQNE
2009-05-06,79.99,91.01,79.94,91.01,3375,292757.66,EQNE
