date,open,high,low,close,volume,value,board
2006-04-07,3.81,4,3.81,4.0,200,781,EQNE
2006-04-21,3.9,3.9,3.9,3.9,12000,46800,EQNE
2006-04-26,3.7,3.7,3.7,3.7,1000,3700,EQNE
2006-04-27,3.749,3.749,3.749,3.749,300,1124.7,EQNE
2006-05-02,4,4,4,4.0,700,2800,EQNE
2006-05-03,1.8,1.8,1.8,1.8,5000,9000,EQNE
2006-05-04,4,4,4,4.0,100,400,EQNE
2006-05-17,3.4,3.4,3.4,3.4,29000,98600,EQNE
2006-05-22,3.36,3.36,3.36,3.36,400,1344,EQNE
2006-05-23,3.36,3.36,3.36,3.36,600,2016,EQNE
2006-06-22,3.2,3.2,3.2,3.2,18000,57600,EQNE
2006-06-30,3.5,3.5,3.5,3.5,1500,5250,EQNE
