date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2005-08-15,17,17.48,17,17.48,2000,34374,EQNE
2005-08-16,17.49,17.5,17.49,17.5,1000,17491,EQNE
2005-08-17,18.3,18.3,17.1,17.1,400,6960,EQNE
2005-08-25,16.94,16.95,16.94,16.95,300,5084,EQNE
2005-08-26,16.95,16.99,16.95,16.99,400,6787,EQNE
2005-08-29,16.95,17,16.95,17.0,600,10191,EQNE
2005-08-30,17,17.06,17,17.06,1200,20430,EQNE
2005-08-31,16.8,16.8,16.5,16.5,200,3330,EQNE
2005-09-02,16.55,16.55,16.5,16.5,900,14856,EQNE
2005-09-05,16.5,16.5,16.5,16.5,400,6600,EQNE
2005-09-06,16.5,16.5,15,15.0,7500,116948,EQNE
2005-09-09,15.8,15.8,15.8,15.8,1200,18960,EQNE
2005-09-12,14.9,14.9,14.9,14.9,100,1490,EQNE
2005-09-13,15.5,15.5,15.5,15.5,2100,32550,EQNE
2005-09-15,16,16,16,16.0,1000,16000,EQNE
2005-09-19,16,16,16,16.0,1700,27200,EQNE
2005-09-20,17,17,17,17.0,1300,22100,EQNE
2005-09-23,17,17.5,17,17.0,5100,88700,EQNE
2005-09-26,17.99,19,17,17.0,1300,22966,EQNE
2005-09-27,22,22,17,17.0,200,3900,EQNE
2005-09-30,22,22,22,22.0,400,8800,EQNE
2005-10-03,20,20,20,20.0,1000,20000,EQNE
2005-10-04,17.6,17.6,17.6,17.6,25000,440000,EQNE
2005-10-05,18,21,18,20.9,26600,492228,EQNE
2005-10-06,18,18,18,18.0,100,1800,EQNE
2005-10-07,18.1,22.1,18.1,22.1,3200,64320,EQNE
2005-10-10,20,24,20,21.6,10900,232375,EQNE
2005-10-11,21,21,21,21.0,11200,235200,EQNE
2005-10-21,19.5,19.5,18,18.0,6300,119150,EQNE
2005-11-09,19,19,18.5,18.5,4600,85150,EQNE
2005-11-10,20,20,20,20.0,4500,90000,EQNE
2005-11-18,21,21,21,21.0,400,8400,EQNE
2005-11-29,22,22,22,22.0,200,4400,EQNE
2005-11-30,22,22,22,22.0,300,6600,EQNE
2005-12-13,22.5,22.5,22.5,22.5,1000,22500,EQNE
2005-12-15,25,25,25,25.0,100,2500,EQNE
2005-12-21,25.95,25.95,25.95,25.95,100,2595,EQNE
2005-12-22,25.97,25.97,25.97,25.97,2600,67522,EQNE
2005-12-23,24.6,24.6,24.6,24.6,300,7380,EQNE
2006-01-10,25.97,25.97,25.97,25.97,2000,51940,EQNE
2006-01-12,25.97,25.97,25.97,25.97,10000,259700,EQNE
2006-01-20,29,29,29,29.0,700,20300,EQNE
2006-01-23,30,35,30,34.99,1100,37991,EQNE
2006-01-25,34.99,34.99,34.9,34.9,1000,34918,EQNE
2006-01-26,35,35.03,35,35.03,1500,52524,EQNE
2006-01-27,35.03,35.03,35.03,35.03,600,21018,EQNE
2006-01-30,35,35,34.99,34.99,200,6999,EQNE
2006-02-01,35,35,34.99,34.99,500,17499,EQNE
2006-02-03,32,32,32,32.0,500,16000,EQNE
2006-02-07,35,35,35,35.0,100,3500,EQNE
2006-02-08,28.1,35,28.1,35.0,200,6310,EQNE
2006-02-09,34.99,34.99,34.99,34.99,200,6998,EQNE
2006-02-14,31.5,34.5,31.5,34.5,1100,34950,EQNE
2006-02-16,31.5,35,31.5,35.0,600,19950,EQNE
2006-02-17,34,34,34,34.0,500,17000,EQNE
2006-02-20,35,35,32,34.0,3400,118600,EQNE
2006-02-22,34,34,34,34.0,4000,136000,EQNE
2006-02-26,35,35,35,35.0,500,17500,EQNE
2006-03-02,35.03,35.03,35.03,35.03,1000,35030,EQNE
2006-03-29,35,35,35,35.0,200,7000,EQNE
2006-04-05,35.03,35.03,35.03,35.03,1200,42036,EQNE
2006-04-06,35.03,40,35.03,40.0,1400,51030,EQNE
2006-04-07,35.03,35.03,35.03,35.03,1200,42036,EQNE
2006-04-12,35.03,35.03,35.03,35.03,200,7006,EQNE
2006-04-13,35.03,41.5,35.03,41.5,3000,116530,EQNE
2006-04-17,35.03,35.03,35.03,35.03,100,3503,EQNE
2006-04-24,35.03,35.03,35.03,35.03,100,3503,EQNE
2006-05-11,35.03,46,35.03,45.0,4300,179593,EQNE
2006-05-15,35.03,53,35.03,53.0,3400,153619,EQNE
2006-05-17,35.03,35.03,35.03,35.03,2000,70060,EQNE
2006-05-18,35.03,55,35.03,53.0,4000,173251,EQNE
2006-05-19,35.03,54,35.03,54.0,2600,117488,EQNE
2006-05-22,35.03,51.5,35.03,50.0,1700,69788,EQNE
2006-05-23,35.03,53,35.03,53.0,6200,301517,EQNE
2006-05-24,50,64,49,64.0,3300,191150,EQNE
2006-05-25,55,55,50,50.0,900,47500,EQNE
2006-05-26,55.6,62,55.6,62.0,600,34160,EQNE
2006-05-29,55,55,55,55.0,100,5500,EQNE
2006-05-30,59.5,60,52,52.0,500,27750,EQNE
2006-06-09,55,55,53,53.0,2000,107780,EQNE
2006-06-13,59,59,54,54.0,2700,155690,EQNE
2006-06-14,59,59,59,59.0,800,47200,EQNE
2006-06-20,50,50,50,50.0,100,5000,EQNE
2006-06-26,53,54,51.5,54.0,1400,73490,EQNE
2006-06-27,55,55,55,55.0,1200,66000,EQNE
2006-06-30,60,60,59.99,59.99,600,35999,EQNE
2006-07-04,50,50,50,50.0,500,25000,EQNE
2006-07-05,59,59,59,59.0,600,35400,EQNE
2006-07-10,55,55,55,55.0,1000,55000,EQNE
2006-07-11,54.9,54.9,54.9,54.9,1000,54900,EQNE
2006-07-14,50.01,50.01,50.01,50.01,100,5001,EQNE
2006-07-19,52,52,52,52.0,100,5200,EQNE
2006-07-24,52,52,52,52.0,100,5200,EQNE
2006-07-26,58,58,53,53.0,500,27600,EQNE
2006-07-27,52,52,50.75,50.75,1000,51100,EQNE
2006-07-28,53,55,53,53.0,1200,65600,EQNE
2006-07-31,53,53,53,53.0,1100,58300,EQNE
2006-08-01,58,58,58,58.0,100,5800,EQNE
2006-08-04,52.49,52.49,52.49,52.49,100,5249,EQNE
2006-08-07,49,49,49,49.0,100,4900,EQNE
2006-08-08,53,53,53,53.0,100,5300,EQNE
2006-08-09,53.37,53.37,53.37,53.37,100,5337,EQNE
2006-08-10,51,51,50,50.0,200,10100,EQNE
2006-08-16,50,50,50,50.0,300,15000,EQNE
2006-08-18,49,52.9,48,52.9,1200,60740,EQNE
2006-09-04,51,51,51,51.0,200,10200,EQNE
2006-09-05,51,51,51,51.0,100,5100,EQNE
2006-09-06,65.5,65.5,51,51.0,2300,146300,EQNE
2006-09-07,55,55,55,55.0,500,27500,EQNE
2006-09-13,51,51,51,51.0,600,30600,EQNE
2006-09-14,51,51,49.9,51.0,6800,342010,EQNE
2006-09-15,51.5,52,51.5,52.0,1200,62100,EQNE
2006-09-18,51.49,52,51.49,52.0,1400,72398,EQNE
2006-09-20,52,52,52,52.0,100,5200,EQNE
2006-09-22,49.5,49.5,49.5,49.5,100,4950,EQNE
2006-09-27,54,54,54,54.0,100,5400,EQNE
2006-10-02,51,51,51,51.0,100,5100,EQNE
2006-10-04,49.5,49.5,49.5,49.5,100,4950,EQNE
2006-10-05,55,55,55,55.0,100,5500,EQNE
2006-10-17,58,65,52,52.0,600,37000,EQNE
2006-10-19,49,55,49,55.0,200,10400,EQNE
2006-10-20,55,56,55,56.0,600,33100,EQNE
2006-10-23,51.01,51.01,51.01,51.01,100,5101,EQNE
2006-11-07,54.5,54.5,54.5,54.5,100,5450,EQNE
2006-11-28,50,50,50,50.0,1000,50000,EQNE
2006-12-04,52,52,50,52.0,500,25800,EQNE
2006-12-06,32.83,32.83,32.83,32.83,10,328.3,SMAL
2006-12-13,40,40,40,40.0,79,3160,SMAL
2006-12-20,50,50,49,49.0,800,39400,EQNE
2006-12-21,52.62,59.5,52.62,59.5,700,40274,EQNE
