date,open,high,low,close,volume,value,board
2013-07-18,1067.2,1067.2,1067.2,1067.2,101000,107787200,EQNE
2013-12-26,1050,1086,1050,1068.0,900,961200,TQNE
2014-03-21,1068,1068,1068,1068.0,1850,1975800,TQNE
2014-04-04,1068,1068,1068,1068.0,1750,1869000,TQNE
2014-04-14,1068,1068,1068,1068.0,1,1068,TQNE
2014-04-15,1070,1070,1068,1068.0,2,2138,TQNE
2014-04-16,1070,1070,1070,1070.0,1,1070,TQNE
2014-04-25,1068.4,1068.4,1068.4,1068.4,1550,1656020,TQNE
2014-05-26,1068.4,1068.4,1068.4,1068.4,2950,3151780,TQNE
2014-09-29,1068,1068,1068,1068.0,1,1068,TQBR
2015-02-11,1070,1070,1065,1065.0,1000,1068300,TQBR
2015-03-03,1075,1075,1075,1075.0,1000,1075000,TQBR
2016-04-28,1070,1095,1070,1095.0,490,536430,TQBR
2016-04-29,1070,1070,1070,1070.0,2,2140,TQBR
2016-09-29,1090,1090,1090,1090.0,2,2180,TQBR
2016-10-14,1070,1070,1070,1070.0,110,117700,TQBR
2016-10-18,1080,1080,1075,1075.0,13,13980,TQBR
2016-10-19,1085,1085,1070,1070.0,813,876105,TQBR
2016-10-20,1085,1085,1085,1085.0,11,11935,TQBR
2016-10-21,1090,1090,1090,1090.0,14,15260,TQBR
2016-10-24,1075,1075,1075,1075.0,16,17200,TQBR
2016-10-25,1075,1075,1075,1075.0,19,20425,TQBR
2016-10-26,1075,1075,1075,1075.0,11,11825,TQBR
2016-10-28,1075,1075,1075,1075.0,100,107500,TQBR
2016-10-31,1075,1080,1075,1080.0,87,93745,TQBR
2016-11-01,1080,1080,1075,1075.0,87,93560,TQBR
2016-11-02,1090,1090,1075,1080.0,67,72045,TQBR
2016-11-03,1085,1090,1075,1075.0,111,119535,TQBR
2016-11-07,1200,1200,1070,1075.0,86,93430,TQBR
2016-11-08,1080,1090,1070,1075.0,40,43110,TQBR
2016-11-09,1090,1090,1075,1075.0,3,3240,TQBR
2016-11-10,1070,1075,1070,1075.0,13,13970,TQBR
2016-11-11,1075,1075,1075,1075.0,18,19350,TQBR
2016-11-14,1075,1075,1075,1075.0,25,26875,TQBR
2016-11-15,1070,1075,1070,1075.0,36,38695,TQBR
2016-11-16,1075,1075,1075,1075.0,8,8600,TQBR
2016-11-17,1075,1075,1075,1075.0,24,25800,TQBR
2016-11-18,1075,1075,1075,1075.0,24,25800,TQBR
2016-11-21,1075,1075,1075,1075.0,19,20425,TQBR
2016-11-22,1075,1075,1075,1075.0,14,15050,TQBR
2016-11-23,1075,1075,1075,1075.0,10,10750,TQBR
2016-11-24,1075,1075,1075,1075.0,18,19350,TQBR
2016-11-25,1075,1075,1075,1075.0,21,22575,TQBR
2016-11-28,1075,1075,1075,1075.0,15,16125,TQBR
2016-11-29,1075,1075,1075,1075.0,18,19350,TQBR
2016-11-30,1075,1075,1075,1075.0,24,25800,TQBR
2016-12-01,1075,1075,1075,1075.0,18,19350,TQBR
2016-12-05,1075,1085,1070,1085.0,160,171220,TQBR
2016-12-06,1075,1080,1075,1080.0,221,237680,TQBR
2016-12-07,1080,1080,1080,1080.0,23,24840,TQBR
2016-12-08,1080,1080,1080,1080.0,19,20520,TQBR
2016-12-09,1080,1080,1080,1080.0,15,16200,TQBR
2016-12-12,1075,1080,1075,1080.0,23,24835,TQBR
2016-12-13,1080,1080,1080,1080.0,14,15120,TQBR
2016-12-15,1080,1080,1080,1080.0,14,15120,TQBR
2016-12-16,1080,1080,1080,1080.0,11,11880,TQBR
2016-12-20,1080,1080,1080,1080.0,12,12960,TQBR
2016-12-21,1075,1080,1075,1080.0,7,7555,TQBR
2016-12-22,1080,1080,1080,1080.0,13,14040,TQBR
2016-12-23,1080,1080,1080,1080.0,5,5400,TQBR
2016-12-27,1080,1080,1080,1080.0,10,10800,TQBR
2016-12-28,1080,1080,1080,1080.0,10,10800,TQBR
2016-12-29,1080,1090,1080,1090.0,11,11900,TQBR
2017-01-09,1080,1080,1080,1080.0,40,43200,TQBR
2017-01-10,1085,1085,1085,1085.0,60,65100,TQBR
2017-01-11,1090,1135,1090,1135.0,71,77645,TQBR
2017-01-12,1120,1120,1090,1090.0,69,75315,TQBR
2017-01-13,1090,1090,1090,1090.0,39,42510,TQBR
2017-01-16,1090,1090,1090,1090.0,35,38150,TQBR
2017-01-17,1090,1090,1090,1090.0,27,29430,TQBR
2017-01-18,1090,1090,1090,1090.0,39,42510,TQBR
2017-01-19,1095,1095,1095,1095.0,12,13140,TQBR
2017-01-20,1095,1095,1090,1090.0,25,27325,TQBR
2017-01-23,1095,1095,1095,1095.0,10,10950,TQBR
2017-01-24,1095,1095,1095,1095.0,12,13140,TQBR
2017-01-25,1095,1095,1095,1095.0,11,12045,TQBR
2017-01-26,1095,1095,1095,1095.0,6,6570,TQBR
