date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2005-12-15,10,10,10,10.0,1000,10000,EQNE
2005-12-16,9,9,9,9.0,1000,9000,EQNE
2005-12-26,8.5,8.5,8.5,8.5,5000,42500,EQNE
2005-12-27,9.49,9.5,9.49,9.5,7000,66490,EQNE
2006-01-12,11,11,11,11.0,1000,11000,EQNE
2006-01-19,11,11,11,11.0,100,1100,EQNE
2006-02-08,12,12,12,12.0,100,1200,EQNE
2006-02-14,12,12,12,12.0,900,10800,EQNE
2006-03-06,9,9,9,9.0,900,8100,EQNE
2006-03-07,11.5,11.5,11.5,11.5,1000,11500,EQNE
2006-03-15,11.5,11.5,11.5,11.5,4800,55200,EQNE
2006-03-29,11.5,11.5,11.5,11.5,9800,112700,EQNE
2006-07-26,11.5,11.5,10,10.0,4600,50350,EQNE
2006-07-27,10,10,10,10.0,4700,47000,EQNE
2006-08-08,10.9,10.9,10.9,10.9,700,7630,EQNE
2006-09-05,11.25,11.25,11.25,11.25,5000,56250,EQNE
2006-09-07,13.6,13.6,13.6,13.6,200,2720,EQNE
2006-09-13,12,12,12,12.0,10000,120000,EQNE
2006-09-14,12.29,12.29,12.29,12.29,3000,36870,EQNE
2006-09-15,12.39,12.49,12.39,12.49,8000,99520,EQNE
2006-09-28,12,12.49,12,12.49,1800,22433,EQNE
2006-10-04,13,13,13,13.0,100,1300,EQNE
2006-10-05,13,13.4,13,13.4,5200,68800,EQNE
2006-10-09,13.5,13.5,13.5,13.5,8000,108000,EQNE
2006-10-11,13.5,13.5,13.5,13.5,9700,130950,EQNE
2006-10-12,13,13,13,13.0,1000,13000,EQNE
2006-10-17,13.5,13.5,13.5,13.5,1000,13500,EQNE
2006-10-18,13.7,13.7,13.7,13.7,8700,119190,EQNE
2006-10-19,13.7,13.7,13.7,13.7,5000,68500,EQNE
2006-10-24,13.9,13.9,13.8,13.8,2200,30460,EQNE
2006-10-26,13.8,13.8,13.78,13.78,44100,608004,EQNE
2006-11-01,14.25,14.97,14.25,14.97,16000,235920,EQNE
2006-11-02,14.7,14.7,14.7,14.7,5000,73500,EQNE
2006-11-20,17.3,18.45,17,18.45,14500,256680,EQNE
2006-11-21,17.5,17.5,17.5,17.5,100,1750,EQNE
2006-11-28,17.8,17.9,17.8,17.9,200,3570,EQNE
2006-11-29,19,19,19,19.0,10000,190000,EQNE
2006-12-08,20,20,20,20.0,1700,34000,EQNE
2006-12-11,19.5,19.5,19.5,19.5,1600,31200,EQNE
2006-12-12,19.5,19.5,19.5,19.5,3000,58500,EQNE
2006-12-13,20,20,20,20.0,100,2000,EQNE
2006-12-14,19,19,18,18.0,200,3700,EQNE
2006-12-15,18.99,18.99,18.99,18.99,2300,43677,EQNE
2006-12-20,18.75,18.75,18.5,18.5,600,11125,EQNE
2006-12-22,18.7,18.7,18.41,18.41,18800,348834,EQNE
2006-12-26,18.7,18.7,18.7,18.7,1000,18700,EQNE
2006-12-27,18.7,19.65,18.301,19.65,23700,448165.1,EQNE
2006-12-29,22.5,24,22.5,24.0,1100,24900,EQNE
2007-01-09,22.05,22.06,22.05,22.06,300,6616,EQNE
2007-01-11,20.053,20.053,18.5,18.8,1100,20605.6,EQNE
2007-01-12,19.499,19.732,19.499,19.732,4300,84817.9,EQNE
2007-01-19,17,17,16.5,16.5,5200,87100,EQNE
2007-01-24,18.2,18.2,18.2,18.2,2300,41860,EQNE
2007-01-25,19.2,21.7,19.2,19.2,3300,63610,EQNE
2007-02-06,24.48,26,24.48,26.0,64000,1577542,EQNE
2007-02-07,26,26,26,26.0,100,2600,EQNE
2007-02-08,26,27,26,27.0,200,5300,EQNE
2007-02-12,29,29,25.002,25.002,700,19899.2,EQNE
2007-02-13,26,26,26,26.0,100,2600,EQNE
2007-02-14,25.001,29,25.001,29.0,4000,101802.5,EQNE
2007-02-19,26.3,26.3,26.3,26.3,3000,78900,EQNE
2007-02-20,28.5,28.5,28.5,28.5,10800,307800,EQNE
2007-02-22,28.5,28.5,28.489,28.5,600,17098.9,EQNE
2007-02-28,25.003,25.003,25.003,25.003,100,2500.3,EQNE
2007-03-14,27.5,27.5,27.5,27.5,3500,96250,EQNE
2007-03-16,23.5,24,23.5,24.0,7900,185890,EQNE
2007-03-20,23,23,23,23.0,5300,121900,EQNE
2007-03-21,24,24,24,24.0,11000,264000,EQNE
2007-03-23,24,24.1,23.62,24.0,42600,1012888,EQNE
2007-03-26,24,24.01,24,24.0,32000,768010,EQNE
2007-03-29,23.7,23.7,23.7,23.7,11500,272550,EQNE
2007-03-30,24.71,24.71,24,24.0,200,4871,EQNE
2007-04-04,25,25,25,25.0,100,2500,EQNE
2007-04-05,23,23,23,23.0,700,16100,EQNE
2007-04-11,23.26,23.26,23.26,23.26,5000,116300,EQNE
2007-04-24,21.531,21.531,21.531,21.531,100,2153.1,EQNE
2007-04-27,22.499,24.98,19.58,20.0,16000,315363.5,EQNE
2007-04-28,20,20,20,20.0,200,4000,EQNE
2007-05-10,22.769,22.769,22.769,22.769,500,11384.5,EQNE
2007-05-11,19,19.6,19,19.6,4100,78460,EQNE
2007-05-14,18.101,18.101,18.101,18.101,100,1810.1,EQNE
2007-05-23,19,19,19,19.0,1600,30400,EQNE
2007-05-24,18.01,18.01,18.01,18.01,5300,95453,EQNE
2007-05-29,18.02,18.02,18.02,18.02,20000,360400,EQNE
2007-05-31,18.5,18.7,18,18.0,10800,201534,EQNE
2007-06-01,19,19,19,19.0,2300,43700,EQNE
2007-06-07,19,19,19,19.0,500,9500,EQNE
2007-06-09,18,18,18,18.0,10300,185400,EQNE
2007-06-13,17.01,17.01,17.01,17.01,7800,132678,EQNE
2007-06-21,17.95,17.95,17.95,17.95,3500,62825,EQNE
2007-06-22,19.99,19.99,19.99,19.99,700,13993,EQNE
2007-06-25,19.99,19.99,19.99,19.99,100,1999,EQNE
2007-06-29,17.01,18,17.01,18.0,200,3501,EQNE
2007-07-03,19.7,19.7,19.7,19.7,700,13790,EQNE
2007-07-05,18,18,18,18.0,700,12600,EQNE
2007-07-17,18.01,18.01,18.01,18.01,5500,99055,EQNE
2007-07-19,19,21,19,19.0,19800,385150,EQNE
2007-07-20,21,22,21,22.0,700,14800,EQNE
2007-07-27,17,17.511,17,17.51,3200,55930.3,EQNE
2007-07-31,18.5,18.5,18.5,18.5,300,5550,EQNE
2007-08-01,18.4,18.4,18.4,18.4,100,1840,EQNE
2007-08-03,19,19,17,19.0,9700,165400.3,EQNE
2007-08-06,18,18.5,18,18.5,10400,192350,EQNE
2007-08-07,18.6,19.034,18.5,19.03,28500,529573,EQNE
2007-08-08,19,19.02,19,19.02,3800,72202,EQNE
2007-08-09,19.434,20,19.434,20.0,68300,1365707,EQNE
2007-08-10,19.001,19.001,18.51,18.51,5100,96018.8,EQNE
2007-08-13,18.081,18.511,18.072,18.51,7600,138910.9,EQNE
2007-08-14,22.901,22.901,22.901,22.901,3000,68703,EQNE
2007-08-16,18.03,18.03,18.03,18.03,1000,18030,EQNE
2007-08-17,18.31,18.6,18.182,18.182,18700,346950.6,EQNE
2007-08-21,18.03,18.03,18.02,18.02,12200,219944,EQNE
2007-08-22,18.5,18.5,18.5,18.5,5300,98050,EQNE
2007-08-23,18.16,18.55,18.16,18.4,20100,370690,EQNE
2007-08-27,18.7,18.7,18.21,18.21,10100,185634,EQNE
2007-08-29,18.01,18.01,18.01,18.01,10000,180100,EQNE
2007-08-30,18.05,19,18.05,19.0,87300,1655450,EQNE
2007-08-31,18.11,18.11,18.11,18.11,100,1811,EQNE
2007-09-03,18.02,18.02,18.02,18.02,1000,18020,EQNE
2007-09-05,18.22,18.85,18.22,18.85,14300,262099,EQNE
2007-09-06,19.1,19.1,19,19.0,14300,272730,EQNE
2007-09-11,18.51,18.51,18.5,18.5,26000,481100,EQNE
