date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2005-06-16,12600,12600,12600,12600.0,14,176400,EQNE
2005-06-17,14780,15000,14500,15000.0,8,117060,EQNE
2005-06-22,17000,17000,17000,17000.0,5,85000,EQNE
2005-06-23,18500,18500,18500,18500.0,2,37000,EQNE
2005-06-24,19000,19000,19000,19000.0,8,152000,EQNE
2005-06-29,19499.99,19499.99,19499.99,19499.99,1,19499.99,EQNE
2005-07-12,18450,18450,18450,18450.0,3,55350,EQNE
2005-07-29,18000,18000,18000,18000.0,1,18000,EQNE
2005-08-03,22000,22000,22000,22000.0,2,44000,EQNE
2005-08-04,22000,22000,22000,22000.0,2,44000,EQNE
2005-08-17,22500,22500,21999,21999.0,7,154995,EQNE
2005-08-24,25000,27300,25000,27300.0,2,52300,EQNE
2005-08-25,14100,27480,14100,27480.0,4,83160,EQNE
2005-08-26,14000,29000,14000,19999.0,17,353999,EQNE
2005-08-29,14000,29000,14000,19001.0,12,242101,EQNE
2005-08-30,20000,20000,19000,19000.0,3,58000,EQNE
2005-09-08,18000,18000,18000,18000.0,1,18000,EQNE
2005-09-09,17000,17000,15000,15000.0,4,64000,EQNE
2005-09-13,19000,19500,19000,19500.0,3,57600,EQNE
2005-09-14,24000,24000,24000,24000.0,1,24000,EQNE
2005-09-16,25000,25000,24000,25000.0,3,74000,EQNE
2005-09-22,26999,26999,26999,26999.0,1,26999,EQNE
2005-09-28,25500,25500,25500,25500.0,2,51000,EQNE
2005-10-03,18000,25900,18000,25900.0,2,43900,EQNE
2005-10-07,25500,25500,25500,25500.0,1,25500,EQNE
2005-10-10,26940,26940,26940,26940.0,1,26940,EQNE
2005-10-19,18000,18000,14150,15502.0,12,195954,EQNE
2005-10-21,17999,17999,14500,14500.0,3,46999,EQNE
2005-10-24,21000,21000,21000,21000.0,1,21000,EQNE
2005-10-28,16700.01,17000,16700.01,17000.0,2,33700.01,EQNE
2005-11-25,18500,18500,18500,18500.0,1,18500,EQNE
2005-12-20,18000,18000,18000,18000.0,1,18000,EQNE
2005-12-22,18000,18000,18000,18000.0,1,18000,EQNE
2006-01-12,16800,16800,16800,16800.0,2,33600,EQNE
2006-01-16,15000,17100,15000,17100.0,6,100100,EQNE
2006-01-17,17000,17000,16961,16961.0,2,33961,EQNE
2006-01-19,18999.99,18999.99,18999.99,18999.99,1,18999.99,EQNE
2006-01-20,20000,20000,18000,19500.0,9,170502,EQNE
2006-01-25,19500,19500,19500,19500.0,1,19500,EQNE
2006-01-27,21485,21485,21485,21485.0,1,21485,EQNE
2006-02-01,21998,21998,21998,21998.0,1,21998,EQNE
2006-02-03,22533,22533,22533,22533.0,1,22533,EQNE
2006-02-06,20999,20999,20999,20999.0,1,20999,EQNE
2006-02-08,21000,21000,21000,21000.0,1,21000,EQNE
2006-02-14,20001,20001,20001,20001.0,1,20001,EQNE
2006-02-16,20900,20900,18500,18500.0,2,39400,EQNE
2006-02-21,19790,20000,19790,20000.0,4,79390,EQNE
2006-02-22,22533,22533,22533,22533.0,2,45066,EQNE
2006-02-26,22533.95,22533.97,22500,22500.0,11,247839.64,EQNE
2006-02-27,28500,29724,28499,29724.0,8,231445,EQNE
2006-02-28,28800,28800,23200,25100.0,7,180300,EQNE
2006-03-01,23002.01,23002.01,23001,23001.0,7,161009.02,EQNE
2006-03-02,22500,22500,21000,21000.0,4,87000,EQNE
2006-03-03,24199.99,24199.99,22599.99,22599.99,4,92999.98,EQNE
2006-03-07,22190,22199.99,22150,22199.99,4,88689.99,EQNE
2006-03-14,24750,24750,24750,24750.0,3,74250,EQNE
2006-03-17,18300,18300,18300,18300.0,1,18300,EQNE
2006-03-21,21900,21900,18000,18899.99,23,436002.99,EQNE
2006-03-22,18300,18800,18300,18800.0,7,128750,EQNE
2006-03-23,18000,18800,18000,18800.0,5,93200,EQNE
2006-03-24,19000,19000,19000,19000.0,9,171000,EQNE
2006-03-28,18752,18752,18752,18752.0,1,18752,EQNE
2006-03-29,18501,18501,18500,18500.0,3,55502,EQNE
2006-03-30,18500,18600,18500,18600.0,5,92600,EQNE
2006-03-31,18500,19500,18500,19500.0,2,38000,EQNE
2006-04-04,19994,20000,19994,19996.0,4,79985,EQNE
2006-04-05,23850,23850,20000,20000.0,10,233199,EQNE
2006-04-06,24000,27000,22500,22600.0,56,1266500,EQNE
2006-04-10,22500,22500,22500,22500.0,2,45000,EQNE
2006-04-17,21800,22123.5,21800,22123.5,6,132417.5,EQNE
2006-04-18,22500,30700,21000.01,30700.0,182,4781045.03,EQNE
2006-04-19,29000,29000,29000,29000.0,1,29000,EQNE
2006-04-20,30000,30000,30000,30000.0,1,30000,EQNE
2006-04-21,30000,30500,21000,24000.0,29,721511.01,EQNE
2006-04-24,25510,25510,25510,25510.0,1,25510,EQNE
2006-04-25,29200,29200,29200,29200.0,2,58400,EQNE
2006-05-02,24000,24000,24000,24000.0,2,48000,EQNE
2006-05-03,22500.01,22500.01,22300,22300.0,29,652294.93,EQNE
2006-05-04,21500,22000,21200,22000.0,20,432200,EQNE
2006-05-05,22500,23500,22500,23500.0,37,838498.99,EQNE
2006-05-06,24000,24000,21220.01,24000.0,7,162440.02,EQNE
2006-05-10,24500,36020,24500,36020.0,155,4872193,EQNE
2006-05-15,25000,26000,25000,25000.0,5,127000,EQNE
2006-05-16,22500,25000,22300,23500.0,43,973580.02,EQNE
2006-05-17,23500,23500,23500,23500.0,3,70500,EQNE
2006-05-18,21500,21500,20000,20500.0,72,1495304.1,EQNE
2006-05-19,24999,25200,22800,22800.0,27,675599,EQNE
2006-05-22,23500,23500,18000,21500.0,4,81500.1,EQNE
2006-05-23,22900,23000,22900,23000.0,2,45900,EQNE
2006-05-24,20500.01,20500.01,20500.01,20500.01,2,41000.02,EQNE
2006-05-25,22200,22500,22200,22500.0,6,134700,EQNE
2006-05-31,18500.01,18500.01,18500.01,18500.01,1,18500.01,EQNE
2006-06-02,19900,19950,18850.01,19500.0,6,117200.01,EQNE
2006-06-05,22499.99,22500,22499.99,22500.0,13,292499.99,EQNE
2006-06-15,19000,19100,18900,18900.0,7,133100,EQNE
2006-06-16,19500,19500,19500,19500.0,1,19500,EQNE
2006-06-19,20200,20200,19200,19200.0,4,78801,EQNE
2006-06-20,21000,21900,21000,21900.0,7,149499,EQNE
2006-06-21,21800,22498,21800,22498.0,5,111294,EQNE
2006-06-23,20150,22295,20150,22295.0,24,492180,EQNE
2006-06-26,20500.02,20500.02,20500.02,20500.02,10,205000.2,EQNE
2006-06-27,21800,21849,21800,21849.0,7,152845,EQNE
2006-06-28,20300,20300,20300,20300.0,1,20300,EQNE
2006-06-29,20100,20100,19860,19860.0,2,39960,EQNE
2006-07-03,20500.01,21900,17500,20500.0,42,747400.01,EQNE
2006-07-04,20100,20498,17500,19999.0,51,928067.57,EQNE
2006-07-06,20499,20499,16001,18691.0,51,942508.01,EQNE
2006-07-07,19750,20498.99,19750,20485.0,26,527706.97,EQNE
2006-07-10,19100,20100,18500,20100.0,3,57700,EQNE
2006-07-12,19001,20000,18850,18850.0,4,77851,EQNE
2006-07-13,19103,21149.9,19103,19800.0,7,143202.6,EQNE
2006-07-20,19003,19776.99,19000,19776.99,5,97333.97,EQNE
2006-07-24,19500,20360,19500,20000.0,32,641010,EQNE
2006-07-27,19500,19500,19500,19500.0,2,39000,EQNE
2006-08-03,19650,19650,19650,19650.0,2,39300,EQNE
2006-08-04,20000,20096,20000,20000.0,12,240192,EQNE
2006-08-07,20000,20500,19750,20500.0,14,281600,EQNE
2006-08-09,20050,20050,20050,20050.0,4,80200,EQNE
2006-08-10,20500,20849,20450,20500.0,17,348949,EQNE
2006-08-11,20500,20750,20500,20750.0,15,310546,EQNE
2006-08-16,20000,21000,20000,20500.0,15,309499.99,EQNE
