date,open,high,low,close,volume,value,board
2011-12-14,70,72,69.5,69.75,11900,833478,EQNE
2011-12-15,70.5,70.5,70.5,70.5,1000,70500,EQNE
2011-12-16,71,71.15,71,71.15,31000,2203500,EQNE
2011-12-19,71.49,72,71,72.0,10700,761896,EQNE
2011-12-20,71.5,72,71.5,72.0,1300,93100,EQNE
2011-12-21,72,72,71,71.0,5600,402153,EQNE
2011-12-22,71.8,72.5,71.8,72.5,8500,613760,EQNE
2011-12-23,71.01,73,71.01,73.0,22200,1614306,EQNE
2011-12-26,71.05,71.5,71.05,71.5,2000,142550,EQNE
2011-12-27,71.01,72,69,72.0,4700,331010,EQNE
