date,open,high,low,close,volume,value,board
2011-06-29,246.5,250.5,246.5,250.5,76420,19007112.2,EQNE
2011-06-30,249.05,252.49,248.0,248.0,92530,23252680.3,EQNE
2011-07-01,248.2,249.0,236.0,245.0,5720,1390655.6,EQNE
2011-07-04,240.6,241.0,240.0,241.0,5090,1223667.1,EQNE
2011-07-05,247.0,260.0,245.11,256.0,86340,21831184.4,EQNE
2011-07-06,260.0,262.0,256.0,261.0,58350,15222960.3,EQNE
2011-07-07,261.0,262.25,260.98,262.25,53580,14046849.0,EQNE
2011-07-08,258.0,260.85,258.0,260.85,12000,3127335.0,EQNE
2011-07-11,261.0,261.0,257.15,258.5,76310,19729858.0,EQNE
2011-07-12,258.25,259.0,255.1,258.2,17430,4485958.1,EQNE
2011-07-13,262.0,263.0,260.0,263.0,91780,24063733.3,EQNE
2011-07-14,263.0,270.0,263.0,269.3,48240,12903137.7,EQNE
2011-07-15,265.3,270.0,265.3,268.99,12680,3403660.9,EQNE
2011-07-18,268.99,268.99,268.0,268.0,1010,270689.9,EQNE
2011-07-19,264.9,265.0,264.9,265.0,2920,773509.0,EQNE
2011-07-20,268.5,268.5,268.5,268.5,200,53700.0,EQNE
2011-07-21,269.0,272.5,269.0,272.0,9720,2637717.5,EQNE
2011-07-22,276.0,276.5,273.5,276.5,23530,6464242.9,EQNE
2011-07-25,273.0,273.0,271.12,273.0,48070,13085495.0,EQNE
2011-07-26,274.0,278.0,270.0,272.52,15810,4304547.2,EQNE
2011-07-27,271.0,272.5,271.0,272.5,8460,2295945.0,EQNE
2011-07-28,271.0,274.0,267.01,273.0,15130,4119747.1,EQNE
2011-07-29,268.0,273.0,268.0,268.0,37960,10284100.4,EQNE
2011-08-01,220.3,276.0,220.3,274.5,19620,5280299.0,EQNE
2011-08-02,273.0,276.0,272.5,274.0,3590,983041.5,EQNE
2011-08-03,274.0,274.0,265.0,265.0,5090,1374460.0,EQNE
2011-08-04,268.0,268.79,255.0,255.0,13200,3437319.2,EQNE
2011-08-05,250.0,260.01,250.0,253.0,24240,6132210.1,EQNE
2011-08-08,246.1,247.0,243.8,243.8,22650,5563100.0,EQNE
2011-08-09,239.99,240.0,225.2,240.0,1140,267855.9,EQNE
2011-08-10,245.0,257.0,215.07,252.0,41030,10014114.4,EQNE
