date,open,high,low,close,volume,value,board
2003-10-20,0.85,0.85,0.8,0.8,96000,80600,EQNE
2003-10-21,0.78,0.78,0.78,0.78,12500,9750,EQNE
2003-10-22,0.76,0.76,0.68,0.68,1413200,1024996,EQNE
2003-10-23,0.71,0.72,0.69,0.7,1181500,835306,EQNE
2003-10-24,0.71,0.74,0.7,0.74,1234200,875576,EQNE
2003-10-27,0.62,0.71,0.62,0.66,1994900,1324804,EQNE
2003-10-28,0.68,0.69,0.66,0.68,2272100,1536542,EQNE
2003-10-29,0.69,0.69,0.65,0.65,971300,650568,EQNE
2003-10-30,0.64,0.66,0.6,0.6,1065800,649801,EQNE
2003-10-31,0.61,0.75,0.6,0.6,1913500,1240201,EQNE
2003-11-03,0.62,0.65,0.6,0.62,4061612,2499250.2,EQNE
2003-11-04,0.62,0.62,0.61,0.61,3877400,2371028,EQNE
2003-11-05,0.6,0.61,0.59,0.6,989600,597723,EQNE
2003-11-06,0.6,0.61,0.6,0.61,1862500,1118320,EQNE
2003-11-10,0.6,0.61,0.59,0.59,2179300,1303237,EQNE
2003-11-11,0.6,0.6,0.59,0.59,224500,132465,EQNE
2003-11-12,0.6,0.6,0.58,0.58,2076200,1214910,EQNE
2003-11-13,0.58,0.6,0.58,0.59,154900,90891,EQNE
2003-11-14,0.58,0.59,0.58,0.58,52900,30994,EQNE
2003-11-17,0.58,0.6,0.56,0.58,421800,243398,EQNE
2003-11-18,0.57,0.57,0.56,0.56,1951100,1104878,EQNE
2003-11-19,0.56,0.59,0.55,0.58,1442000,821435,EQNE
2003-11-20,0.57,0.57,0.54,0.57,694000,391470,EQNE
2003-11-21,0.57,0.57,0.56,0.57,1091100,612364,EQNE
2003-11-24,0.57,0.59,0.57,0.58,1214000,711172,EQNE
2003-11-25,0.58,0.58,0.56,0.58,818500,469519,EQNE
2003-11-26,0.58,0.6,0.58,0.6,1421000,829711,EQNE
2003-11-27,0.59,0.6,0.58,0.59,1066300,634360,EQNE
2003-11-28,0.59,0.6,0.58,0.59,1934700,1145318,EQNE
2003-12-01,0.58,0.59,0.57,0.58,988900,578029,EQNE
2003-12-02,0.59,0.61,0.58,0.6,4536400,2715278,EQNE
2003-12-03,0.6,0.61,0.59,0.6,3889500,2337267,EQNE
2003-12-04,0.6,0.6,0.58,0.6,1038900,614139,EQNE
2003-12-05,0.59,0.61,0.58,0.6,1598000,946222,EQNE
2003-12-08,0.6,0.61,0.59,0.6,1574600,955389,EQNE
2003-12-09,0.61,0.63,0.61,0.61,3055700,1882272,EQNE
2003-12-10,0.61,0.64,0.61,0.64,4759900,2982433,EQNE
2003-12-11,0.63,0.64,0.62,0.64,1439600,907746,EQNE
2003-12-15,0.63,0.66,0.63,0.65,9280600,5955658,EQNE
2003-12-16,0.66,0.68,0.65,0.65,7896500,5211318,EQNE
2003-12-17,0.65,0.66,0.65,0.66,4840400,3154455,EQNE
2003-12-18,0.66,0.67,0.66,0.66,1097300,727260,EQNE
2003-12-19,0.66,0.68,0.66,0.68,3987400,2669987,EQNE
2003-12-22,0.66,0.67,0.66,0.66,1207200,802856,EQNE
2003-12-23,0.67,0.67,0.65,0.67,3175300,2108531,EQNE
2003-12-24,0.67,0.67,0.66,0.66,349400,232367,EQNE
2003-12-25,0.66,0.66,0.65,0.65,5186800,3373009,EQNE
2003-12-26,0.66,0.68,0.65,0.67,5575500,3731889,EQNE
2003-12-29,0.67,0.68,0.66,0.68,1489100,999163,EQNE
