date,open,high,low,close,volume,value,board
2003-02-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-10,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-12,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-13,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-14,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-18,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-19,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-20,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-21,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-25,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-26,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-27,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-02-28,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-03,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-04,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-05,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-06,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-07,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-11,0.0,0.0,0.0,0.0,0,0.0,EQNE
2003-03-17,0.0,0.0,0.0,0.0,0,0.0,EQNE
2005-02-18,3.0,3.0,3.0,3.0,10000,30000.0,EQNE
2005-02-24,3.0,3.15,3.0,3.15,21200,64130.0,EQNE
2005-02-25,3.1,3.1,3.1,3.1,10000,31000.0,EQNE
2005-02-28,3.16,3.3,3.16,3.3,23300,74870.0,EQNE
2005-03-01,3.4,4.1,3.4,4.1,53600,193897.0,EQNE
2005-03-02,3.9,8.0,3.9,8.0,74200,447011.1,EQNE
2005-03-03,8.132,12.8,8.13,12.8,3300,32126.5,EQNE
2005-03-04,8.132,8.197,4.25,8.197,56200,342129.7,EQNE
2005-03-05,8.209,11.5,6.805,10.4,31900,299960.3,EQNE
2005-03-09,8.219,10.4,8.219,8.355,58700,510123.2,EQNE
2005-03-10,9.25,9.25,4.0,4.0,380300,1821627.7,EQNE
2005-03-11,4.3,4.3,3.3,3.6,581900,2158948.9,EQNE
2005-03-14,3.8,3.8,3.17,3.22,150400,494830.7,EQNE
2005-03-15,3.22,3.22,2.68,3.184,140700,421119.3,EQNE
2005-03-16,3.1,3.1,2.912,2.93,56100,167132.3,EQNE
2005-03-17,2.997,3.0,2.9,2.9,31500,91507.5,EQNE
2005-03-18,2.949,2.949,2.725,2.821,39300,111404.6,EQNE
2005-03-21,2.93,2.935,2.61,2.65,52600,144858.1,EQNE
2005-03-22,2.898,2.9,2.7,2.7,73400,199362.2,EQNE
2005-03-23,2.86,2.86,2.5,2.65,42600,108511.7,EQNE
2005-03-24,2.65,2.748,2.31,2.51,105100,248982.7,EQNE
2005-03-25,2.5,2.5,2.451,2.46,62000,154362.9,EQNE
2005-03-28,2.5,2.5,2.3,2.478,58700,136949.4,EQNE
2005-03-29,2.49,2.495,2.262,2.49,12400,30589.9,EQNE
2005-03-30,2.18,2.5,2.18,2.42,70200,170138.0,EQNE
2005-03-31,2.494,2.845,2.493,2.77,368700,982928.2,EQNE
2005-04-01,2.79,2.999,2.5,2.615,884200,2251867.5,EQNE
2005-04-04,2.687,2.828,2.501,2.59,161600,430252.4,EQNE
2005-04-05,2.644,2.655,2.531,2.531,57800,148791.9,EQNE
2005-04-06,2.522,2.6,2.52,2.53,42300,108667.3,EQNE
2005-04-07,2.6,2.67,2.5,2.545,209800,537469.0,EQNE
2005-04-08,2.492,2.599,2.49,2.55,28400,71086.0,EQNE
2005-04-11,2.643,2.643,2.49,2.504,165800,427153.4,EQNE
2005-04-12,2.587,2.588,2.5,2.549,17200,43495.4,EQNE
2005-04-13,2.518,2.551,2.5,2.5,58100,145963.2,EQNE
2005-04-14,2.49,2.5,2.4,2.484,19200,46534.7,EQNE
2005-04-15,2.45,2.45,2.36,2.36,7100,17174.8,EQNE
2005-04-18,2.22,2.5,2.22,2.5,200,472.0,EQNE
2005-04-19,2.42,2.42,2.253,2.385,6800,15439.4,EQNE
2005-04-20,2.5,2.599,2.3,2.36,41300,97178.2,EQNE
2005-04-21,2.36,2.547,2.253,2.45,190200,455630.5,EQNE
2005-04-22,2.498,2.595,2.49,2.5,88600,223947.4,EQNE
2005-04-25,2.594,2.599,2.499,2.5,2200,5528.7,EQNE
2005-04-26,2.472,2.5,2.472,2.5,3800,9497.2,EQNE
2005-04-27,2.45,2.48,2.45,2.45,11100,27495.0,EQNE
2005-04-28,2.41,2.47,2.314,2.45,16700,40070.7,EQNE
2005-04-29,2.5,2.5,2.352,2.401,144900,350024.0,EQNE
2005-05-03,2.41,2.6,2.4,2.543,575700,1461362.8,EQNE
2005-05-04,2.599,2.599,2.5,2.5,7300,18378.3,EQNE
2005-05-05,2.52,2.66,2.52,2.6,362400,933476.7,EQNE
2005-05-06,2.589,2.6,2.51,2.58,107000,276322.7,EQNE
2005-05-11,2.65,2.65,2.55,2.6,67000,172249.6,EQNE
2005-05-12,2.55,2.55,2.46,2.46,54300,135792.6,EQNE
2005-05-13,2.53,2.62,2.43,2.43,18600,45734.9,EQNE
2005-05-14,2.589,2.589,2.5,2.522,12300,30818.9,EQNE
2005-05-16,2.599,2.599,2.411,2.42,14800,36681.6,EQNE
2005-05-17,2.45,2.589,2.45,2.57,125800,319276.0,EQNE
2005-05-18,2.6,2.795,2.6,2.63,781600,2078303.5,EQNE
2005-05-19,2.95,3.089,2.73,3.01,701800,2037106.9,EQNE
2005-05-20,3.168,3.2,3.0,3.12,520800,1628157.2,EQNE
2005-05-23,3.375,3.479,3.199,3.45,583800,1939209.2,EQNE
2005-05-24,3.497,3.95,3.497,3.95,997800,3643899.6,EQNE
2005-05-25,4.0,4.188,3.4,3.65,246900,911044.3,EQNE
2005-05-26,3.65,3.748,3.001,3.378,684300,2218522.4,EQNE
2005-05-27,3.4,3.4,2.955,3.045,647900,1982529.9,EQNE
2005-05-30,2.902,3.089,2.9,2.95,179600,530682.7,EQNE
2005-05-31,2.921,2.987,2.85,2.985,167800,493550.3,EQNE
2005-06-01,3.049,3.294,2.905,3.29,826800,2608536.9,EQNE
2005-06-02,3.27,3.399,3.123,3.22,488500,1564604.7,EQNE
2005-06-03,3.19,3.238,3.092,3.16,120800,378102.3,EQNE
2005-06-06,3.16,3.16,3.01,3.133,19500,59101.6,EQNE
2005-06-07,3.05,3.05,2.96,3.044,25000,75171.8,EQNE
2005-06-08,3.069,3.139,3.03,3.121,33400,103066.1,EQNE
2005-06-09,3.12,3.288,3.1,3.167,111900,356353.2,EQNE
2005-06-10,3.3,3.44,3.17,3.23,18000,57647.2,EQNE
