date,open,high,low,close,volume,value,board
2008-11-14,10,10,10,10.0,3000,30000,EQNE
2008-11-24,8,8,8,8.0,2600,20800,EQNE
2008-12-02,6.6,6.75,6.6,6.75,800,5335,EQNE
2009-01-14,6.3,6.3,6.3,6.3,417000,2627100,EQNE
2009-01-21,7,7,7,7.0,300,2100,EQNE
2009-01-22,6,6,6,6.0,300,1800,EQNE
2009-01-29,7,7,7,7.0,100,700,EQNE
2009-02-06,7,7,7,7.0,600,4200,EQNE
2009-02-27,6,6,6,6.0,200,1200,EQNE
2009-03-11,7.75,7.75,7.75,7.75,100,775,EQNE
2009-03-12,7.75,7.75,7.75,7.75,100,775,EQNE
2009-03-13,7.75,7.75,7.75,7.75,200,1550,EQNE
2009-03-16,7.5,7.5,7.5,7.5,1000,7500,EQNE
2009-03-17,6.5,6.5,6.3,6.3,800,5140,EQNE
2009-03-23,6.5,8.25,6.5,8.0,73500,545057,EQNE
2009-03-24,7.75,7.75,7.75,7.75,38900,301475,EQNE
2009-03-25,7.51,7.57,7.5,7.57,83600,629999,EQNE
2009-03-31,8.25,8.25,8.25,8.25,100,825,EQNE
2009-04-01,8,8.25,8,8.25,55900,447225,EQNE
2009-04-02,8.25,8.8,8.25,8.8,33800,287720,EQNE
2009-04-03,6.876,10,6.875,10.0,69900,622372.8,EQNE
2009-04-06,9,9,9,9.0,16800,151200,EQNE
2009-04-07,9.75,11,9.75,10.5,46000,483254.2,EQNE
2009-04-08,11,11,10.2,10.5,97400,1021185.4,EQNE
2009-04-09,10.01,10.4,10,10.4,21000,217604.6,EQNE
2009-04-10,10.4,10.4,10.4,10.4,200,2080,EQNE
2009-04-13,10.4,10.4,10.4,10.4,1100,11440,EQNE
2009-04-17,10.4,10.4,10.4,10.4,100,1040,EQNE
2009-04-21,9.556,9.65,9.499,9.6,130500,1250457,EQNE
2009-04-22,9.5,9.5,9.5,9.5,8600,81700,EQNE
2009-04-23,9.31,9.497,9.25,9.3,97200,909518,EQNE
2009-04-24,9.2,9.2,9.2,9.2,16500,151800,EQNE
2009-04-27,9.5,9.5,9.5,9.5,10000,95000,EQNE
2009-04-28,9.5,9.6,9.4,9.4,11200,106460,EQNE
2009-04-29,9.6,9.7,9.45,9.7,40000,382150.6,EQNE
2009-04-30,9.7,9.75,9.49,9.7,63600,616104.5,EQNE
2009-05-04,9.7,9.71,9.58,9.71,23800,230328.7,EQNE
2009-05-05,9.8,13.5,9.8,13.5,61300,733125.9,EQNE
2009-05-06,14,18.9,9,15.5,122300,1771625.4,EQNE
2009-05-07,16,16.5,12.1,13.0,60100,871883.7,EQNE
2009-05-08,13.597,14,12.61,12.75,115000,1501335.1,EQNE
2009-05-12,13,13.05,12.003,13.0,16700,210579.1,EQNE
2009-05-13,13,14.798,12.1,12.1,29000,377149.5,EQNE
2009-05-14,11.7,11.8,11.5,11.6,13700,158545.7,EQNE
2009-05-15,10.851,11.55,10.85,11.35,18600,212379.1,EQNE
2009-05-18,11.75,11.75,10.55,11.6,51500,588988.1,EQNE
2009-05-19,11.6,13,11.4,12.5,83800,1033567.6,EQNE
2009-05-20,11.8,12.8,11.712,12.79,33000,406864.4,EQNE
2009-05-21,12.799,12.8,11.903,11.903,12500,154454.7,EQNE
2009-05-22,12.05,13.75,12.05,13.75,12300,157808.2,EQNE
2009-05-25,12.053,14.2,12.05,13.8,34800,469425.8,EQNE
2009-05-26,13.611,13.8,13.2,13.8,11400,154094.8,EQNE
2009-05-27,13.55,18.78,13.55,14.4,56800,812597.6,EQNE
2009-05-28,16,16,15.55,15.55,200,3155,EQNE
2009-05-29,14.1,15.55,14.1,15.55,4500,67944.5,EQNE
2009-06-01,15.499,15.5,13.008,14.98,19400,273926.8,EQNE
2009-06-02,15.3,15.3,14.5,14.5,108700,1586885,EQNE
2009-06-03,14.6,14.6,14.4,14.4,10100,146860,EQNE
2009-06-04,14,14.5,13.5,14.0,12200,166740.3,EQNE
2009-06-05,14,14.2,14,14.001,14000,198620.1,EQNE
2009-06-08,14.001,14.001,13.5,13.805,24600,335837.9,EQNE
2009-06-09,13.9,14.955,13.9,14.399,37300,535777.5,EQNE
2009-06-10,14.4,15.3,14.4,14.7,31000,459712.9,EQNE
2009-06-11,14.7,14.849,14.6,14.6,195000,2885684.5,EQNE
2009-06-15,14.4,14.698,14.4,14.4,13500,197197.6,EQNE
2009-06-16,14.6,14.8,14.401,14.8,2200,32360,EQNE
2009-06-17,14.4,14.4,14.4,14.4,500,7200,EQNE
