date,open,high,low,close,volume,value,board
2005-11-09,0.1,0.1,0.1,0.1,3300,330,EQNE
2005-12-06,0.2,0.2,0.2,0.2,14400,2880,EQNE
2005-12-15,0.255,0.255,0.255,0.255,3300,841.5,EQNE
2005-12-22,1,1,1,1.0,3300,3300,EQNE
2006-01-19,1.1,1.1,1.1,1.1,30000,33000,EQNE
2006-03-17,4.6,8,4.6,8.0,600,3170,EQNE
2006-03-22,5.9,6,5.9,6.0,43900,259020,EQNE
2006-03-23,7,8.2,7,8.2,10300,83269,EQNE
2006-03-24,5.48,5.48,5.48,5.48,30000,164400,EQNE
2006-03-28,6.5,6.5,6.5,6.5,1000,6500,EQNE
2006-03-29,6,6.497,6,6.497,1200,7697,EQNE
2006-04-03,6,7,6,7.0,6000,40665,EQNE
2006-04-12,6.71,6.71,6.71,6.71,2000,13420,EQNE
2006-04-17,6.95,6.95,6.95,6.95,5000,34750,EQNE
2006-04-28,7.77,7.77,7.77,7.77,15000,116550,EQNE
2006-06-09,6,6,6,6.0,1000,6000,EQNE
2006-07-19,8,8,8,8.0,3700,29600,EQNE
2006-11-27,13,13,13,13.0,3700,48100,EQNE
2006-11-28,14,14,14,14.0,12200,170800,EQNE
2006-11-30,15,15,15,15.0,5000,75000,EQNE
2006-12-07,14.71,14.71,14.71,14.71,100,1471,EQNE
2006-12-28,16.7,19.9,10.191,12.0,8600,130642.7,EQNE
2007-01-09,15.5,15.999,10.271,11.515,6400,87398.3,EQNE
2007-01-10,15.5,15.5,15.5,15.5,100,1550,EQNE
2007-01-11,15.5,15.5,15.5,15.5,600,9300,EQNE
2007-01-12,16,16,16,16.0,100,1600,EQNE
2007-01-15,16,16,16,16.0,600,9600,EQNE
2007-01-19,16.5,16.5,16,16.0,5100,81650,EQNE
2007-01-25,14.5,14.5,14,14.0,5000,70050.4,EQNE
2007-01-30,18,18,18,18.0,100,1800,EQNE
2007-01-31,18.93,18.95,18.93,18.95,5200,98536,EQNE
2007-02-01,20.5,20.5,20.5,20.5,100,2050,EQNE
2007-02-02,20.5,20.5,20.5,20.5,100,2050,EQNE
2007-02-05,20.49,21,18,20.5,6200,119622,EQNE
2007-02-07,20.5,50,20.5,30.0,2500,74500,EQNE
2007-02-08,22.4,30,16,28.99,6100,141300.4,EQNE
2007-02-09,27,27,21,27.0,3100,78820,EQNE
2007-02-12,29,29,20.5,20.5,3300,84540.8,EQNE
2007-02-13,20.601,23.3,20.601,23.0,1600,35730.3,EQNE
2007-02-14,22.8,22.8,22.8,22.8,100,2280,EQNE
2007-02-15,21.301,21.301,21.301,21.301,100,2130.1,EQNE
2007-02-19,22.95,22.99,21.301,22.99,300,6724.1,EQNE
2007-02-22,21.301,21.301,21.001,21.001,400,8430.4,EQNE
2007-02-26,21.002,21.002,21.001,21.001,200,4200.3,EQNE
2007-02-27,20.101,21.5,20.101,21.4,1800,38410.1,EQNE
2007-02-28,21.399,21.49,21.399,21.49,300,6428.8,EQNE
2007-03-01,17.501,20.12,17.501,20.12,300,5774.1,EQNE
2007-03-02,20.1,21,20.1,21.0,600,12150,EQNE
2007-03-05,21.5,27,21.5,27.0,800,17754,EQNE
2007-03-06,23.9,23.9,21.5,21.5,18100,389515,EQNE
2007-03-07,22.5,22.5,22.5,22.5,100,2250,EQNE
2007-03-09,21,21.5,17.1,21.0,5900,120370,EQNE
2007-03-12,21.999,21.999,21.999,21.999,100,2199.9,EQNE
2007-03-13,22,22,22,22.0,16800,369600,EQNE
2007-03-16,21.55,22,21.55,22.0,300,6555,EQNE
2007-03-21,22,22.5,22,22.5,300,6650,EQNE
2007-03-30,21.9,22,21.9,22.0,10800,236530,EQNE
2007-04-03,23,23,23,23.0,100,2300,EQNE
2007-04-04,24.5,24.5,24.5,24.5,100,2450,EQNE
2007-04-06,21.302,26.5,20,20.05,3500,81557.6,EQNE
2007-04-09,26.5,26.5,26.5,26.5,100,2650,EQNE
2007-04-10,25,25,25,25.0,100,2500,EQNE
2007-04-11,26,26,26,26.0,1100,28600,EQNE
2007-04-12,21,21,21,21.0,100,2100,EQNE
2007-04-13,21.725,21.725,15.75,21.2,20700,335672.6,EQNE
2007-04-17,16.002,16.002,16.002,16.002,100,1600.2,EQNE
2007-04-18,17.501,19.99,17.5,19.99,1500,27495.1,EQNE
2007-05-07,21,21,21,21.0,100,2100,EQNE
2007-05-10,18.261,18.261,17.891,17.891,200,3615.2,EQNE
2007-05-17,21,21,21,21.0,100,2100,EQNE
2007-06-04,11.222,11.222,11.222,11.222,100,1122.2,EQNE
2007-06-06,19,19,18.5,18.5,900,16700,EQNE
2007-07-03,18,18,18,18.0,1500,27000,EQNE
2007-07-04,17,17,17,17.0,5000,85000,EQNE
2007-07-05,17,17,17,17.0,900,15300,EQNE
2007-07-06,19,19,19,19.0,18400,349600,EQNE
2007-07-19,19,20.999,13.112,16.0,8800,154847.9,EQNE
2007-07-31,19.99,19.99,19.99,19.99,100,1999,EQNE
2007-08-01,13.121,13.121,13.121,13.121,100,1312.1,EQNE
2007-08-17,15.5,15.5,15.5,15.5,500,7750,EQNE
2007-08-20,13.74,15,13.111,15.0,13200,196484.1,EQNE
2007-08-21,17.25,17.6,13.55,15.0,3200,49810.9,EQNE
2007-08-28,16.5,16.5,16.5,16.5,100,1650,EQNE
2007-08-30,17.5,17.5,17.5,17.5,100,1750,EQNE
2007-08-31,17.497,17.497,17.497,17.497,100,1749.7,EQNE
2007-09-10,15.747,15.747,15.747,15.747,100,1574.7,EQNE
2007-09-11,17.209,17.209,16,16.001,800,12921.1,EQNE
2007-09-13,16.139,16.139,16.139,16.139,200,3227.8,EQNE
2007-09-17,15.61,15.61,13.112,13.112,900,12551.9,EQNE
2007-09-18,17.776,17.776,15.998,15.998,200,3377.4,EQNE
2007-09-19,15.012,15.012,15.01,15.01,13700,205663.9,EQNE
2007-09-20,15.391,15.391,15.391,15.391,100,1539.1,EQNE
2007-09-26,15,15.5,15,15.41,2100,32041,EQNE
2007-09-27,15.444,16.38,15.444,15.5,6000,95807.1,EQNE
2007-09-28,17.99,21.7,17.99,20.99,51300,1045927,EQNE
2007-10-05,16.55,16.56,16.55,16.56,800,13247,EQNE
2007-10-08,16.57,16.8,16.503,16.8,3200,52917.8,EQNE
2007-10-11,15.22,15.22,15.2,15.2,1200,18262,EQNE
2007-10-15,15.21,15.21,15.21,15.21,800,12168,EQNE
2007-10-18,16,16,15,15.0,12900,195262,EQNE
2007-10-22,13.187,13.2,13.187,13.2,20,263.95,SMAL
2007-10-24,13.201,14.999,9.17,13.0,8200,103676.9,EQNE
2007-10-25,13.2,16,13.19,16.0,2700,39839.8,EQNE
2007-10-26,13.501,15.777,13.5,13.501,1100,15078.1,EQNE
2007-10-29,15.5,16,13.872,16.0,2100,32763.1,EQNE
2007-10-31,15,16.99,15,16.99,6000,90398,EQNE
2007-11-02,15.48,15.5,15.48,15.5,3100,48036,EQNE
2007-11-08,15.517,15.517,15.517,15.517,6100,94653.7,EQNE
2007-11-09,16,16,16,16.0,3000,48000,EQNE
2007-11-12,16.7,17,15.6,15.6,21000,328180,EQNE
2007-11-19,15.612,15.612,15.612,15.612,100,1561.2,EQNE
2007-11-21,15.984,16.002,15.984,16.002,8300,132798.6,EQNE
2007-11-27,16.819,16.99,15.25,15.25,2200,35446.9,EQNE
2007-11-28,16.021,16.021,16,16.0,6500,104002.1,EQNE
2007-11-29,16.505,17.002,16.5,17.0,3800,64390.7,EQNE
2007-11-30,17.028,18.49,17.028,18.49,300,5258.2,EQNE
2007-12-03,18.49,18.49,18.49,18.49,8700,160863,EQNE
2007-12-05,16.272,18,15.7,18.0,10300,162701.6,EQNE
2007-12-11,15,16.8,15,16.5,1500,24629.9,EQNE
2007-12-14,16.7,16.9,16.7,16.9,10000,167320,EQNE
2007-12-17,16.88,18,16.88,18.0,16200,290143,EQNE
2007-12-18,17.7,17.7,17.7,17.7,500,8850,EQNE
2007-12-20,17.65,17.85,17.65,17.85,4500,80281,EQNE
2007-12-24,17,17,17,17.0,10000,170000,EQNE
2007-12-25,18.37,18.37,12.002,16.001,15300,268628.1,EQNE
2007-12-26,12.1,15.887,12.1,15.887,1200,16938.8,EQNE
2007-12-27,19.94,19.94,19.94,19.94,100,1994,EQNE
2008-01-14,16.99,16.992,15.011,15.011,1500,25279.2,EQNE
2008-01-15,17,17,16.99,17.0,1500,25499,EQNE
2008-01-16,17.8,17.8,17.8,17.8,3000,53400,EQNE
2008-01-23,12.5,12.501,12,12.0,3700,44950.2,EQNE
2008-01-24,14.9,14.9,14.9,14.9,1000,14900,EQNE
2008-01-31,12.25,13,12.25,12.4,400,5055,EQNE
2008-02-01,14,14,13,13.0,6000,78200,EQNE
2008-02-05,12.5,12.5,12.5,12.5,1000,12500,EQNE
2008-02-06,11.551,11.551,11.551,11.551,100,1155.1,EQNE
2008-02-07,11.555,11.555,11.555,11.555,400,4622,EQNE
2008-02-11,11.551,11.551,11.55,11.55,700,8085.3,EQNE
2008-02-12,13.9,14,13.9,14.0,3000,41889,EQNE
2008-02-18,13,13,13,13.0,800,10400,EQNE
2008-02-19,11.56,11.56,11.56,11.56,100,1156,EQNE
2008-02-27,15.988,15.988,11.601,11.601,300,4248.9,EQNE
2008-02-28,15.664,15.664,12.051,12.051,300,4271.3,EQNE
2008-03-04,17.548,17.548,16,16.0,600,9754.8,EQNE
2008-03-11,12.2,12.2,12.05,12.05,500,6040,EQNE
2008-03-13,15.1,16.912,15.1,16.912,6500,107753.6,EQNE
2008-03-14,19,19,18.5,18.5,70500,1307306.6,EQNE
2008-03-17,18.5,18.75,17,18.75,12400,220450,EQNE
2008-03-18,18,18.5,18,18.3,6200,112970,EQNE
2008-03-19,18.5,18.5,18.5,18.5,2200,40700,EQNE
2008-03-20,18.5,18.5,18.5,18.5,1500,27750,EQNE
2008-03-21,18.6,18.6,18.6,18.6,500,9300,EQNE
2008-03-24,18.7,19,18.7,19.0,3700,70270,EQNE
2008-03-25,19.05,19.35,19,19.35,130900,2516345,EQNE
2008-03-26,19.35,19.35,19.3,19.35,16200,313410,EQNE
2008-03-27,19.35,19.35,19.35,19.35,100,1935,EQNE
2008-03-28,19.45,19.45,19.45,19.45,100,1945,EQNE
2008-03-31,19.35,19.5,19.35,19.5,16700,323990,EQNE
2008-04-01,20.3,20.3,20.3,20.3,10700,217210,EQNE
2008-04-10,19.7,19.7,19.7,19.7,600,11820,EQNE
2008-04-11,19.8,19.8,19.8,19.8,600,11880,EQNE
2008-04-14,19.75,19.75,19.75,19.75,1900,37525,EQNE
2008-04-15,19.85,19.85,19.85,19.85,40000,794000,EQNE
2008-04-22,20.01,20.01,20.01,20.01,600,12006,EQNE
2008-04-23,20,20.05,20,20.05,13100,262515,EQNE
2008-04-25,20,20,20,20.0,4000,80000,EQNE
2008-04-28,20.05,20.05,20.05,20.05,1000,20050,EQNE
2008-04-29,20.07,20.07,20.07,20.07,100,2007,EQNE
2008-04-30,20.09,20.09,20,20.0,2500,50180,EQNE
2008-05-04,20.13,20.13,20,20.0,5100,102039,EQNE
2008-05-05,20.15,20.15,20.15,20.15,5700,114855,EQNE
2008-05-07,14,14,14,14.0,20,280,SMAL
2008-05-12,20.15,20.18,20,20.18,33000,665190,EQNE
2008-05-13,20.15,20.15,20.15,20.15,200,4030,EQNE
2008-05-14,20.17,20.17,20.17,20.17,100,2017,EQNE
2008-05-21,20.1,20.1,20.1,20.1,2400,48240,EQNE
2008-05-22,20.35,20.35,20.35,20.35,1000,20350,EQNE
2008-05-27,20.38,20.38,20.38,20.38,24900,507462,EQNE
2008-05-30,23,25,15.55,20.0,52800,1134920,EQNE
2008-06-02,19.01,24,19.001,20.0,70400,1488310.2,EQNE
2008-06-03,17.979,25,17.979,20.0,110800,2359830.7,EQNE
2008-06-04,19.001,24.915,19.001,23.999,96700,2093711.4,EQNE
2008-06-05,21.778,22.999,20.001,22.999,60000,1307680,EQNE
2008-06-09,20.118,20.118,20.118,20.118,300,6035.4,EQNE
2008-06-10,15.13,19.999,15.13,19.999,20000,351290,EQNE
2008-06-17,16.128,17.999,15.018,17.999,12900,212725.8,EQNE
2008-06-20,15.001,19.979,15.001,18.999,19900,338891.9,EQNE
2008-06-23,15.568,18.931,15.568,18.93,78000,1346709.6,EQNE
2008-06-24,18,18.196,16.002,16.49,34900,591297.9,EQNE
2008-06-26,15.638,18.137,15.638,18.136,18900,315292.5,EQNE
2008-07-02,11.681,15.999,11.681,15.999,7600,105184,EQNE
2008-07-03,17.99,18,17.99,18.0,1100,19799,EQNE
2008-07-04,13.519,16.876,13.519,16.876,28800,438476.8,EQNE
2008-07-07,12.128,16.865,12.128,16.865,25900,370736.7,EQNE
2008-07-09,16.499,16.499,16.499,16.499,4500,74245.5,EQNE
2008-07-10,11.551,16.498,11.551,13.5,594100,8352106.5,EQNE
2008-07-11,13.5,13.5,13.2,13.2,1000,13380,EQNE
2008-07-15,11.501,15.999,11.501,14.95,75400,1027658,EQNE
2008-07-17,12,13.426,12,13.426,1200,14685.4,EQNE
2008-07-21,13,13,13,13.0,100,1300,EQNE
2008-07-23,12.2,13.485,9.5,13.485,25400,291981,EQNE
2008-07-24,10.012,12.999,10.012,12.7,135800,1551864.8,EQNE
2008-07-25,12,12,12,12.0,500,6000,EQNE
2008-07-28,10.5,10.82,9.501,10.82,28800,291906,EQNE
2008-07-29,8,10.796,7.001,9.9,42900,395136.1,EQNE
2008-07-30,8.002,11,8.002,11.0,220500,2080301.8,EQNE
2008-07-31,8.001,12,8.001,12.0,130100,1284620.6,EQNE
2008-08-01,7.5,12.45,7.5,12.1,342200,3451370.1,EQNE
2008-08-05,9.001,10.999,8.002,8.778,208900,2007894,EQNE
2008-08-06,8.7,9.296,8.502,9.296,35500,315894.6,EQNE
2008-08-07,8.334,9.299,8.334,9.299,35400,312104.1,EQNE
2008-08-08,8.997,8.997,8.997,8.997,100,899.7,EQNE
2008-08-11,8.997,9.3,8.345,9.3,700,6228.1,EQNE
2008-08-12,8.445,8.5,8.445,8.5,400,3389,EQNE
2008-08-13,8.445,11.9,8.445,11.5,232800,2389036.5,EQNE
2008-08-14,10.401,11.999,9.002,9.15,281500,2991643.6,EQNE
2008-08-15,9.001,11.25,9.001,11.25,384500,3831319.6,EQNE
2008-08-18,9.801,11.999,9.801,9.907,190900,2055382,EQNE
2008-08-19,13.87,13.87,9.9,9.901,4100,41149.4,EQNE
2008-08-20,9.501,10.688,9.5,9.5,2500,23898.6,EQNE
2008-08-21,8.751,10.899,8.751,10.745,159000,1600017,EQNE
2008-08-22,11,11,9.401,10.699,159100,1599320.3,EQNE
2008-08-25,9.501,10.429,9.501,9.517,130500,1296915.7,EQNE
2008-08-26,8.553,9.998,8,8.0,33400,308857.8,EQNE
2008-08-27,7.901,9.999,7.901,8.331,104300,947432.4,EQNE
2008-08-28,8.111,9.997,8.111,9.7,194400,1767549.6,EQNE
2008-08-29,8.301,9.499,8.301,9.499,97200,866764.8,EQNE
2008-09-02,8.222,10.333,8.222,10.333,400,3755.5,EQNE
2008-09-03,8.805,10.235,8.801,8.801,32800,312178.1,EQNE
2008-09-04,8.222,10.39,8.222,10.388,493200,4579841.4,EQNE
