date,open,high,low,close,volume,value,board
2007-03-13,28.0,28.0,28.0,28.0,2600,72800.0,EQNE
2007-03-14,29.0,29.0,29.0,29.0,3800,110200.0,EQNE
2007-03-27,23.0,23.5,23.0,23.5,700,16150.0,EQNE
2007-03-28,25.01,26.0,25.01,26.0,600,15302.0,EQNE
2007-04-06,26.0,26.0,26.0,26.0,6000,156000.0,EQNE
2007-04-11,24.01,24.01,24.01,24.01,3500,84035.0,EQNE
2007-04-17,22.35,24.0,22.16,24.0,2300,51983.0,EQNE
2007-04-25,23.0,23.777,23.0,23.4,41600,975860.9,EQNE
2007-04-26,23.2,27.0,23.2,27.0,8100,189720.0,EQNE
2007-05-02,23.23,23.23,23.22,23.22,200,4645.0,EQNE
2007-05-07,22.888,22.999,22.7,22.7,23100,527905.8,EQNE
2007-05-10,22.7,23.0,22.7,23.0,33100,758627.5,EQNE
2007-05-11,23.0,23.0,22.02,22.02,200,4502.0,EQNE
2007-05-14,22.8,22.8,22.5,22.5,5000,113190.0,EQNE
2007-05-17,25.0,25.0,23.0,23.0,300,7100.0,EQNE
2007-05-18,23.0,23.0,23.0,23.0,200,4600.0,EQNE
2007-05-22,21.5,22.3,21.5,22.3,400,8760.0,EQNE
2007-05-23,23.0,23.111,23.0,23.111,5000,115444.0,EQNE
2007-05-24,22.99,23.0,22.99,23.0,13000,298900.0,EQNE
2007-05-31,23.17,24.22,23.17,24.22,1476800,35736620.0,EQNE
2007-06-07,23.0,23.0,23.0,23.0,1100,25300.0,EQNE
2007-06-29,23.0,23.138,23.0,23.138,400,9213.8,EQNE
2007-07-03,17.31,17.31,17.31,17.31,100,1731.0,EQNE
2007-07-04,21.5,21.5,21.5,21.5,1000,21500.0,EQNE
2007-07-05,21.51,21.51,21.51,21.51,300,6453.0,EQNE
2007-07-06,24.0,24.0,24.0,24.0,13700,328800.0,EQNE
2007-07-10,24.11,24.11,24.11,24.11,700,16877.0,EQNE
2007-07-11,24.11,24.11,24.11,24.11,3000,72330.0,EQNE
2007-07-13,26.4,26.4,26.2,26.2,200,5260.0,EQNE
2007-07-19,24.0,24.0,24.0,24.0,7400,177600.0,EQNE
2007-07-23,23.5,23.5,23.5,23.5,1400,32900.0,EQNE
2007-07-25,23.0,23.6,23.0,23.6,6800,160160.0,EQNE
2007-07-27,23.4,23.4,23.4,23.4,6400,149760.0,EQNE
2007-07-31,23.5,23.5,23.5,23.5,3300,77550.0,EQNE
2007-08-01,23.5,23.5,23.5,23.5,3300,77550.0,EQNE
2007-08-03,23.75,23.75,23.75,23.75,1600,38000.0,EQNE
2007-08-06,23.8,23.8,23.8,23.8,3400,80920.0,EQNE
2007-08-10,23.838,23.838,23.838,23.838,400,9535.2,EQNE
2007-08-16,23.838,24.24,23.838,24.24,1800,43511.4,EQNE
2007-08-22,23.99,23.99,23.99,23.99,300,7197.0,EQNE
2007-08-23,23.5,23.89,23.5,23.5,8200,192973.0,EQNE
2007-08-24,22.999,22.999,22.999,22.999,100,2299.9,EQNE
2007-08-27,22.222,22.222,22.222,22.222,1500,33333.0,EQNE
2007-08-28,22.463,22.463,22.463,22.463,6300,141516.9,EQNE
2007-08-31,23.99,24.0,23.99,24.0,20400,489500.0,EQNE
2007-09-04,23.99,24.0,23.99,24.0,15000,359900.0,EQNE
2007-09-05,24.0,24.0,23.991,23.991,5100,122395.5,EQNE
2007-09-07,24.0,24.0,24.0,24.0,500,12000.0,EQNE
2007-09-13,21.0,23.0,21.0,23.0,900,20500.0,EQNE
2007-09-14,23.6,23.99,23.6,23.99,20800,493009.5,EQNE
2007-09-18,23.98,24.0,23.98,24.0,9800,235057.1,EQNE
2007-09-21,23.211,23.211,23.011,23.011,9800,226815.8,EQNE
2007-09-25,23.555,23.555,23.555,23.555,100,2355.5,EQNE
2007-09-27,23.0,23.0,23.0,23.0,87100,2003300.0,EQNE
2007-10-05,23.49,23.5,23.49,23.5,10000,234950.0,EQNE
2007-10-15,22.633,22.633,22.633,22.633,3300,74688.9,EQNE
2007-10-16,22.01,22.99,22.01,22.99,3800,83736.0,EQNE
2007-10-17,22.99,22.99,22.99,22.99,100,2299.0,EQNE
2007-10-19,20.0,20.0,20.0,20.0,100,2000.0,EQNE
2007-10-22,22.0,22.0,22.0,22.0,1000,22000.0,EQNE
2007-10-23,22.5,22.5,22.5,22.5,1000,22500.0,EQNE
2007-10-24,22.0,22.0,22.0,22.0,6800,149600.0,EQNE
2007-10-25,22.0,22.0,22.0,22.0,3300,72600.0,EQNE
2007-10-26,22.49,22.49,22.49,22.49,6200,139438.0,EQNE
2007-10-29,22.0,22.0,20.001,21.95,4000,86520.5,EQNE
2007-10-30,22.0,22.5,22.0,22.5,1000,22050.0,EQNE
2007-10-31,21.0,21.0,21.0,21.0,900,18900.0,EQNE
2007-11-01,20.8,20.8,20.8,20.8,500,10400.0,EQNE
2007-11-02,20.0,29.12,20.0,29.12,76400,2028972.0,EQNE
2007-11-06,30.0,34.0,29.92,29.92,10700,321792.0,EQNE
2007-11-15,30.0,31.002,30.0,31.0,7400,228500.6,EQNE
2007-11-16,31.0,31.0,31.0,31.0,600,18600.0,EQNE
