date,open,high,low,close,volume,value,board
2005-09-28,1.0,1.0,0.85,0.85,6000,5550.0,EQNE
2005-09-30,0.8,0.8,0.8,0.8,10300,8240.0,EQNE
2005-10-04,0.8,0.8,0.8,0.8,100,80.0,EQNE
2005-10-06,0.75,0.75,0.75,0.75,700,525.0,EQNE
2005-10-26,0.75,0.75,0.75,0.75,600,450.0,EQNE
2005-11-03,0.7,0.7,0.7,0.7,100,70.0,EQNE
2005-11-09,0.55,0.55,0.55,0.55,700,385.0,EQNE
2005-11-17,0.48,0.48,0.45,0.45,1500,690.0,EQNE
2005-11-22,0.44,0.44,0.44,0.44,51000,22440.0,EQNE
2005-11-23,0.45,0.45,0.4,0.45,33000,14715.0,EQNE
2005-11-25,0.45,0.45,0.45,0.45,100,45.0,EQNE
2005-12-01,0.55,0.55,0.44,0.44,31900,17354.0,EQNE
2005-12-05,0.87,0.87,0.87,0.87,100,87.0,EQNE
2005-12-09,0.5,0.5,0.5,0.5,10000,5000.0,EQNE
2005-12-13,0.7,0.74,0.7,0.74,400,292.0,EQNE
2005-12-15,0.98,0.98,0.6,0.979,1400,1295.9,EQNE
2005-12-16,0.86,0.861,0.7,0.861,8600,7236.1,EQNE
2005-12-19,0.97,0.97,0.97,0.97,100,97.0,EQNE
2005-12-20,0.7,0.968,0.7,0.968,1600,1146.8,EQNE
2005-12-21,1.05,1.32,1.05,1.32,200,237.0,EQNE
2005-12-22,0.7,0.86,0.65,0.65,20700,14802.0,EQNE
2005-12-26,0.65,0.65,0.65,0.65,7000,4550.0,EQNE
2005-12-28,0.5,0.5,0.5,0.5,8000,4000.0,EQNE
2006-01-13,0.456,0.456,0.456,0.456,1000,456.0,EQNE
2006-01-27,0.6,0.6,0.6,0.6,100,60.0,EQNE
2006-01-30,0.6,0.6,0.6,0.6,200,120.0,EQNE
2006-02-20,0.85,0.85,0.85,0.85,9000,7650.0,EQNE
2006-02-21,0.89,1.47,0.89,1.47,30100,33660.0,EQNE
2006-02-22,1.27,1.65,1.25,1.65,2100,2911.0,EQNE
2006-02-26,1.0,1.45,1.0,1.45,2100,2610.0,EQNE
2006-02-27,1.455,1.455,1.101,1.101,200,255.6,EQNE
2006-02-28,1.2,1.2,1.2,1.2,20000,24000.0,EQNE
2006-03-02,1.32,3.99,1.32,2.193,105400,350223.7,EQNE
2006-03-03,3.996,4.488,3.939,4.488,6600,26177.6,EQNE
2006-03-06,4.489,4.55,4.489,4.55,300,1352.8,EQNE
2006-03-07,2.2,2.2,2.2,2.2,100,220.0,EQNE
2006-03-09,2.3,2.3,2.193,2.193,14000,30839.0,EQNE
2006-03-13,2.193,2.5,2.193,2.5,11900,26381.8,EQNE
2006-03-14,2.87,2.87,2.3,2.3,8300,22282.0,EQNE
2006-03-22,2.3,2.3,2.3,2.3,100,230.0,EQNE
2006-03-28,2.2,2.2,2.2,2.2,2700,5940.0,EQNE
2006-04-07,2.4,2.4,2.4,2.4,100,240.0,EQNE
2006-04-10,2.499,2.499,2.499,2.499,200,499.8,EQNE
2006-04-11,2.599,3.499,2.599,3.49,1700,5064.9,EQNE
2006-04-12,3.2,3.2,3.187,3.2,1000,3197.7,EQNE
2006-04-13,3.2,3.2,3.2,3.2,200,640.0,EQNE
2006-04-14,3.2,3.2,3.2,3.2,100,320.0,EQNE
2006-04-17,3.2,3.2,3.2,3.2,100,320.0,EQNE
2006-04-18,3.15,3.15,3.15,3.15,100,315.0,EQNE
2006-04-19,3.2,3.2,2.25,3.2,5200,11890.0,EQNE
2006-04-26,4.5,4.5,4.5,4.5,100,450.0,EQNE
2006-04-27,2.56,2.56,2.56,2.56,1500,3840.0,EQNE
2006-05-02,4.5,4.5,4.5,4.5,100,450.0,EQNE
2006-05-18,2.193,2.193,2.193,2.193,200,438.6,EQNE
2006-05-22,2.193,2.193,2.193,2.193,30000,65790.0,EQNE
2006-05-23,2.193,2.193,2.193,2.193,7400,16228.2,EQNE
