date,open,high,low,close,volume,value,board
2011-12-14,937,937,625,825.0,130,98533,EQNE
2011-12-15,650,999,537.2,599.2,240,153743,EQNE
2011-12-16,598,624.1,530,624.1,880,527859,EQNE
2011-12-19,623.8,649.9,599.9,649.9,230,145396,EQNE
2011-12-20,644.9,648.9,600,639.8,420,267738,EQNE
2011-12-21,636.8,636.8,634.5,634.6,260,165027,EQNE
2011-12-22,628.9,628.9,627.5,627.5,230,144418,EQNE
2011-12-23,649.7,649.8,605,605.0,100,64527,EQNE
2011-12-26,606,606,560,605.4,70,41019,EQNE
2011-12-27,599,610,550.5,599.8,460,265670,EQNE
2011-12-28,599.8,599.8,526,598.0,640,367658,EQNE
2011-12-29,599.8,599.8,530,599.8,240,129293,EQNE
2011-12-30,599.8,613,521,599.8,950,541148,EQNE
2012-01-03,599.8,599.8,599.3,599.3,60,35973,EQNE
2012-01-04,599.8,599.8,597,598.0,40,23946,EQNE
2012-01-05,599,599,599,599.0,30,17970,EQNE
2012-01-06,599.8,599.8,599.5,599.8,170,101936,EQNE
2012-01-09,599.9,599.9,598.9,598.9,310,185679,EQNE
2012-01-10,598.7,598.7,598.7,598.7,10,5987,EQNE
2012-01-11,598.8,598.8,598.8,598.8,30,17964,EQNE
2012-01-12,599.8,599.8,599.8,599.8,30,17994,EQNE
2012-01-13,599.8,599.8,599.8,599.8,20,11996,EQNE
2012-01-16,599.8,599.8,598.6,598.6,30,17982,EQNE
2012-01-17,598.8,598.8,550.3,579.9,100,57671,EQNE
2012-01-18,598.8,598.8,598.8,598.8,20,11976,EQNE
2012-01-19,598.8,598.8,598.8,598.8,20,11976,EQNE
2012-01-20,599.9,599.9,541,584.8,250,137893,EQNE
2012-01-23,599.8,599.8,599.8,599.8,20,11996,EQNE
2012-01-24,598.8,598.8,550,588.8,60,35240,EQNE
2012-01-25,594.8,594.8,594.8,594.8,10,5948,EQNE
2012-01-26,598.8,598.8,598.8,598.8,40,23952,EQNE
2012-01-27,599.8,599.8,599.8,599.8,20,11996,EQNE
2012-01-30,599.8,599.8,599.5,599.5,250,149890,EQNE
2012-01-31,550,597.8,550,597.8,170,94456,EQNE
2012-02-01,597.8,597.8,597.8,597.8,30,17934,EQNE
2012-02-02,599.5,599.5,599.5,599.5,50,29975,EQNE
2012-02-03,597.3,597.3,560.5,589.8,90,52060,EQNE
2012-02-06,599,599,566,580.0,70,41030,EQNE
2012-02-07,599.8,599.8,599.8,599.8,30,17994,EQNE
2012-02-08,579.8,579.8,549,549.0,80,45392,EQNE
2012-02-09,589.7,589.7,550,574.1,110,62478,EQNE
2012-02-10,571.5,571.5,571.5,571.5,10,5715,EQNE
2012-02-13,559.8,559.8,529.1,559.6,60,32979,EQNE
2012-02-14,588,588,499.7,514.9,750,380601,EQNE
2012-02-15,524.5,524.5,500,500.0,140,70490,EQNE
2012-02-17,480,480,480,480.0,50,24000,EQNE
2012-02-20,499.8,499.9,499.8,499.9,80,39990,EQNE
2012-02-21,499.5,499.5,450,478.8,160,75666,EQNE
2012-02-22,479.8,479.8,479.8,479.8,30,14394,EQNE
2012-02-24,479.8,479.8,451,477.6,60,28469,EQNE
2012-02-27,479.8,479.8,479.2,479.2,20,9590,EQNE
2012-02-28,479.9,499.9,479.9,499.9,150,73187,EQNE
2012-02-29,499.9,499.9,499.9,499.9,20,9998,EQNE
2012-03-01,499.9,549,499.8,549.0,150,75531,EQNE
2012-03-02,499.9,500,481.1,481.1,50,24809,EQNE
2012-03-05,499.7,499.8,480,498.8,130,63770,EQNE
2012-03-06,499.8,499.8,470,499.7,130,62426,EQNE
2012-03-07,499.8,499.8,499.8,499.8,10,4998,EQNE
2012-03-11,499.8,499.8,447.7,479.1,40,19264,EQNE
2012-03-12,499.8,499.9,474.9,499.9,70,33746,EQNE
2012-03-13,499.9,499.9,499.9,499.9,10,4999,EQNE
2012-03-14,499.9,499.9,499.9,499.9,20,9998,EQNE
2012-03-15,489.8,489.8,489.8,489.8,20,9796,EQNE
2012-03-16,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-03-19,489.9,499.9,480,499.9,120,59193,EQNE
2012-03-20,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-03-21,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-03-22,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-03-23,489.9,489.9,489.9,489.9,10,4899,EQNE
2012-03-26,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-03-27,489.8,489.8,489.8,489.8,20,9796,EQNE
2012-03-28,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-03-30,479.9,479.9,479.9,479.9,40,19196,EQNE
2012-04-02,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-04-03,489.8,489.8,479,479.0,110,52798,EQNE
2012-04-04,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-04-05,489.8,489.8,489.8,489.8,20,9796,EQNE
2012-04-06,489.8,489.8,489.8,489.8,40,19592,EQNE
2012-04-09,488.8,489.8,488.8,489.8,20,9786,EQNE
2012-04-10,489.9,489.9,489.9,489.9,10,4899,EQNE
2012-04-11,489.9,489.9,489.9,489.9,30,14697,EQNE
2012-04-12,489.9,489.9,489.9,489.9,20,9798,EQNE
2012-04-13,489.7,489.7,463,463.0,80,37492,EQNE
2012-04-16,489.5,489.5,489.5,489.5,10,4895,EQNE
2012-04-17,489.6,489.7,454.1,454.1,30,14334,EQNE
2012-04-18,489.7,489.7,489.7,489.7,30,14691,EQNE
2012-04-19,489.7,489.7,489.7,489.7,20,9794,EQNE
2012-04-20,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-04-24,489.7,489.7,489.7,489.7,10,4897,EQNE
2012-04-25,489.7,489.7,489.7,489.7,10,4897,EQNE
2012-04-26,489.4,489.4,489.4,489.4,10,4894,EQNE
2012-04-27,479.8,479.8,479.8,479.8,10,4798,EQNE
2012-04-28,489.8,489.8,489.8,489.8,10,4898,EQNE
2012-05-02,484.7,484.7,410,484.5,50,21993,EQNE
2012-05-03,484.2,484.2,484.2,484.2,10,4842,EQNE
2012-05-04,483.3,484.5,483.3,484.5,30,14523,EQNE
2012-05-05,484.7,484.7,484.7,484.7,10,4847,EQNE
2012-05-08,484.7,484.7,484.7,484.7,10,4847,EQNE
2012-05-10,484.5,484.5,410,479.5,50,21940,EQNE
2012-05-11,480,480.5,480,480.5,20,9605,EQNE
2012-05-12,478.5,478.5,478.5,478.5,10,4785,EQNE
2012-05-14,480.5,480.5,480.5,480.5,10,4805,EQNE
2012-05-15,479.7,479.7,479.7,479.7,10,4797,EQNE
2012-05-16,484,484.7,484,484.7,20,9687,EQNE
2012-05-17,400,474.5,400,474.5,60,24745,EQNE
2012-05-21,464,479,464,479.0,30,14071,EQNE
2012-05-22,464,464,464,464.0,10,4640,EQNE
2012-06-15,440,440,440,440.0,50,22000,EQNE
2012-06-29,264.1,264.1,264.1,264.1,9,2376.9,SMAL
2012-07-02,439.9,440,439.9,440.0,50,21999,EQNE
2012-07-06,316,464,316,464.0,210,95588,EQNE
2012-07-09,464.5,464.5,325,325.0,330,151890,EQNE
