date,open,high,low,close,volume,value,board
2007-09-19,1.514,1.555,1.312,1.52,46400,71292.5,EQNE
2007-09-20,1.47,1.552,1.206,1.464,29200,40474.1,EQNE
2007-09-21,1.43,1.43,1.222,1.27,83900,105752.2,EQNE
2007-09-24,1.22,1.25,1.16,1.16,420600,498585.5,EQNE
2007-09-25,1.181,1.25,1.18,1.207,146500,176764.2,EQNE
2007-09-26,1.207,1.338,1.192,1.211,654500,822815.9,EQNE
2007-09-27,1.256,1.285,1.252,1.253,9100,11411.8,EQNE
2007-09-28,1.263,1.287,1.263,1.287,16800,21512.4,EQNE
2007-10-01,1.27,1.35,1.25,1.3,59500,76294.8,EQNE
2007-10-02,1.255,1.38,1.25,1.379,238600,313807.3,EQNE
2007-10-03,1.389,1.39,1.28,1.295,218300,290527.9,EQNE
2007-10-04,1.365,1.455,1.355,1.355,161900,227207.8,EQNE
2007-10-05,1.388,1.429,1.355,1.4,283000,394556.5,EQNE
2007-10-08,1.4,1.4,1.4,1.4,300,420,EQNE
2007-10-09,1.305,1.32,1.302,1.302,50100,66026.7,EQNE
2007-10-10,1.291,1.291,1.285,1.285,52500,67477.5,EQNE
2007-10-11,1.282,1.282,1.281,1.282,3900,4999.5,EQNE
2007-10-15,1.3,1.35,1.25,1.3,509800,665740.3,EQNE
2007-10-16,1.369,1.38,1.369,1.38,1890600,2589118.2,EQNE
2007-10-17,1.4,1.478,1.271,1.271,216000,301371.2,EQNE
2007-10-18,1.35,1.4,1.35,1.37,131800,178880.1,EQNE
2007-10-19,1.4,1.497,1.4,1.46,102000,148477.7,EQNE
2007-10-22,1.37,1.47,1.37,1.47,127400,178548,EQNE
2007-10-23,1.5,1.53,1.44,1.44,11400,17061,EQNE
2007-10-24,1.44,1.45,1.41,1.45,226500,324914.7,EQNE
