date,open,high,low,close,volume,value,board
2007-09-21,1,1,1,1.0,100,100,EQNE
2007-09-24,0.986,0.986,0.84,0.84,11500,9816,EQNE
2007-09-25,0.986,1,0.9,1.0,24200,24056,EQNE
2007-09-26,1,1,0.991,0.991,12700,12589.3,EQNE
2007-09-27,1.249,1.249,1.249,1.249,100,124.9,EQNE
2007-09-28,1.02,1.25,1.02,1.25,35100,36275,EQNE
2007-10-01,1.04,1.04,1.031,1.04,43400,45109,EQNE
2007-10-02,1.033,1.07,1.033,1.07,1300,1346.6,EQNE
2007-10-03,1.091,1.1,1.091,1.1,2700,2963.7,EQNE
2007-10-04,0.99,1.1,0.99,1.1,9000,9787.5,EQNE
2007-10-05,1.11,1.181,1.11,1.15,15300,17198.2,EQNE
2007-10-08,1.13,1.13,1.13,1.13,4900,5537,EQNE
2007-10-09,1.15,1.15,1.12,1.12,24400,27718,EQNE
2007-10-10,1.13,1.13,1.13,1.13,100,113,EQNE
2007-10-11,1.13,1.13,1.13,1.13,4000,4520,EQNE
2007-10-12,1.131,1.131,1.131,1.131,1600,1809.6,EQNE
2007-10-16,1.13,1.13,1.13,1.13,26400,29832,EQNE
2007-10-17,1.13,1.13,1.13,1.13,1000,1130,EQNE
2007-10-18,1.131,1.131,1.13,1.13,10100,11414.5,EQNE
2007-10-19,1.176,1.177,1.176,1.177,200,235.3,EQNE
2007-10-22,1.15,1.15,1.15,1.15,1300,1495,EQNE
