date,open,high,low,close,volume,value,board
2006-05-31,55.0,55.0,55.0,55.0,20000,1100000.0,EQNE
2007-02-01,220.0,220.0,220.0,220.0,100,22000.0,EQNE
2007-02-02,220.0,220.0,220.0,220.0,2000,440000.0,EQNE
2007-02-21,310.0,310.0,310.0,310.0,400,124000.0,EQNE
2007-02-22,235.0,235.0,235.0,235.0,2000,470000.0,EQNE
2007-02-26,400.0,400.0,400.0,400.0,200,80000.0,EQNE
2007-02-28,376.0,376.0,376.0,376.0,100,37600.0,EQNE
2007-03-01,370.0,395.0,370.0,389.99,1600,623989.0,EQNE
2007-03-15,367.01,375.0,367.0,375.0,10600,3947910.0,EQNE
2007-03-19,365.01,365.01,365.0,365.0,2000,730010.0,EQNE
2007-03-20,375.0,375.0,375.0,375.0,100,37500.0,EQNE
2007-03-21,360.0,360.0,360.0,360.0,1000,360000.0,EQNE
2007-03-22,380.0,380.0,369.99,375.0,2600,965490.0,EQNE
2007-03-29,373.0,373.0,373.0,373.0,100,37300.0,EQNE
2007-03-30,372.99,372.99,368.0,368.0,2000,740501.0,EQNE
2007-04-02,365.01,365.01,365.01,365.01,1000,365010.0,EQNE
2007-04-03,367.0,370.0,365.0,370.0,11000,4020710.0,EQNE
2007-04-04,365.0,369.99,364.0,367.12,52000,18994610.0,EQNE
2007-04-05,360.0,365.0,360.0,364.99,32600,11897270.0,EQNE
2007-04-10,360.03,369.0,360.0,369.0,4500,1620930.0,EQNE
2007-04-13,367.5,367.5,367.5,367.5,200,73500.0,EQNE
2007-04-16,362.35,362.35,362.35,362.35,200,72470.0,EQNE
2007-04-17,362.35,372.0,362.35,372.0,14300,5284655.0,EQNE
2007-04-19,375.0,375.0,375.0,375.0,2000,750000.0,EQNE
2007-04-23,378.0,378.0,378.0,378.0,6900,2608200.0,EQNE
2007-04-25,378.0,378.0,378.0,378.0,4600,1738800.0,EQNE
2007-04-27,374.0,375.0,374.0,374.0,300,112300.0,EQNE
2007-04-28,371.15,373.0,371.15,373.0,4400,1639350.0,EQNE
2007-05-03,373.0,373.0,366.63,373.0,1400,521562.0,EQNE
2007-05-04,374.99,374.99,374.99,374.99,200,74998.0,EQNE
2007-05-07,370.0,370.0,367.0,367.0,2300,845410.0,EQNE
2007-05-10,369.0,369.0,367.0,369.0,1100,404900.0,EQNE
2007-05-11,367.01,367.01,366.0,366.0,2900,1062910.0,EQNE
2007-05-15,365.0,365.0,365.0,365.0,100,36500.0,EQNE
2007-05-18,365.0,367.99,365.0,367.99,3100,1131799.0,EQNE
2007-05-22,368.8,368.8,367.0,367.0,1400,515600.0,EQNE
2007-05-23,369.0,369.0,369.0,369.0,500,184500.0,EQNE
2007-05-24,368.0,368.0,362.0,365.0,2300,838700.0,EQNE
2007-05-25,365.0,365.0,365.0,365.0,1000,365000.0,EQNE
2007-05-28,369.0,369.0,369.0,369.0,200,73800.0,EQNE
2007-05-29,365.0,365.0,365.0,365.0,1200,438000.0,EQNE
2007-05-30,345.0,355.0,345.0,355.0,1500,518500.0,EQNE
2007-06-04,360.0,360.0,360.0,360.0,200,72000.0,EQNE
2007-06-05,359.25,360.0,359.25,360.0,200,71925.0,EQNE
2007-06-07,354.0,363.0,345.0,345.0,1200,419600.0,EQNE
2007-06-08,355.0,355.0,355.0,355.0,100,35500.0,EQNE
2007-06-09,354.0,354.0,348.0,348.0,1900,664600.0,EQNE
2007-06-14,355.0,355.0,350.0,350.0,800,281500.0,EQNE
2007-06-18,350.0,352.0,346.0,350.0,1100,383000.0,EQNE
2007-06-19,340.0,340.0,340.0,340.0,42,14280.0,SMAL
2007-06-25,353.0,353.0,350.0,350.0,200,70300.0,EQNE
2007-06-26,350.0,353.0,350.0,350.0,300,105300.0,EQNE
2007-06-28,350.0,350.0,344.0,349.0,1400,485400.0,EQNE
2007-06-29,310.0,350.0,310.0,345.0,2500,822304.0,EQNE
2007-07-03,344.6,344.6,344.6,344.6,100,34460.0,EQNE
2007-07-04,344.6,345.0,344.6,345.0,200,68960.0,EQNE
2007-07-05,339.9,339.9,339.9,339.9,100,33990.0,EQNE
2007-07-06,336.0,339.0,336.0,337.0,800,269200.0,EQNE
2007-07-09,333.5,333.5,333.5,333.5,100,33350.0,EQNE
2007-07-10,340.0,340.0,337.0,337.0,200,67700.0,EQNE
2007-07-13,335.0,337.0,330.0,330.1,1100,366110.0,EQNE
2007-07-16,330.5,335.0,327.0,335.0,300,99250.0,EQNE
2007-07-17,330.0,333.0,322.0,330.0,1100,359900.0,EQNE
2007-07-19,320.0,320.0,315.0,315.0,300,95000.0,EQNE
2007-07-20,330.0,330.0,320.0,320.0,400,129500.0,EQNE
2007-07-23,319.79,319.79,315.0,315.0,200,63479.0,EQNE
2007-07-24,315.0,315.0,315.0,315.0,500,157500.0,EQNE
2007-07-25,325.0,330.0,325.0,325.0,600,195700.0,EQNE
2007-07-26,320.0,320.0,310.0,313.0,3600,1124410.0,EQNE
2007-07-27,305.61,315.0,305.6,305.6,8300,2538310.0,EQNE
2007-07-30,300.0,300.0,300.0,300.0,3200,960000.0,EQNE
2007-07-31,303.0,330.0,300.0,330.0,13000,3956209.0,EQNE
2007-08-06,308.01,310.0,308.01,310.0,1100,339010.0,EQNE
2007-08-07,310.0,310.0,310.0,310.0,200,62000.0,EQNE
2007-08-08,310.0,310.0,310.0,310.0,100,31000.0,EQNE
2007-08-09,330.0,330.0,308.01,309.0,1900,588015.0,EQNE
2007-08-10,300.0,309.0,300.0,309.0,400,120900.0,EQNE
2007-08-13,309.0,317.0,309.0,315.0,400,125600.0,EQNE
2007-08-15,311.0,313.89,308.0,312.0,800,248978.0,EQNE
2007-08-16,300.0,310.0,300.0,310.0,600,182000.0,EQNE
2007-08-17,310.0,317.0,307.0,310.0,700,217600.0,EQNE
2007-08-20,307.0,329.99,307.0,329.0,4100,1299988.0,EQNE
2007-08-21,325.0,328.0,315.0,327.0,2700,877599.0,EQNE
2007-08-22,310.0,335.0,310.0,328.0,600,196500.0,EQNE
2007-08-23,325.0,328.0,325.0,326.0,400,130400.0,EQNE
2007-08-27,322.0,329.0,322.0,326.0,400,130500.0,EQNE
2007-08-28,324.0,329.0,322.0,329.0,900,293100.0,EQNE
2007-08-29,325.0,325.0,325.0,325.0,100,32500.0,EQNE
2007-08-30,325.0,325.0,323.0,323.0,200,64800.0,EQNE
2007-08-31,319.0,322.0,319.0,320.0,700,224500.0,EQNE
2007-09-03,317.0,325.0,317.0,317.0,900,287500.0,EQNE
2007-09-04,321.0,321.0,300.0,318.0,5700,1789690.0,EQNE
2007-09-05,315.0,315.0,310.0,310.0,300,93700.0,EQNE
2007-09-06,314.0,316.0,314.0,316.0,1500,473450.0,EQNE
2007-09-07,320.0,320.0,312.0,312.0,500,158000.0,EQNE
2007-09-10,318.0,318.0,313.0,314.0,800,252200.0,EQNE
2007-09-11,315.0,318.5,302.15,315.0,2300,713575.0,EQNE
2007-09-12,319.0,319.0,310.0,312.0,1900,596004.0,EQNE
2007-09-13,317.5,317.5,315.0,315.0,300,94750.0,EQNE
2007-09-14,313.0,313.0,310.0,313.0,500,155900.0,EQNE
2007-09-17,312.0,313.0,310.0,313.0,300,93500.0,EQNE
2007-09-20,312.0,312.0,310.0,310.0,200,62200.0,EQNE
2007-09-21,308.0,315.0,307.0,315.0,300,93000.0,EQNE
2007-09-25,305.0,305.0,305.0,305.0,200,61000.0,EQNE
2007-09-27,318.5,320.0,318.5,320.0,900,287308.0,EQNE
2007-09-28,310.0,310.0,308.0,308.0,300,92700.0,EQNE
2007-10-01,306.0,306.0,306.0,306.0,700,214200.0,EQNE
2007-10-02,306.33,306.33,306.33,306.33,100,30633.0,EQNE
2007-10-03,308.0,308.5,308.0,308.5,900,277250.0,EQNE
2007-10-04,307.0,307.0,300.0,306.0,1500,455200.0,EQNE
2007-10-05,320.0,320.0,320.0,320.0,3600,1152000.0,EQNE
2007-10-12,320.0,320.0,320.0,320.0,100,32000.0,EQNE
2007-10-15,320.0,320.0,319.99,320.0,700,223999.0,EQNE
2007-10-16,320.0,320.0,320.0,320.0,100,32000.0,EQNE
2007-10-19,321.0,321.0,315.0,320.0,1000,318600.0,EQNE
2007-10-23,321.0,365.0,315.0,363.0,25700,9014310.0,EQNE
2007-10-24,364.0,364.01,364.0,364.0,4800,1747215.0,EQNE
2007-10-25,363.5,375.0,363.5,375.0,4800,1775400.0,EQNE
2007-10-26,375.0,377.0,370.0,371.0,15400,5782610.0,EQNE
2007-10-29,370.0,372.0,369.01,372.0,2200,817900.0,EQNE
2007-10-30,370.0,370.0,369.0,370.0,2400,886402.0,EQNE
