date,open,high,low,close,volume,value,board
2006-12-22,14.97,14.97,14.97,14.97,100,1497,EQNE
2007-03-27,38.01,43,38,38.5,4400,170953,EQNE
2007-03-28,38.51,38.51,38.51,38.51,200,7702,EQNE
2007-03-29,38.6,43,38.1,43.0,10800,453414.3,EQNE
2007-03-30,45,46.25,42.6,46.2,18700,825483.9,EQNE
2007-04-02,41.031,46,41.031,46.0,1200,54703.1,EQNE
2007-04-03,44,46,43,46.0,47700,2094192,EQNE
2007-04-05,44.5,44.5,44,44.0,105600,4646452.1,EQNE
2007-04-06,44.6,44.6,44.6,44.6,200,8920,EQNE
2007-04-09,45,46,44.63,46.0,800,35952,EQNE
2007-04-10,44.011,44.011,44,44.0,6100,268406.2,EQNE
2007-04-11,42.001,46,42,46.0,29600,1262821.7,EQNE
2007-04-12,42,42,42,42.0,200,8400,EQNE
2007-04-16,41.502,42.1,41,42.1,1400,57660.4,EQNE
2007-04-17,41.002,41.002,41.002,41.002,100,4100.2,EQNE
2007-04-18,41,41,41,41.0,100,4100,EQNE
2007-04-23,40,40,40,40.0,600,24000,EQNE
2007-04-25,39.21,39.21,39.2,39.2,1900,74491,EQNE
2007-05-02,39.3,39.3,39.3,39.3,100,3930,EQNE
2007-05-07,38,38.595,38,38.096,1600,61314.4,EQNE
2007-05-08,38,38,38,38.0,800,30400,EQNE
2007-05-10,38,38,38,38.0,1800,68400,EQNE
2007-05-11,36.51,37.99,36.51,37.99,300,11101,EQNE
2007-05-14,37.95,37.99,36.5,37.5,25100,941763,EQNE
2007-05-16,35.99,37.9,35.99,37.9,1200,43379,EQNE
2007-05-17,37,37,37,37.0,100,3700,EQNE
2007-05-21,37,37,36.7,36.7,300,11040,EQNE
2007-05-23,31.85,31.85,31.74,31.74,2000,63503,EQNE
2007-05-25,32,32,32,32.0,100,3200,EQNE
2007-05-31,32.89,32.89,32,32.0,400,12978,EQNE
2007-06-08,31.73,31.73,31.73,31.73,100,3173,EQNE
2007-06-18,31.75,31.75,31.75,31.75,1000,31750,EQNE
2007-06-20,31.75,31.75,31.727,31.727,7300,231611.7,EQNE
2007-06-21,31.727,31.727,31.727,31.727,100,3172.7,EQNE
2007-07-19,31.727,31.727,31.727,31.727,300,9518.1,EQNE
2007-08-17,27.5,27.5,27.5,27.5,600,16500,EQNE
2007-08-27,24.262,24.262,24.262,24.262,300,7278.6,EQNE
2007-09-03,24.5,24.5,24.5,24.5,500,12250,EQNE
2007-09-28,26,26.56,25.5,26.55,3600,94049,EQNE
2007-10-01,28.65,28.65,27,28.0,1300,36225,EQNE
2007-10-02,29,29,29,29.0,500,14500,EQNE
2007-10-04,28.999,31,28.999,31.0,3000,87399,EQNE
2007-10-11,28,28,25.91,26.0,1000,26586.9,EQNE
2007-10-15,22.223,25.998,22.222,25.0,3100,77541.9,EQNE
2007-10-16,27.499,27.499,22.251,24.476,1400,32200.1,EQNE
2007-10-17,27,27,27,27.0,100,2700,EQNE
2007-10-22,24.299,24.299,22.25,23.17,500,11696.3,EQNE
2007-10-23,23,23,19.303,19.303,1600,32442.2,EQNE
2007-10-24,21.887,21.887,21.2,21.69,2200,47768.8,EQNE
2007-10-25,21.865,25.5,21.865,24.296,10100,240916.2,EQNE
2007-10-26,24.5,26,20.981,24.997,23300,567281.5,EQNE
2007-10-29,25.8,27.5,25.3,27.5,16200,420366,EQNE
2007-10-30,22.11,30,22.11,28.99,13400,377948.7,EQNE
2007-10-31,28.99,29,25.512,26.999,8400,239440.9,EQNE
2007-11-01,28,29,24.64,26.7,12100,323568.4,EQNE
2007-11-02,27.9,28.99,23.76,26.985,1600,41623.4,EQNE
2007-11-06,26.9,26.983,23,25.677,4400,112451.1,EQNE
2007-11-07,25.75,29,22.85,27.775,23200,616649.5,EQNE
2007-11-08,27.5,29,27,28.85,36200,1031146.5,EQNE
2007-11-09,28.8,28.99,27.5,28.8,8600,247056,EQNE
2007-11-12,28.79,28.8,27,27.999,4200,117969.9,EQNE
2007-11-13,28.6,28.7,27,28.5,3600,102615,EQNE
2007-11-14,28.4,28.6,28.4,28.6,5500,156310,EQNE
2007-11-15,28.3,28.5,28.3,28.5,4000,113614,EQNE
2007-11-16,28.5,31.66,27.5,28.89,37200,1069599.5,EQNE
2007-11-19,28.98,28.99,27.3,28.5,11600,333447,EQNE
