date,open,high,low,close,volume,value,board
2008-12-02,0.04,0.0529,0.04,0.05,2463000,119385.3,EQNE
2008-12-03,0.037,0.06,0.037,0.0489,3576000,170869.4,EQNE
2008-12-04,0.053,0.0649,0.047,0.0502,3482000,197016.7,EQNE
2008-12-05,0.06,0.0703,0.0511,0.068,14385000,935341.2,EQNE
2008-12-08,0.073,0.09,0.0693,0.071,4421000,327633.1,EQNE
2008-12-09,0.07,0.07,0.0525,0.0602,1773000,107937.8,EQNE
2008-12-10,0.06,0.083,0.056,0.0629,3018000,187239.4,EQNE
2008-12-11,0.0556,0.0647,0.055,0.0629,2238000,131960.8,EQNE
2008-12-12,0.0655,0.0655,0.051,0.0609,818000,47177.7,EQNE
2008-12-15,0.07,0.07,0.0572,0.0593,400000,23199.5,EQNE
2008-12-16,0.053,0.0628,0.053,0.0627,1541000,91524.2,EQNE
2008-12-17,0.0664,0.0664,0.057,0.0594,313000,18229.2,EQNE
2008-12-18,0.065,0.065,0.0545,0.0559,9550000,530144.1,EQNE
2008-12-19,0.0568,0.0575,0.054,0.0572,939000,52725.8,EQNE
2008-12-22,0.0562,0.0568,0.0532,0.0552,3889000,217878.7,EQNE
2008-12-23,0.058,0.058,0.0546,0.057,1033000,58219.9,EQNE
2008-12-24,0.055,0.057,0.055,0.056,115000,6386,EQNE
2008-12-25,0.053,0.0561,0.0527,0.055,568000,30540.5,EQNE
2008-12-26,0.055,0.0589,0.052,0.0564,6727000,374673.3,EQNE
2008-12-29,0.0577,0.0577,0.05,0.0556,1494000,83325.5,EQNE
2008-12-30,0.0569,0.0569,0.052,0.0525,1510000,81766.1,EQNE
2008-12-31,0.0579,0.058,0.0525,0.0564,532000,30033.7,EQNE
2009-01-11,0.0521,0.058,0.049,0.0559,134000,7050,EQNE
2009-01-12,0.0575,0.07,0.0527,0.0589,2633000,149624,EQNE
2009-01-13,0.0529,0.0574,0.0525,0.0535,169000,8958.6,EQNE
2009-01-14,0.056,0.0625,0.056,0.06,984000,56855,EQNE
2009-01-15,0.0555,0.06,0.0555,0.0577,4430000,256841.6,EQNE
2009-01-16,0.062,0.062,0.0565,0.06,3274000,196157.2,EQNE
2009-01-19,0.06,0.06,0.057,0.057,720000,41077.9,EQNE
2009-01-20,0.0565,0.0565,0.0451,0.0506,407000,19789.7,EQNE
2009-01-21,0.0462,0.0569,0.046,0.05,494000,23775.1,EQNE
2009-01-22,0.056,0.06,0.05,0.056,579000,30590.5,EQNE
2009-01-23,0.045,0.0569,0.045,0.0564,2102000,107678.2,EQNE
2009-01-26,0.0471,0.0559,0.047,0.052,1335000,66621.5,EQNE
2009-01-27,0.055,0.059,0.051,0.052,2447000,127524.6,EQNE
2009-01-28,0.0567,0.0567,0.0491,0.0495,13860000,736877.3,EQNE
2009-01-29,0.0501,0.053,0.049,0.05,3465000,179370.5,EQNE
2009-01-30,0.0478,0.0529,0.0477,0.0529,6436000,319473.7,EQNE
2009-02-02,0.05,0.0549,0.0475,0.049,861000,42081.1,EQNE
2009-02-03,0.049,0.0511,0.046,0.0511,3104000,155186.7,EQNE
2009-02-04,0.0477,0.0535,0.0471,0.0535,208000,10391.1,EQNE
2009-02-05,0.0483,0.0485,0.0435,0.0435,5147000,242457.3,EQNE
2009-02-06,0.0448,0.0505,0.0448,0.0489,8896000,443140.2,EQNE
2009-02-09,0.052,0.054,0.05,0.0539,2978000,157283.8,EQNE
2009-02-10,0.0545,0.059,0.0526,0.0541,4458000,245890.8,EQNE
2009-02-11,0.0521,0.0757,0.052,0.0719,28333000,1938841.2,EQNE
2009-02-12,0.071,0.097,0.0583,0.0753,3005000,242565,EQNE
2009-02-13,0.0899,0.0969,0.0723,0.085,606000,53061.2,EQNE
2009-02-16,0.085,0.1,0.078,0.0863,30396000,2441127.6,EQNE
2009-02-17,0.087,0.0998,0.082,0.09,1773000,154383.5,EQNE
2009-02-18,0.0946,0.0946,0.0734,0.0896,589000,51147.3,EQNE
2009-02-19,0.0946,0.0946,0.0815,0.0899,168000,14606.3,EQNE
2009-02-20,0.0845,0.0883,0.0795,0.0883,165000,13598.1,EQNE
2009-02-24,0.0897,0.0899,0.076,0.0888,478000,39994.9,EQNE
2009-02-25,0.0869,0.113,0.0831,0.0834,322000,28080.5,EQNE
2009-02-26,0.095,0.0988,0.082,0.0908,1564000,140037.9,EQNE
2009-02-27,0.087,0.091,0.0856,0.09,360000,31763.8,EQNE
2009-03-02,0.09,0.094,0.0839,0.0839,59000,5120.5,EQNE
2009-03-03,0.092,0.092,0.0834,0.084,239000,20120.1,EQNE
2009-03-04,0.0919,0.0919,0.0752,0.0752,1968000,163561.6,EQNE
2009-03-05,0.084,0.084,0.055,0.0694,1460000,98220.9,EQNE
2009-03-06,0.076,0.076,0.0634,0.0728,1717000,117475.2,EQNE
2009-03-10,0.0713,0.0713,0.0647,0.0688,2486000,173453.5,EQNE
2009-03-11,0.0681,0.079,0.064,0.0653,2277000,159737.1,EQNE
2009-03-12,0.065,0.0695,0.0645,0.0661,78000,5052.6,EQNE
2009-03-13,0.0645,0.07,0.0641,0.0658,4776000,330291.9,EQNE
2009-03-16,0.0631,0.0666,0.0631,0.0649,210000,13624.2,EQNE
