date,open,high,low,close,volume,value,board
2008-10-16,25500,25500,25500,25500.0,1,25500,EQNE
2009-03-06,15300,15300,15300,15300.0,1,15300,EQNE
2009-03-23,15300,15300,15300,15300.0,2,30600,EQNE
2009-03-30,11000,11000,9500,9500.0,6,59000,EQNE
2009-03-31,9000,9500,9000,9000.0,5,45500,EQNE
2009-04-01,9000,9500,9000,9500.0,2,18500,EQNE
2009-04-02,9000,9000,9000,9000.0,1,9000,EQNE
2009-04-06,9500,9500,9500,9500.0,1,9500,EQNE
2009-04-08,9750,9750,9750,9750.0,1,9750,EQNE
2009-04-09,9750,9750,9750,9750.0,1,9750,EQNE
2009-04-13,10000,11000,10000,10000.0,9,92000,EQNE
2009-04-14,10000,11000,10000,10000.0,6,62000,EQNE
2009-04-15,10000,10000,9998,9998.0,2,19998,EQNE
2009-04-16,10000,10000,10000,10000.0,2,20000,EQNE
2009-04-22,10000,10000,10000,10000.0,1,10000,EQNE
2009-04-23,10000,10500,10000,10500.0,8,83000,EQNE
2009-04-24,9550,9550,9500,9500.0,10,95050,EQNE
2009-04-28,9500,10000,9500,10000.0,12,115000,EQNE
2009-04-29,10000,10150,10000,10000.0,6,60150,EQNE
2009-04-30,10500,11000,10500,11000.0,7,74500,EQNE
2009-05-04,11000,12000,11000,12000.0,2,23000,EQNE
2009-05-05,12000,12000,12000,12000.0,1,12000,EQNE
2009-05-06,12000,14000,12000,12500.0,31,413500,EQNE
2009-05-07,12500,13000,12500,13000.0,9,114750,EQNE
2009-05-08,13000,13250,13000,13250.0,8,105250,EQNE
2009-05-12,13000,13250,13000,13250.0,3,39250,EQNE
2009-05-13,13250,13500,12700,12700.0,12,155600,EQNE
2009-05-14,13490,13490,13490,13490.0,1,13490,EQNE
2009-05-15,13150,13150,13150,13150.0,1,13150,EQNE
2009-05-18,13150,13150,12320,13000.0,5,63950,EQNE
2009-05-19,13000,13000,13000,13000.0,1,13000,EQNE
2009-05-20,13049,13050,13049,13050.0,2,26099,EQNE
2009-05-21,13000,13000,13000,13000.0,1,13000,EQNE
2009-05-22,13050,13100,13050,13100.0,2,26150,EQNE
2009-05-25,13150,13150,13150,13150.0,3,39450,EQNE
2009-05-26,13250,13500,12010,13000.0,16,204460,EQNE
2009-05-27,13000,13000,12200,12200.0,42,536600,EQNE
2009-05-28,12200,12500,12000,12500.0,78,952700,EQNE
2009-05-29,12750,13500,12750,13500.0,61,804800,EQNE
2009-06-01,13500,15500,13500,15500.0,68,960199,EQNE
2009-06-02,15900,15900,14000,15020.0,7,105320.01,EQNE
2009-06-03,16599,16600,16000,16600.0,4,65199,EQNE
2009-06-04,14500.01,15500,14250,15500.0,53,801250.01,EQNE
2009-06-05,15220,15220,15220,15220.0,11,167420,EQNE
2009-06-08,15200,16300,15200,16300.0,49,778399.99,EQNE
2009-06-09,16300,16500,16000,16500.0,22,356700,EQNE
2009-06-10,16555,16800,16300,16800.0,48,787975,EQNE
2009-06-11,16800,16800,16800,16800.0,18,302400,EQNE
2009-06-15,16000,16000,16000,16000.0,1,16000,EQNE
2009-06-16,16000,16000,16000,16000.0,18,288000,EQNE
2009-06-17,16100,16100,14620,14650.0,61,917900,EQNE
2009-06-18,15000,15750,15000,15100.0,56,847650,EQNE
2009-06-19,16000,16100,15000,15500.0,52,801100,EQNE
2009-06-22,15000,15600,15000,15000.0,266,4098875,EQNE
2009-06-23,15000,15500,15000,15500.0,63,961000,EQNE
2009-06-24,15500,15500,15000,15000.0,11,166250,EQNE
2009-06-25,15216.82,15500.75,15216.82,15500.75,12,185559.07,EQNE
2009-06-26,15510.03,16500,15510.03,16500.0,62,992990.03,EQNE
2009-06-30,16200,17849.99,16200,17849.99,51,855349.99,EQNE
2009-07-02,16500,16500,16000,16000.0,61,981500,EQNE
2009-07-03,16000,16300,16000,16300.0,7,113500,EQNE
2009-07-10,15800,15800,15700,15700.0,46,724800,EQNE
2009-07-15,15700,16000,15700,16000.0,41,644000,EQNE
2009-07-16,15500,16000,15500,16000.0,60,935000,EQNE
2009-07-31,19400,20770,16100,17100.0,28,529408,EQNE
2009-08-03,18500,18500,18500,18500.0,1,18500,EQNE
2009-08-04,18500,18500,18500,18500.0,1,18500,EQNE
2009-08-05,19450,19830,19450,19830.0,135,2675150,EQNE
2009-08-13,21000,21000,19000,19200.0,124,2494993.12,EQNE
2009-08-14,20499,22000,20499,22000.0,16,336993,EQNE
2009-08-18,21200,21200,21200,21200.0,2,42400,EQNE
2009-08-24,23000,23000,19501,22999.0,94,2019657.02,EQNE
2009-08-25,19501,21000,19501,21000.0,4,81002,EQNE
2009-09-03,20111,22500,20111,22000.0,112,2398409,EQNE
2009-09-04,22000,22000,20261,21999.0,21,446050,EQNE
2009-09-07,22000,22000,22000,22000.0,9,198000,EQNE
2009-09-09,25000,25000,20500.02,21250.0,26,593799.21,EQNE
2009-09-10,21501,24350,21500.02,21600.0,47,1066018.01,EQNE
2009-09-14,23699.99,24000,22001,22020.0,71,1586283.05,EQNE
2009-09-15,22070,22100,22000,22100.0,64,1410986,EQNE
2009-09-16,23000,23698.99,23000,23698.99,14,323397.98,EQNE
2009-09-17,23698.9,23698.9,23698.9,23698.9,2,47397.8,EQNE
2009-09-21,23000,23000,23000,23000.0,1,23000,EQNE
2009-09-23,21000.2,24497,21000,24399.1,22,506057.6,EQNE
2009-09-24,23000,23000,23000,23000.0,1,23000,EQNE
2009-09-25,23200,23200,23200,23200.0,1,23200,EQNE
2009-09-29,24499,24500,24000,24500.0,28,673498,EQNE
2009-10-01,24500,24500,24500,24500.0,3,73500,EQNE
2009-10-05,24000,24000,24000,24000.0,1,24000,EQNE
2009-10-06,24000,24000,24000,24000.0,1,24000,EQNE
2009-10-07,24000,24500,24000,24500.0,6,146000,EQNE
2009-10-08,24500,24500,24500,24500.0,1,24500,EQNE
2009-10-09,24000,24800,24000,24800.0,26,628000,EQNE
2009-10-13,23100,24790,23100,24400.0,5,121870,EQNE
2009-10-14,24400,29300,24399,26500.0,225,6360673,EQNE
2009-10-15,26900,26900,26900,26900.0,1,26900,EQNE
2009-10-21,26500,26500,26500,26500.0,4,106000,EQNE
2009-10-22,26000,26000,26000,26000.0,1,26000,EQNE
2009-10-27,25000.03,25000.03,25000,25000.0,3,75000.06,EQNE
2009-10-28,29900,29900,25000,25000.0,6,159800.03,EQNE
2009-10-30,21010,28000,21010,27300.0,57,1457999.78,EQNE
2009-11-03,24000,25000,24000,25000.0,3,73500,EQNE
2009-11-05,26000,28900,26000,26002.0,53,1445099.46,EQNE
2009-11-09,26000,26000,26000,26000.0,2,52000,EQNE
2009-11-10,25000.03,25000.03,24000.24,24000.24,2,49000.27,EQNE
2009-11-11,26150,26150,26150,26150.0,1,26150,EQNE
2009-11-12,26000,26000,26000,26000.0,2,52000,EQNE
2009-11-13,25500,29000,25500,28000.0,174,4779877.95,EQNE
2009-11-16,29250,39200,29000,30222.0,919,28894108.3,EQNE
2009-11-17,32000,35400,29300.02,31200.0,609,19010108.97,EQNE
2009-11-18,31500,32429.99,28150.01,31887.99,165,5113748.8,EQNE
2009-11-19,31500,32000,30500,32000.0,68,2154779.55,EQNE
2009-11-20,32000,32000,32000,32000.0,1,32000,EQNE
2009-11-23,32679.9,32679.9,31000,31500.0,6,188179.9,EQNE
2009-11-24,30001.04,31999.99,30000,30600.0,277,8592645.77,EQNE
2009-11-25,29230.01,32599.99,28050,29200.0,187,5650387.63,EQNE
2009-11-26,28155.02,30989.99,28155.02,29100.0,144,4217240.02,EQNE
2009-11-27,27500.23,30499.99,26000.01,29000.0,260,7319476.93,EQNE
2009-11-30,29000,30000,29000,29000.0,164,4776680,EQNE
2009-12-01,30000,31000,30000,31000.0,236,7097264.02,EQNE
2009-12-02,31479,31500,31000,31500.0,28,877999,EQNE
2009-12-03,31500,31999,31500,31500.0,163,5174534.95,EQNE
2009-12-04,31000.01,33000,31000,32999.99,98,3174899.95,EQNE
2009-12-07,31001.19,32899.9,31000,32899.9,53,1647504.09,EQNE
2009-12-08,33970,33970,32500,32500.0,251,8158970,EQNE
2009-12-10,31300.17,31303.01,31300,31303.01,5,156509.2,EQNE
2009-12-11,32300,32900,31500,32500.0,46,1481030,EQNE
2009-12-14,31503.01,31503.01,31503.01,31503.01,1,31503.01,EQNE
2009-12-15,33429.99,33429.99,31600.54,32500.0,408,13303881.92,EQNE
2009-12-16,32979.23,34429.69,31001.18,33500.0,359,11738144.97,EQNE
2009-12-17,32000,34430,32000,33090.0,847,27816365.94,EQNE
2009-12-18,33420,33429,33350,33350.0,17,567957,EQNE
2009-12-21,33520,34999.99,32500,33500.0,225,7485635.26,EQNE
2009-12-22,33480,33890,33480,33890.0,12,402580,EQNE
2009-12-23,33990,33990,33000,33500.0,191,6337990.2,EQNE
2009-12-25,33550,33550,32750,33000.0,34,1117920.9,EQNE
2009-12-28,33000,33575,33000,33100.0,48,1589050,EQNE
2009-12-29,33500,33500,32500,32500.0,76,2483500,EQNE
2009-12-30,32550,33000,32500,33000.0,36,1182752,EQNE
2009-12-31,33500,33500,33500,33500.0,141,4723500,EQNE
2010-01-11,33800,35900,33800,34500.0,18,613170,EQNE
2010-01-12,34500,38989.99,34500,38989.99,11,404339.79,EQNE
2010-01-13,36999.99,37000,34000.01,36000.01,17,624999.97,EQNE
2010-01-14,37999.97,39000,37999.97,39000.0,16,617999.87,EQNE
2010-01-15,37450.03,40000,37450,39000.0,16,607950.19,EQNE
2010-01-18,37510.01,39950,37510.01,39950.0,14,549760.53,EQNE
2010-01-19,39350,39399.98,39350,39399.98,2,78749.98,EQNE
2010-01-20,39500,39500,39400,39450.0,43,1697890,EQNE
2010-01-21,36666,38850,36666,38500.0,22,836681.96,EQNE
2010-01-22,38500,38500,38500,38500.0,1,38500,EQNE
2010-01-25,38499.99,39500,38499.99,38500.1,36,1409771.19,EQNE
2010-01-26,38350,38500,38350,38500.0,32,1229940,EQNE
2010-01-27,37500,37500,37500,37500.0,3,112500,EQNE
2010-01-28,37950,38000,37950,38000.0,4,151950,EQNE
2010-01-29,37000.01,37000.01,37000,37000.0,15,555000.01,EQNE
2010-02-01,37750,37750,36100,36600.0,60,2176064.81,EQNE
2010-02-02,37799,38250,37600,38000.0,31,1173049,EQNE
2010-02-03,37253,37253.01,37252,37252.0,4,149010.01,EQNE
2010-02-04,37800,38250,36750.35,36750.35,10,377120.79,EQNE
