date,open,high,low,close,volume,value,board
2007-05-28,0.1449,0.1749,0.14,0.1416,4222486000,615850148.4,EQLV
2007-05-29,0.142,0.1449,0.1378,0.1395,4876608000,689701820.7,EQLV
2007-05-30,0.1377,0.139,0.1355,0.1385,4700963000,647937351.5,EQLV
2007-05-31,0.1399,0.145,0.1396,0.1448,4110968000,584146680.5,EQLV
2007-06-01,0.145,0.1465,0.1438,0.1452,3421227000,496847448.9,EQLV
2007-06-04,0.145,0.145,0.1409,0.1429,2339326000,334466300.8,EQLV
2007-06-05,0.143,0.1445,0.1419,0.1428,1877020000,269102716.2,EQLV
2007-06-06,0.1428,0.1435,0.1398,0.142,2094814000,296718700.8,EQLV
2007-06-07,0.1415,0.1422,0.1408,0.141,1040841000,147145600.6,EQLV
2007-06-08,0.1402,0.1436,0.14,0.1429,3366575000,477152396.5,EQLV
2007-06-09,0.1429,0.1439,0.1424,0.1426,745751000,106761483,EQLV
2007-06-13,0.1426,0.1433,0.1415,0.1432,689947000,98529452,EQLV
2007-06-14,0.1438,0.1468,0.1433,0.1466,3618785000,522977759.7,EQLV
2007-06-15,0.147,0.1475,0.144,0.1445,4953746000,721273694.6,EQLV
2007-06-18,0.1488,0.1488,0.1437,0.1446,1303515000,188371362.4,EQLV
2007-06-19,0.1441,0.1446,0.1434,0.1436,1199997000,172832256.8,EQLV
2007-06-20,0.1444,0.1459,0.1436,0.1452,2053558000,297930600,EQLV
2007-06-21,0.145,0.145,0.1435,0.1438,1127185000,162470211.6,EQLV
2007-06-22,0.1445,0.1445,0.1426,0.1431,1345193000,192968634.4,EQLV
2007-06-25,0.1428,0.1428,0.1412,0.142,1180669000,167581418.2,EQLV
2007-06-26,0.142,0.143,0.1412,0.1421,1354746000,192635361.1,EQLV
2007-06-27,0.1419,0.1422,0.1401,0.1409,2296546000,323749873.4,EQLV
2007-06-28,0.1418,0.142,0.1407,0.1413,1112720000,157239095.8,EQLV
