date,open,high,low,close,volume,value,board
2003-02-03,0,0,0,0.0,0,0,EQNE
2003-02-04,0,0,0,0.0,0,0,EQNE
2003-02-05,0,0,0,0.0,0,0,EQNE
2003-02-06,0,0,0,0.0,0,0,EQNE
2003-02-07,0,0,0,0.0,0,0,EQNE
2003-02-10,0,0,0,0.0,0,0,EQNE
2003-02-11,0,0,0,0.0,0,0,EQNE
2003-02-12,0,0,0,0.0,0,0,EQNE
2003-02-13,0,0,0,0.0,0,0,EQNE
2003-02-14,0,0,0,0.0,0,0,EQNE
2003-02-17,0,0,0,0.0,0,0,EQNE
2003-02-18,0,0,0,0.0,0,0,EQNE
2003-02-19,0,0,0,0.0,0,0,EQNE
2003-02-20,0,0,0,0.0,0,0,EQNE
2003-02-21,0,0,0,0.0,0,0,EQNE
2003-02-25,0,0,0,0.0,0,0,EQNE
2003-02-26,0,0,0,0.0,0,0,EQNE
2003-02-27,0,0,0,0.0,0,0,EQNE
2003-02-28,0,0,0,0.0,0,0,EQNE
2003-03-03,0,0,0,0.0,0,0,EQNE
2003-03-04,0,0,0,0.0,0,0,EQNE
2003-03-05,0,0,0,0.0,0,0,EQNE
2003-03-06,0,0,0,0.0,0,0,EQNE
2003-03-07,0,0,0,0.0,0,0,EQNE
2003-03-11,0,0,0,0.0,0,0,EQNE
2003-03-17,0,0,0,0.0,0,0,EQNE
2005-01-12,70,70,70,70.0,200,14000,EQBR
2005-01-24,58,60,58,60.0,200,11800,EQBR
2005-01-27,62.2,62.2,62.2,62.2,42000,2612400,EQBR
2005-01-31,68,68,68,68.0,100,6800,EQBR
2005-02-01,69,69,69,69.0,100,6900,EQBR
2005-02-02,72,73,72,73.0,4400,317200,EQBR
2005-02-04,73.22,73.22,73.22,73.22,2000,146440,EQBR
2005-02-07,75,75,74,74.0,200,14900,EQBR
2005-02-08,72.5,72.5,72.5,72.5,300,21750,EQBR
2005-02-09,74,74,74,74.0,100,7400,EQBR
2005-02-11,74,74,74,74.0,3000,222000,EQBR
2005-02-17,75,78,75,78.0,1200,90600,EQBR
2005-02-18,78,78,76,78.0,7500,571200,EQBR
2005-02-22,76.51,76.51,76.51,76.51,1600,122416,EQBR
2005-02-24,75.5,77.5,75.5,77.5,7400,569080,EQBR
2005-02-25,79.75,81.75,79.75,81.75,8100,653750,EQBR
2005-02-28,80.5,80.5,77,77.0,600,47950,EQBR
2005-03-01,81,81,80.8,80.8,8000,647800,EQBR
2005-03-02,80.5,80.5,79,79.0,2200,175450,EQBR
2005-03-05,80,82.5,80,82.5,2100,168250,EQBR
2005-03-09,77.1,80,77.1,80.0,1400,108800,EQBR
2005-03-14,75.51,75.51,75.5,75.5,900,67952,EQBR
2005-03-15,79,79,79,79.0,100,7900,EQBR
2005-03-16,79,79,79,79.0,7900,624100,EQBR
2005-03-18,75,78,75,77.5,13800,1048556,EQBR
2005-03-21,81,81,81,81.0,1800,145800,EQBR
2005-03-22,78,78,78,78.0,100,7800,EQBR
2005-03-24,75,75,75,75.0,300,22500,EQBR
2005-03-29,74.2,74.2,74.05,74.05,3900,289000,EQBR
2005-03-30,71,71,70.35,70.35,8000,564760,EQBR
2005-03-31,71,71,70.5,70.5,1100,77600,EQBR
2005-04-01,72,72,72,72.0,100,7200,EQBR
2005-04-04,70,72.2,70,72.2,15200,1090400,EQBR
2005-04-05,72,73,72,72.5,29800,2151550,EQBR
2005-04-06,75,75.95,75,75.85,8400,633086,EQBR
2005-04-07,76,76,76,76.0,2000,152000,EQBR
2005-04-08,76,77.97,76,76.5,8500,649482,EQBR
2005-04-11,75,75,74.01,74.01,4500,335580,EQBR
2005-04-12,73.92,74.5,73.9,74.5,10100,747892,EQBR
2005-04-13,75.02,75.5,75,75.0,13900,1042610,EQBR
2005-04-14,74,74,74,74.0,36300,2686200,EQBR
2005-04-15,74.7,75,74.7,75.0,500,37470,EQBR
2005-04-19,73.02,73.02,73,73.0,3400,248208,EQBR
2005-04-20,73,73.01,73,73.0,16700,1219106,EQBR
2005-04-21,72.51,72.51,72.51,72.51,480,34604,EQBR
2005-04-22,74.3,74.3,72.51,72.51,8300,609653,EQBR
2005-04-25,72.1,72.1,72,72.0,600,43250,EQBR
2005-04-26,70.51,72,70,72.0,14900,1067402,EQBR
2005-04-27,70.4,70.4,68.31,68.31,4200,293560,EQBR
2005-04-28,70,70,68,68.0,2920,199674,EQBR
2005-04-29,67.3,67.3,65.5,67.0,12700,840279,EQBR
2005-05-03,66.25,66.25,66.25,66.25,200,13250,EQBR
2005-05-05,67.5,68,67.5,68.0,1300,88350,EQBR
2005-05-06,66.26,68.98,66.26,68.98,300,20175,EQBR
2005-05-12,65.8,66.4,65,65.0,500,32960,EQBR
2005-05-13,65.5,65.5,65,65.0,1900,123640,EQBR
2005-05-14,66.55,66.55,65.6,65.6,600,39455,EQBR
2005-05-16,66.55,66.55,65,65.0,1600,104312,EQBR
2005-05-17,66,66.48,66,66.48,700,46440,EQBR
2005-05-18,67,67.5,67,67.0,5300,355600,EQBR
2005-05-19,66.57,67,66,67.0,52800,3514089,EQBR
2005-05-20,65.9,66.4,65,66.4,8193,541675.2,EQBR
2005-05-24,66.99,67.5,65.68,65.7,5000,334467,EQBR
2005-05-25,67.7,67.7,67.59,67.6,300,20289,EQBR
2005-05-26,67,68.75,67,67.5,35200,2410264,EQBR
2005-05-27,68.02,68.02,67.02,67.02,600,40312,EQBR
2005-05-30,67,67.01,66.27,66.27,1800,120090,EQBR
2005-05-31,68.2,70,68.2,70.0,5700,395010.87,EQBR
2005-06-02,69.99,69.99,69.99,69.99,100,6999,EQBR
2005-06-06,67.5,67.5,67.5,67.5,100,6750,EQBR
2005-06-07,67.5,68,67.5,67.57,4200,284175,EQBR
2005-06-08,66.3,68,66.25,68.0,700,46737,EQBR
2005-06-09,66.5,66.5,66,66.5,4100,271197,EQBR
2005-06-10,67.5,67.99,67.5,67.99,1300,87799,EQBR
2005-06-15,69,69,69,69.0,3100,213900,EQBR
2005-06-17,69.98,69.98,69.98,69.98,100,6998,EQBR
2005-06-20,70,70,70,70.0,100,7000,EQBR
2005-06-21,69.98,69.98,69.98,69.98,200,13996,EQBR
2005-06-22,67.51,67.51,67.51,67.51,800,54008,EQBR
2005-06-23,68.02,68.02,68,68.0,2000,136002,EQBR
2005-06-27,67.56,67.56,67.56,67.56,100,6756,EQBR
2005-06-28,67.5,68.75,67.31,67.31,4400,296680,EQBR
2005-06-29,66.25,66.25,65.06,65.11,2000,131902,EQBR
2005-06-30,65.7,67.49,65.2,67.49,400,26409,EQBR
2005-07-01,68,68,65.61,65.61,200,13361,EQBR
2005-07-05,66.11,67.5,66.11,66.23,2100,140453,EQBR
2005-07-06,67.45,67.45,67.45,67.45,1800,121410,EQBR
2005-07-07,67.06,67.06,66.5,66.5,7400,492790,EQBR
2005-07-08,68,68,68,68.0,900,61200,EQBR
2005-07-11,68,68.75,68,68.0,4200,286875,EQBR
2005-07-13,68.88,70,68.88,69.99,6500,452745,EQBR
2005-07-14,70,70,69,69.0,25600,1773170,EQBR
2005-07-15,69,69,68.5,69.0,8000,549990,EQBR
2005-07-18,69.87,69.88,69.87,69.88,200,13975,EQBR
2005-07-19,69.44,69.88,69.44,69.88,4000,279364,EQBR
2005-07-20,70.3,71,70,70.25,20700,1451860,EQBR
2005-07-21,68.9,70,68.75,69.75,5800,400967,EQBR
2005-07-22,69.9,70,69.9,70.0,4500,314840,EQBR
2005-07-25,69.02,69.02,68,68.5,1200,82154,EQBR
2005-07-26,68.8,68.8,67.72,68.5,7000,478074,EQBR
2005-07-27,68.55,68.55,67.77,68.05,700,47545,EQBR
2005-07-28,68,68.2,67.5,68.0,6300,426555,EQBR
2005-07-29,68,68.08,67,67.0,3700,249103,EQBR
2005-08-02,67.71,67.99,67.62,67.99,2000,135363,EQBR
2005-08-03,67.6,71.99,67.56,70.0,8200,575033,EQBR
2005-08-04,67.19,69.95,67.18,69.0,3600,247068,EQBR
2005-08-05,69.44,71.79,69.44,71.79,10100,704595,EQBR
2005-08-08,71.5,72,71.5,71.75,6400,460336,EQBR
2005-08-09,71.1,71.1,71.01,71.08,7000,497411,EQBR
2005-08-10,71.07,71.7,71,71.0,7300,520837,EQBR
2005-08-11,71.5,71.5,71.1,71.5,1800,128540,EQBR
2005-08-12,71.25,71.3,70.01,70.01,5300,376281,EQBR
2005-08-15,71,71,71,71.0,6300,447300,EQBR
2005-08-16,71.25,72.5,71.25,71.7,12900,932080,EQBR
2005-08-17,72.5,74.99,72,74.0,30000,2191470,EQBR
2005-08-18,74.2,74.2,73.9,73.9,8000,592270,EQBR
2005-08-19,74,77,74,76.02,14300,1090056,EQBR
2005-08-22,76,77.5,75,76.0,13200,1015087,EQBR
2005-08-23,76.5,77,75,77.0,12800,977701,EQBR
2005-08-24,77,78.99,76.8,78.89,10100,781893,EQBR
2005-08-25,77.7,77.7,76.74,76.74,200,15444,EQBR
2005-08-26,79,80,79,80.0,1100,87200,EQBR
2005-08-30,77.5,78.05,77.5,78.05,1500,116778,EQBR
2005-08-31,78.5,79.5,76.5,77.01,6300,494172,EQBR
