date,open,high,low,close,volume,value,board
2007-08-20,3,3,3,3.0,152900,458700,EQNE
2007-08-21,3.5,3.5,3,3.0,50100,150350,EQNE
2007-08-22,2.94,2.94,2.94,2.94,8300,24402,EQNE
2007-08-24,3.31,4.115,3.31,4.07,14300,54101.9,EQNE
2007-08-27,3.91,3.915,3.91,3.91,500,1955.5,EQNE
2007-08-29,3.01,3.03,2.95,3.03,150200,453690,EQNE
2007-08-30,3.029,3.029,3.029,3.029,100,302.9,EQNE
2007-08-31,3.29,3.5,2.98,3.03,196200,620936,EQNE
2007-09-03,3.6,3.8,3.04,3.04,108100,380072,EQNE
2007-09-04,2.98,2.98,2.98,2.98,300,894,EQNE
2007-09-05,2.9,3.399,2.9,3.3,3700,11587.6,EQNE
2007-09-06,3.449,3.449,3.003,3.3,2700,8650,EQNE
2007-09-07,2.901,3.198,2.901,3.004,4800,14260.8,EQNE
2007-09-11,3.142,3.142,3.142,3.142,500,1571,EQNE
2007-09-12,3.006,3.006,3,3.0,10600,31800.6,EQNE
2007-09-14,3,3,2.8,2.8,60100,168300,EQNE
2007-09-17,2.778,2.998,2.778,2.998,300,855.4,EQNE
2007-09-21,3.045,3.35,2.834,2.834,20300,67289.3,EQNE
2007-09-24,3.25,3.25,2.801,2.801,30200,93660,EQNE
2007-09-25,3.199,3.199,3.199,3.199,20000,63980,EQNE
2007-09-27,2.6,2.899,2.6,2.899,600,1589.9,EQNE
2007-10-02,3.045,3.045,3.045,3.045,100,304.5,EQNE
2007-10-04,2.62,2.7,2.62,2.7,22900,60022,EQNE
2007-10-05,2.62,2.71,2.62,2.66,22700,61489,EQNE
2007-10-15,2.66,2.66,2.66,2.66,400,1064,EQNE
2007-10-16,2.7,2.7,2.7,2.7,200000,540000,EQNE
2007-10-17,2.391,2.391,2.391,2.391,50100,119789.1,EQNE
2007-10-24,3.04,3.04,3.04,3.04,100,304,EQNE
2007-10-25,2.69,2.69,2.69,2.69,3500,9415,EQNE
2007-10-26,2.715,2.72,2.715,2.72,206800,561996,EQNE
2007-11-01,2.691,2.695,2.69,2.69,2500,6726.5,EQNE
2007-11-07,3.054,3.054,3.054,3.054,50600,154532.4,EQNE
