date,open,high,low,close,volume,value,board
2013-06-26,10,10.8,9,10.8,1300,11980,EQNE
2013-06-27,9,9,9,9.0,100,900,EQNE
2013-06-28,9.1,10,9.1,10.0,400,3730,EQNE
2013-07-01,10,10,9.13,9.13,600,5913,EQNE
2013-07-02,10.6,10.6,10.6,10.6,200,2120,EQNE
2013-07-03,9,9,9,9.0,200,1800,EQNE
2013-07-04,14,14,14,14.0,900,12600,EQNE
2013-07-05,9.202,9.202,9.202,9.202,300,2760.6,EQNE
2013-07-08,10.31,10.31,10.31,10.31,100,1031,EQNE
2013-07-09,11.51,11.54,11.51,11.54,500,5758,EQNE
2013-07-10,13.7,13.7,13.7,13.7,100,1370,EQNE
2013-07-11,17,17,17,17.0,8100,137700,EQNE
2013-07-12,17,17,17,17.0,7100,120700,EQNE
2013-07-15,13.2,18.5,13.2,18.5,2000,31700,EQNE
2013-07-24,13.016,13.016,13.016,13.016,100,1301.6,EQNE
2013-07-30,9.5,9.5,9.5,9.5,100,950,EQNE
2013-08-05,12.999,13.3,12.999,13.3,2100,27659.9,EQNE
2013-08-08,13.3,13.3,13.3,13.3,1000,13300,EQNE
2013-08-09,13.3,14,13.3,14.0,3500,46900,EQNE
2013-08-12,13.3,13.6,13.3,13.6,2000,26900,EQNE
2013-08-20,18.8,18.8,8.17,8.17,200,2697,EQNE
2013-08-26,10.4,10.4,10.4,10.4,200,2080,EQNE
2013-08-28,8.8,8.8,8.8,8.8,100,880,EQNE
2013-08-29,8.008,8.008,8.008,8.008,100,800.8,EQNE
2013-09-04,18.008,18.008,9.179,9.179,1100,18925.9,TQNE
2013-09-10,11.11,11.787,11.11,11.5,300,3439.7,TQNE
2013-09-11,15.999,15.999,15.999,15.999,100,1599.9,TQNE
2013-09-16,14,15,14,14.75,1000,14605,TQNE
2013-09-18,14,14.5,14,14.5,300,4275,TQNE
2013-09-19,14,17,14,17.0,4600,76250,TQNE
2013-09-20,16,17.777,14.999,15.5,9200,158229.9,TQNE
2013-09-23,15,16.1,15,16.1,2300,35765,TQNE
2013-09-24,15.75,16,15.75,16.0,1400,22325,TQNE
2013-09-25,15.75,16,15.75,16.0,1000,15925,TQNE
2013-09-26,15.85,17,15.85,17.0,11200,187110,TQNE
2013-09-30,15.75,16.75,15.75,16.75,2100,34125,TQNE
2013-10-01,15.75,16.7,15.75,16.7,3400,55550,TQNE
2013-10-02,15.5,18,15.5,18.0,19900,350449,TQNE
2013-10-03,25.239,25.239,20.3,21.933,6800,160209.9,TQNE
2013-10-04,21.5,21.5,20,20.5,1100,22660,TQNE
2013-10-07,20.75,23,20.75,23.0,5100,111000,TQNE
2013-10-08,20.25,21.5,20.25,21.5,3600,75375,TQNE
2013-10-09,20.9,21.25,20.9,21.25,800,16860,TQNE
2013-10-10,20.9,25.35,20.9,25.35,10000,235738,TQNE
2013-10-11,25,27,25,27.0,2000,52450,TQNE
2013-10-17,25,25,25,25.0,10000,250000,TQNE
2013-10-21,30.001,40,30,39.986,70500,2606466.5,TQNE
2013-10-22,35,39.99,35,37.0,11700,433402.6,TQNE
2013-10-23,38.5,38.5,37,37.0,2900,109950.9,TQNE
2013-10-28,25.015,36.99,25.015,36.99,5900,216844.5,TQNE
2013-10-29,30,36.99,30,36.99,13600,485093.4,TQNE
2013-10-30,40,40,39.97,39.97,3500,139955,TQNE
2013-10-31,33.3,36,33.3,36.0,16500,553770,TQNE
2013-11-01,32,35.5,32,35.0,30400,1026329.5,TQNE
2013-11-06,43.05,49.4,43.05,49.0,258700,12528824.9,TQNE
2013-11-07,49,49.4,49,49.4,24900,1222100,TQNE
2013-11-08,49,49.5,49,49.5,9300,459337.2,TQNE
2013-11-11,49.5,49.5,49.5,49.5,15500,767250,TQNE
2013-11-12,49.31,49.55,49.3,49.55,64400,3176322.4,TQNE
2013-11-13,49.7,49.7,49.3,49.3,52800,2607640,TQNE
2013-11-14,49.301,49.5,49.301,49.32,35100,1735630.1,TQNE
2013-11-19,49.6,49.6,49.55,49.55,15800,783505,TQNE
2013-11-20,49.5,49.5,49.3,49.301,7000,345305,TQNE
2013-11-21,49,49,49,49.0,4,196,SMAL
2013-11-22,49.4,49.5,49.3,49.3,22300,1102420,TQNE
2013-11-25,49.5,49.5,49.45,49.45,24100,1192450,TQNE
2013-11-26,49.5,49.7,49.5,49.5,44500,2204750,TQNE
2013-11-27,49.5,49.5,49.3,49.4,85800,4242800,TQNE
2013-11-28,49.4,49.4,49.4,49.4,24400,1205360,TQNE
2013-11-29,49.4,49.4,49.4,49.4,200,9880,TQNE
2013-12-05,49.6,49.6,49.55,49.55,18500,916875,TQNE
2013-12-06,49.5,49.5,49.5,49.5,100,4950,TQNE
2013-12-20,50,50,50,50.0,200,10000,TQNE
2013-12-23,58.1,58.1,58.1,58.1,200,11620,TQNE
2013-12-25,50.1,50.1,49.9,49.9,10500,525950,TQNE
2013-12-26,51.24,51.24,50,50.0,55600,2848696,TQNE
2013-12-27,51.19,51.19,50,50.01,253500,12755532.8,TQNE
2014-02-28,50,50,50,50.0,15000,750000,TQNE
