date,open,high,low,close,volume,value,board
2012-07-19,12.028,12.1,12.01,12.05,19000,229058.7,EQNE
2012-07-20,12.04,12.282,12.04,12.282,19000,231655.2,EQNE
2012-07-23,13,13,12.1,12.1,12300,149726.5,EQNE
2012-07-24,12.11,12.16,12.11,12.15,7200,87348.1,EQNE
2012-07-25,12.143,12.26,12.143,12.23,4000,48844.3,EQNE
2012-07-26,12.142,12.21,12.142,12.21,3500,42686.6,EQNE
2012-07-27,12.23,12.329,12.23,12.329,11200,137442.9,EQNE
2012-07-30,12.16,12.3,12.16,12.3,3400,41677,EQNE
2012-07-31,12.16,12.39,12.16,12.36,5700,70395,EQNE
2012-08-01,12.32,12.39,12.3,12.36,15800,194903,EQNE
2012-08-02,12.4,12.4,12.351,12.37,6200,76605.3,EQNE
2012-08-03,12.37,12.37,12.34,12.37,1700,21016,EQNE
2012-08-06,12.385,12.495,12.38,12.47,85100,1059626.3,EQNE
2012-08-07,13,13,12.45,12.45,600,7536.6,EQNE
2012-08-08,12.48,12.55,12.47,12.5,29500,369553.6,EQNE
2012-08-09,12.51,12.53,12.51,12.51,20900,261854,EQNE
2012-08-10,12.5,12.59,12.5,12.571,277500,3485592,EQNE
2012-08-13,12.589,12.59,12.56,12.59,9800,123229.1,EQNE
2012-08-14,12.6,12.64,12.6,12.64,1600,20199,EQNE
2012-08-15,12.6,12.6,12.51,12.51,321800,4045771,EQNE
2012-08-16,12.55,12.55,12.501,12.537,1600,20045.3,EQNE
2012-08-17,12.52,12.53,12.512,12.53,11300,141457,EQNE
2012-08-20,12.6,12.65,12.57,12.58,9700,122355.7,EQNE
2012-08-21,12.551,12.87,12.55,12.85,71400,913011.2,EQNE
2012-08-22,12.75,12.95,12.72,12.843,41800,535966.1,EQNE
2012-08-23,12.5,12.86,12.5,12.85,282400,3611123,EQNE
2012-08-27,12.785,12.82,12.77,12.78,3300,42204.1,EQNE
2012-08-28,12.73,12.74,12.72,12.73,800,10183,EQNE
2012-08-29,13,13,12.8,12.8,1400,17980,EQNE
2012-08-30,12.7,12.76,12.7,12.75,1500,19084,EQNE
2012-08-31,12.78,12.8,12.774,12.78,2900,37082.6,EQNE
2012-09-03,12.769,12.898,12.769,12.898,9900,127191.4,EQNE
2012-09-04,12.84,12.93,12.84,12.9,16200,208766,EQNE
2012-09-05,14.335,14.335,12.66,12.66,248900,3181859.9,EQNE
2012-09-06,12.69,12.69,12.65,12.65,9600,121484,EQNE
2012-09-07,12.68,12.68,12.65,12.65,57800,732239.2,EQNE
2012-09-10,12.65,12.65,12.59,12.59,222200,2801050,EQNE
2012-09-11,12.51,12.51,12.43,12.49,21100,263500.9,EQNE
2012-09-12,12.49,12.59,12.35,12.43,264000,3278688,EQNE
2012-09-13,12.55,12.69,12.39,12.39,330100,4141426,EQNE
2012-09-14,12.49,12.5,12.42,12.42,30300,376987.3,EQNE
2012-09-17,12.465,12.59,12.46,12.57,470300,5888157.5,EQNE
2012-09-18,12.56,12.629,12.55,12.6,1000,12580.9,EQNE
2012-09-19,12.55,12.79,12.51,12.66,67800,857342,EQNE
2012-09-20,12.75,12.78,12.74,12.75,21900,279813,EQNE
2012-09-21,12.8,13.99,12.79,13.9,135200,1815465.6,EQNE
2012-09-24,13.99,14.1,13.75,13.98,298800,4175621.1,EQNE
2012-09-25,13.92,13.95,13.76,13.76,145500,2018533,EQNE
2012-09-26,13.375,13.8,13.375,13.67,147500,2018925,EQNE
2012-09-27,13.7,13.8,13.6,13.75,149300,2057620.8,EQNE
2012-09-28,13.6,13.7,13.6,13.63,3200,43669.3,EQNE
2012-10-01,13.648,13.649,13.62,13.639,2700,36828,EQNE
2012-10-02,13.699,13.76,13.624,13.64,76600,1050009.7,EQNE
2012-10-03,13.61,13.7,13.55,13.6,261300,3560656.5,EQNE
2012-10-04,13.6,13.669,13.6,13.669,3700,50365.5,EQNE
2012-10-05,13.65,13.65,13.45,13.5,277800,3749196.9,EQNE
2012-10-08,13.6,13.6,13.536,13.575,1400,19025.6,EQNE
2012-10-09,13.69,13.69,13.4,13.5,278500,3763419.8,EQNE
2012-10-10,13.53,13.535,13.493,13.493,4700,63534.6,EQNE
2012-10-11,13.49,13.49,13.42,13.42,8300,111599.3,EQNE
2012-10-12,13.491,13.51,13.27,13.31,129400,1735912.2,EQNE
2012-10-15,13.36,13.37,13.315,13.315,5200,69466.5,EQNE
2012-10-16,13.4,13.55,13.351,13.55,80100,1080027.9,EQNE
2012-10-17,13.425,13.514,13.36,13.38,6800,91115.7,EQNE
2012-10-18,13.39,13.59,13.3,13.351,99200,1321430,EQNE
2012-10-19,13.355,13.699,13.345,13.66,13100,176430.2,EQNE
2012-10-22,13.53,13.53,13.371,13.454,19500,261724.9,EQNE
2012-10-23,13.448,13.451,13.365,13.365,12700,170135.1,EQNE
2012-10-24,13.367,13.439,13.335,13.335,6500,86899.2,EQNE
2012-10-25,13.33,13.33,13.29,13.29,2000,26623,EQNE
2012-10-26,13.293,13.569,13.277,13.295,7600,101168.1,EQNE
2012-10-29,13.29,13.299,13.262,13.277,14000,185893.3,EQNE
2012-10-30,13.275,13.275,13.175,13.175,7000,92533.5,EQNE
2012-10-31,13.185,13.2,13.072,13.072,10300,135323.3,EQNE
2012-11-01,13.159,13.159,13.067,13.075,110400,1443508.7,EQNE
2012-11-02,13.2,13.235,13.062,13.063,3700,48567.4,EQNE
2012-11-06,13.06,13.06,13.035,13.044,2100,27397.5,EQNE
2012-11-07,13.04,13.045,13.028,13.045,1100,14337.6,EQNE
2012-11-08,13.04,13.04,13.015,13.015,2200,28654,EQNE
2012-11-09,13.02,13.025,13,13.0,600,7807.6,EQNE
2012-11-12,13,13.01,12.59,12.879,21400,270870.6,EQNE
2012-11-13,12.87,12.917,12.83,12.84,2600,33405.7,EQNE
2012-11-14,12.83,12.879,12.66,12.839,14800,188861,EQNE
2012-11-15,12.83,12.84,12.829,12.84,1300,16683.2,EQNE
2012-11-16,12.83,12.89,12.82,12.89,600,7713,EQNE
2012-11-19,12.88,12.9,12.801,12.801,29200,374788.4,EQNE
2012-11-23,12.799,12.81,12.78,12.81,136600,1747150.8,EQNE
2012-11-26,12.829,12.839,12.73,12.819,44100,565585.2,EQNE
2012-11-27,12.761,12.761,12.761,12.761,300,3828.3,EQNE
2012-11-28,12.898,13,12.5,12.999,47700,615949.6,EQNE
2012-11-29,13.05,13.099,12.91,13.099,41200,534817,EQNE
2012-11-30,13.1,13.149,13.01,13.01,78100,1016255.7,EQNE
2012-12-03,13.05,13.11,13.032,13.107,239800,3132241.7,EQNE
2012-12-04,13.15,13.15,13.13,13.13,800,10509,EQNE
2012-12-05,13.15,13.15,13.14,13.14,400,5257,EQNE
2012-12-06,13.15,13.199,13,13.001,3100,40477.3,EQNE
2012-12-07,13.099,13.129,12.941,12.941,161400,2098643.6,EQNE
2012-12-10,13.048,13.15,12.99,13.05,693300,9066493.1,EQNE
2012-12-11,13.1,13.19,13.08,13.08,155400,2037404.2,EQNE
2012-12-12,13.085,13.094,12.901,13.094,7000,91294.2,EQNE
2012-12-13,13.1,13.2,13.051,13.052,200800,2632157.4,EQNE
2012-12-14,13.15,13.2,13.12,13.12,61200,806303,EQNE
2012-12-17,13.12,13.12,13.1,13.11,81100,1063542.4,EQNE
2012-12-18,13.159,13.159,13.08,13.11,160000,2099160.2,EQNE
2012-12-19,13.106,13.279,13.1,13.279,243100,3194400.6,EQNE
2012-12-20,13.27,13.361,13.201,13.201,291800,3859927.1,EQNE
2012-12-21,13.2,13.2,13.2,13.2,100,1320,EQNE
2012-12-24,13.2,13.249,13.152,13.152,169800,2240897.9,EQNE
2012-12-25,13.22,13.247,13.162,13.247,197600,2610651.3,EQNE
2012-12-26,13.25,13.3,13.24,13.248,377200,4996069.4,EQNE
2012-12-27,13.24,13.309,13.24,13.291,263600,3499850.5,EQNE
2012-12-28,13.22,13.33,13.2,13.2,362800,4822941.3,EQNE
2013-01-09,13.292,13.292,13.21,13.21,311000,4124998,EQNE
2013-01-10,13.269,13.269,13.22,13.22,2200,29104,EQNE
2013-01-11,13.2,13.25,13.17,13.25,228900,3015438,EQNE
2013-01-14,13.2,13.31,13.158,13.158,166700,2208457.2,EQNE
2013-01-15,13.158,13.379,13.12,13.12,154100,2038974.9,EQNE
2013-01-16,13.18,13.26,13.11,13.17,397600,5243906.9,EQNE
2013-01-17,13.199,13.284,13.121,13.284,375500,4929794.5,EQNE
2013-01-18,13.29,13.602,13.29,13.582,626600,8443360.8,EQNE
2013-01-21,13.55,13.65,13.271,13.557,199100,2670561,EQNE
2013-01-22,13.599,13.6,13.258,13.38,553200,7411308.7,EQNE
2013-01-23,13.338,13.6,13.277,13.575,409200,5487417.8,EQNE
2013-01-24,13.41,13.41,13.201,13.377,459700,6107223.2,EQNE
2013-01-25,13.4,14.1,13.4,13.57,539700,7408634.1,EQNE
2013-01-28,13.55,13.695,13.4,13.64,480400,6511499.7,EQNE
2013-01-29,13.77,13.82,13.686,13.701,182600,2513392.4,EQNE
2013-01-30,13.702,13.82,13.391,13.55,623900,8547017.3,EQNE
2013-01-31,13.55,13.61,13.528,13.561,506500,6883983.5,EQNE
2013-02-01,13.723,13.723,13.6,13.627,450700,6148698.5,EQNE
2013-02-04,13.621,13.777,13.442,13.449,247300,3388363,EQNE
2013-02-05,13.405,13.53,13.405,13.49,276400,3736498.3,EQNE
2013-02-06,13.491,13.89,13.491,13.626,733900,10028904.7,EQNE
2013-02-07,13.6,13.607,13.246,13.371,864300,11593274.1,EQNE
2013-02-08,13.331,13.475,13.32,13.446,378600,5060907.1,EQNE
2013-02-11,13.475,13.613,13.428,13.55,521600,7031255.7,EQNE
2013-02-12,13.515,13.687,13.408,13.629,688600,9280419.4,EQNE
2013-02-13,13.627,13.851,13.61,13.851,759100,10396710.6,EQNE
2013-02-14,13.85,14,13.719,13.72,749300,10403845.1,EQNE
2013-02-15,13.721,13.721,13.517,13.581,345100,4697723.5,EQNE
2013-02-18,13.581,13.73,13.563,13.729,385100,5272802.6,EQNE
2013-02-19,13.73,13.853,13.73,13.853,279100,3857954.6,EQNE
2013-02-20,13.7,13.884,13.7,13.801,364900,5038648.8,EQNE
2013-02-21,13.79,13.79,13.554,13.67,180100,2460709,EQNE
2013-02-22,13.67,13.81,13.67,13.731,602400,8278885.2,EQNE
2013-02-25,13.731,13.815,13.701,13.783,504100,6941455.5,EQNE
2013-02-26,13.78,13.78,13.544,13.558,826500,11257132.9,EQNE
2013-02-27,13.56,13.627,13.56,13.593,60100,818643.7,EQNE
2013-02-28,13.594,13.735,13.594,13.603,881700,12086532.9,EQNE
2013-03-01,13.615,13.615,13.501,13.572,254700,3446431.7,EQNE
2013-03-04,13.533,13.57,13.47,13.506,194200,2633197.9,EQNE
2013-03-05,13.505,13.729,13.505,13.729,630500,8598838.9,EQNE
2013-03-06,13.7,13.841,13.7,13.841,357100,4927758,EQNE
2013-03-07,13.83,13.85,13.756,13.762,561100,7749055.5,EQNE
2013-03-11,13.735,13.86,13.735,13.86,574900,7959230,EQNE
2013-03-12,13.83,13.86,13.616,13.623,441800,6077564.4,EQNE
2013-03-13,13.64,13.678,13.594,13.607,256600,3500121.2,EQNE
2013-03-14,13.624,13.648,13.562,13.648,74400,1012200.3,EQNE
2013-03-15,13.645,13.757,13.608,13.608,781000,10663091.1,EQNE
2013-03-18,13.62,13.62,13.287,13.499,77800,1042566.5,EQNE
2013-03-19,13.49,13.56,13.433,13.56,763700,10325530.7,EQNE
2013-03-20,13.52,13.562,13.44,13.562,220100,2965452.6,EQNE
