date,open,high,low,close,volume,value,board
2005-12-08,2.0,2.3,2.0,2.3,23000,47030.0,EQNE
2005-12-16,2.6,2.6,2.6,2.6,100,260.0,EQNE
2005-12-19,3.0,3.0,3.0,3.0,100,300.0,EQNE
2005-12-20,3.371,3.371,2.0,2.15,1400,3052.1,EQNE
2005-12-21,2.9,2.9,2.6,2.6,200,550.0,EQNE
2005-12-23,2.9,2.9,2.9,2.9,100,290.0,EQNE
2005-12-30,2.175,2.175,2.175,2.175,100,217.5,EQNE
2006-01-10,1.75,1.75,1.75,1.75,1700,2975.0,EQNE
2006-01-11,1.15,1.43,1.15,1.43,2600,3270.0,EQNE
2006-01-13,1.2,1.43,1.2,1.43,600,829.0,EQNE
2006-01-24,1.23,1.23,1.23,1.23,4700,5781.0,EQNE
2006-02-02,1.25,1.55,1.25,1.55,1100,1620.0,EQNE
2006-02-08,1.32,1.5,1.32,1.5,20500,29815.0,EQNE
2006-02-16,2.0,2.0,2.0,2.0,3000,6000.0,EQNE
2006-02-20,1.9,1.9,1.9,1.9,71000,134900.0,EQNE
2006-02-21,2.0,2.0,2.0,2.0,150000,300000.0,EQNE
2006-03-06,2.25,2.25,2.25,2.25,150000,337500.0,EQNE
2006-03-10,2.2,2.2,2.2,2.2,150000,330000.0,EQNE
2006-03-22,2.4,3.0,2.4,2.8,165400,421723.0,EQNE
2006-03-23,2.8,2.8,2.8,2.8,55500,155400.0,EQNE
2006-03-24,3.2,3.2,2.99,3.0,119700,359045.0,EQNE
2006-03-30,3.0,3.0,2.7,2.7,1500,4350.0,EQNE
2006-03-31,3.08,3.25,3.08,3.25,73500,228539.0,EQNE
