date,open,high,low,close,volume,value,board
2005-11-25,0.5,1,0.5,1.0,11100,8800,EQNE
2005-12-01,1,1,1,1.0,9900,9900,EQNE
2005-12-12,1.1,1.1,1.1,1.1,39800,43780,EQNE
2005-12-15,1.45,1.7,1.45,1.7,700,1090,EQNE
2005-12-16,1.8,2.15,1.8,2.15,800,1580,EQNE
2005-12-20,1.5,1.5,1.1,1.1,200,260,EQNE
2005-12-23,1.15,1.15,1.15,1.15,100,115,EQNE
2005-12-26,1.15,1.15,1.15,1.15,6000,6900,EQNE
2005-12-27,1.2,1.2,1.2,1.2,100,120,EQNE
2005-12-29,1.25,1.25,1.25,1.25,14200,17750,EQNE
2005-12-30,1.101,1.101,1,1.0,200,210.1,EQNE
2006-01-10,1.3,1.3,1.3,1.3,100,130,EQNE
2006-01-11,1.1,1.1,1.1,1.1,35100,38610,EQNE
2006-01-16,1.1,1.1,1.1,1.1,100,110,EQNE
2006-01-25,1.2,1.2,1.2,1.2,300,360,EQNE
2006-02-08,1.32,1.5,1.32,1.325,5900,8706.5,EQNE
2006-02-09,1.325,1.38,1.325,1.38,300,408.5,EQNE
2006-02-14,1.6,1.6,1.6,1.6,24900,39840,EQNE
2006-02-20,1.8,1.8,1.8,1.8,1000,1800,EQNE
2006-02-21,1.95,1.95,1.85,1.85,152000,281400,EQNE
2006-02-26,1.85,1.85,1.85,1.85,8000,14800,EQNE
2006-02-27,2,2,1.863,1.863,3900,7279.4,EQNE
2006-02-28,2.05,2.05,2.05,2.05,100,205,EQNE
2006-03-01,1.801,1.801,1.801,1.801,150000,270150,EQNE
2006-03-03,2,2,2,2.0,13600,27200,EQNE
2006-03-06,2.02,2.1,2.02,2.1,607400,1246033,EQNE
2006-03-07,2.1,2.1,2.05,2.05,2500,5172,EQNE
2006-03-09,2.15,2.15,2.15,2.15,100,215,EQNE
2006-03-10,2.15,2.15,2.05,2.05,200,420,EQNE
2006-03-22,2.3,2.31,2.25,2.31,305000,701600,EQNE
2006-03-29,2.34,2.34,2.34,2.34,54000,126360,EQNE
2006-03-30,2.11,2.49,2.11,2.4,610600,1451151,EQNE
2006-03-31,2.7,2.8,2.7,2.8,194600,534880,EQNE
