date,open,high,low,close,volume,value,board
2006-07-28,25.1,25.1,25.1,25.1,400,10040.0,EQNE
2006-07-31,35.0,35.0,35.0,35.0,400,14000.0,EQNE
2006-08-31,31.0,31.0,31.0,31.0,4300,133300.0,EQNE
2006-09-04,35.65,35.65,35.65,35.65,100,3565.0,EQNE
2006-09-05,39.11,39.11,39.11,39.11,2000,78220.0,EQNE
2006-09-08,42.0,42.0,42.0,42.0,2000,84000.0,EQNE
2006-10-10,42.0,42.0,42.0,42.0,45000,1890000.0,EQNE
2006-10-13,45.0,45.0,45.0,45.0,1200,54000.0,EQNE
2006-10-17,47.0,47.0,47.0,47.0,50000,2350000.0,EQNE
2006-10-20,49.99,49.99,49.99,49.99,10000,499900.0,EQNE
2006-10-31,40.0,40.0,40.0,40.0,50000,2000000.0,EQNE
2006-11-08,48.0,48.0,48.0,48.0,2000,96000.0,EQNE
2006-11-23,59.0,59.0,59.0,59.0,1000,59000.0,EQNE
2006-12-26,59.571,60.5,59.571,60.5,6000,359713.0,EQNE
2007-01-12,79.0,79.0,79.0,79.0,600,47400.0,EQNE
2007-01-24,70.9,70.9,70.9,70.9,3100,219790.0,EQNE
2007-02-08,85.0,85.0,85.0,85.0,10500,892500.0,EQNE
2007-02-15,95.0,95.0,81.0,81.0,1500,133800.0,EQNE
2007-02-19,85.0,85.0,81.0,81.0,300,24700.0,EQNE
2007-02-21,85.0,85.0,83.0,83.0,2500,208106.0,EQNE
2007-02-26,94.99,94.99,94.99,94.99,1400,132986.0,EQNE
2007-03-05,80.57,80.57,80.0,80.0,1700,136114.0,EQNE
2007-03-06,80.0,80.0,80.0,80.0,600,48000.0,EQNE
2007-03-12,80.0,80.0,80.0,80.0,300,24000.0,EQNE
2007-03-22,85.0,85.0,85.0,85.0,1200,102000.0,EQNE
2007-03-27,80.0,80.0,80.0,80.0,1300,104000.0,EQNE
2007-03-28,81.0,81.0,81.0,81.0,2700,218700.0,EQNE
2007-03-29,80.1,80.1,80.0,80.0,2300,184040.0,EQNE
2007-04-27,75.52,75.52,75.52,75.52,700,52864.0,EQNE
2007-05-07,80.0,80.0,80.0,80.0,400,32000.0,EQNE
2007-06-20,94.49,94.5,66.02,94.0,2000,166646.0,EQNE
2007-06-25,70.0,92.5,70.0,92.5,800,65000.0,EQNE
2007-06-26,75.0,84.0,71.0,71.0,3700,272717.0,EQNE
2007-07-10,73.0,73.0,73.0,73.0,2500,182500.0,EQNE
2007-07-11,67.0,94.0,67.0,94.0,700,49600.0,EQNE
2007-07-12,92.0,92.0,74.01,74.16,8100,698541.0,EQNE
2007-07-16,73.0,74.0,73.0,74.0,4400,322600.0,EQNE
2007-07-17,93.0,93.0,68.11,68.11,3200,223872.0,EQNE
2007-07-18,76.0,76.0,73.0,73.0,600,44100.0,EQNE
2007-07-19,74.0,91.5,72.0,76.0,3600,277900.0,EQNE
2007-07-20,91.5,91.5,91.5,91.5,300,27450.0,EQNE
2007-07-26,76.0,76.0,76.0,76.0,100,7600.0,EQNE
2007-08-01,68.0,68.0,67.51,67.51,3900,263338.0,EQNE
2007-08-03,68.0,68.0,68.0,68.0,100,6800.0,EQNE
2007-08-07,75.0,75.0,75.0,75.0,100,7500.0,EQNE
2007-08-08,68.5,75.0,68.5,75.0,200,14350.0,EQNE
2007-08-09,70.0,70.0,70.0,70.0,300,21000.0,EQNE
2007-08-10,67.7,73.0,67.7,73.0,500,34380.0,EQNE
2007-08-13,77.0,77.0,77.0,77.0,400,30800.0,EQNE
2007-08-14,68.0,77.0,68.0,77.0,600,43500.0,EQNE
2007-09-10,72.5,72.5,72.5,72.5,1000,72500.0,EQNE
2007-09-11,69.0,69.0,69.0,69.0,400,27600.0,EQNE
2007-09-12,77.0,77.0,77.0,77.0,400,30800.0,EQNE
2007-09-18,73.51,73.51,73.51,73.51,700,51457.0,EQNE
2007-09-19,79.5,79.5,70.0,70.0,700,54700.0,EQNE
2007-09-20,71.5,71.5,71.5,71.5,300,21450.0,EQNE
2007-09-21,77.0,77.0,77.0,77.0,300,23100.0,EQNE
2007-09-26,70.0,72.49,70.0,70.0,8100,568852.1,EQNE
2007-09-27,71.0,71.0,71.0,71.0,900,63900.0,EQNE
2007-09-28,78.5,78.5,71.0,71.0,11400,855539.0,EQNE
2007-10-01,76.5,76.5,72.0,72.0,8100,584550.0,EQNE
2007-10-02,77.89,77.9,73.58,73.58,2500,193434.0,EQNE
2007-10-03,76.0,77.0,71.52,76.9,8000,603930.0,EQNE
2007-10-04,75.0,77.0,75.0,77.0,10000,760000.0,EQNE
2007-10-08,75.0,75.0,72.01,72.01,5200,381907.5,EQNE
2007-10-09,75.55,79.99,75.55,76.99,1700,135239.0,EQNE
2007-10-10,73.09,73.09,70.3,72.02,3700,263573.0,EQNE
2007-10-11,76.4,79.5,76.4,79.5,1800,142790.0,EQNE
2007-10-12,76.5,77.98,76.5,77.98,1600,123570.0,EQNE
2007-10-15,79.5,79.8,77.0,79.8,2300,180400.0,EQNE
2007-10-16,72.0,79.0,72.0,79.0,3300,248800.0,EQNE
2007-10-17,78.1,78.1,78.1,78.1,100,7810.0,EQNE
2007-10-19,78.78,94.6,78.78,94.6,59900,4781668.0,EQNE
2007-10-25,91.5,91.5,88.0,88.0,200,17950.0,EQNE
2007-10-26,81.0,89.5,81.0,86.68,4500,385955.0,EQNE
2007-10-29,81.0,85.0,74.0,74.0,3000,238300.0,EQNE
2007-10-30,79.0,84.1,75.3,75.3,2300,191200.0,EQNE
