date,open,high,low,close,volume,value,board
2005-09-15,10,10,10,10.0,10300,103000,EQNE
2005-09-16,13,15,9.5,9.5,2400,27650,EQNE
2005-09-20,10.02,10.02,10.02,10.02,200,2004,EQNE
2005-09-21,11,11,11,11.0,9900,108900,EQNE
2005-09-22,12,14,12,14.0,2300,28200,EQNE
2005-09-28,11,11,11,11.0,4900,53900,EQNE
2005-09-29,11.25,12,11,12.0,15900,182200,EQNE
2005-09-30,11.95,11.95,11.95,11.95,7500,89625,EQNE
2005-10-03,11.89,11.9,11.89,11.9,800,9515,EQNE
2005-10-04,12.52,12.52,12.52,12.52,2000,25040,EQNE
2005-10-06,15,15,11.6,11.6,3000,35165,EQNE
2005-10-07,14,14,14,14.0,4000,56000,EQNE
2005-10-11,14,14,14,14.0,2000,28000,EQNE
2005-11-02,12,12,12,12.0,500,6000,EQNE
2005-11-14,13.98,14,13.98,14.0,5000,69990,EQNE
2005-11-16,15,15,15,15.0,5000,75000,EQNE
2005-11-17,15,15,15,15.0,2000,30000,EQNE
2005-11-18,15,15,15,15.0,3000,45000,EQNE
2005-11-22,14.01,14.5,13.22,14.5,23200,322002,EQNE
2005-11-28,14.1,14.1,14,14.0,31000,434150,EQNE
2005-12-01,14.8,16,14.8,16.0,30000,450900,EQNE
2005-12-02,15.5,15.5,14.5,14.5,1000,15000,EQNE
2005-12-05,15.1,15.1,15.1,15.1,1000,15100,EQNE
2005-12-09,15,16,15,15.5,2100,32455,EQNE
2005-12-15,15.2,15.2,15.2,15.2,500,7600,EQNE
2005-12-16,15.5,15.5,15.5,15.5,700,10850,EQNE
2005-12-19,15.8,15.8,15.8,15.8,1000,15800,EQNE
2005-12-21,14.01,14.01,14,14.0,700,9801,EQNE
2005-12-23,15.79,17.1,15.79,17.1,8200,132680,EQNE
2005-12-28,17.5,17.5,17,17.0,5100,86750,EQNE
2005-12-29,18.3,18.3,18.28,18.3,6500,118948,EQNE
2006-01-10,18.3,18.3,18.3,18.3,100,1830,EQNE
2006-01-11,19.99,20,19.99,20.0,300,5998,EQNE
2006-01-17,19,19,19,19.0,5000,95000,EQNE
2006-01-18,19,19,19,19.0,300,5700,EQNE
2006-01-25,19,19,19,19.0,100,1900,EQNE
2006-01-30,20,20,20,20.0,2200,44000,EQNE
2006-01-31,19,19,19,19.0,5900,112100,EQNE
2006-02-03,16.55,16.55,16.55,16.55,30500,504775,EQNE
2006-02-06,16.7,18.49,16.7,18.48,121200,2133544,EQNE
2006-02-08,18.79,18.79,17.03,18.0,78700,1411175,EQNE
2006-02-09,17.51,17.51,17.51,17.51,30000,525300,EQNE
2006-02-10,18.79,18.79,18.79,18.79,100,1879,EQNE
2006-02-13,18.7,19,18.7,18.71,20000,375240,EQNE
2006-02-14,18.21,18.3,17.58,18.3,39300,710445,EQNE
2006-02-15,17.56,19.97,17.56,19.48,120300,2257652,EQNE
2006-02-16,19.46,19.46,19.45,19.45,80000,1556700,EQNE
2006-02-17,17.04,21.98,16.77,21.98,154400,2821133,EQNE
2006-02-20,22,22,22,22.0,3400,74800,EQNE
2006-02-21,20.5,22.35,17.02,21.0,27800,486315,EQNE
2006-02-22,22.8,22.8,21,21.0,5300,112020,EQNE
2006-02-27,17.62,17.62,17.62,17.62,200,3524,EQNE
2006-02-28,21.87,24,21,22.05,79500,1782835,EQNE
2006-03-01,22.49,22.49,22.49,22.49,67000,1506830,EQNE
2006-03-02,21,21,21,21.0,100,2100,EQNE
2006-03-03,18,22.97,18,22.97,110000,2189257,EQNE
2006-03-06,18.3,25.25,18.3,24.7,237200,5626778,EQNE
2006-03-07,25.5,25.5,25.48,25.5,1300,33148,EQNE
2006-03-09,22.4,24.99,17.14,24.8,107900,2674509,EQNE
2006-03-10,24.5,25,24.5,25.0,1100,27450,EQNE
2006-03-13,25.5,25.5,25.5,25.5,200,5100,EQNE
2006-03-14,25.95,26.25,25.8,26.2,97800,2545035,EQNE
