date,open,high,low,close,volume,value,board
2005-10-25,10.5,10.5,10.5,10.5,100,1050,EQNE
2005-10-31,9.81,9.81,9.81,9.81,500,4905,EQNE
2005-11-01,8,8,8,8.0,9200,73600,EQNE
2005-11-02,8.01,8.01,8.01,8.01,10000,80100,EQNE
2005-11-03,7.52,7.52,7.52,7.52,60000,451200,EQNE
2005-11-08,12,12,12,12.0,9700,116400,EQNE
2005-11-11,13.3,13.3,13.3,13.3,11200,148960,EQNE
2005-11-22,11,12.52,11,12.0,30600,354799,EQNE
2005-11-23,12.8,12.8,12.8,12.8,7900,101120,EQNE
2005-11-25,12,12,12,12.0,30300,363600,EQNE
2005-11-29,11.01,11.53,11.01,11.53,23600,261223,EQNE
2005-11-30,12.55,12.55,12,12.0,5400,64855,EQNE
2005-12-01,13.1,13.1,13.1,13.1,8200,107420,EQNE
2005-12-02,13,13.49,13,13.49,73300,987200,EQNE
2005-12-06,11.51,13.5,11.51,12.02,47500,576120,EQNE
2005-12-07,15,15,15,15.0,100,1500,EQNE
2005-12-08,13.02,13.02,13.02,13.02,2000,26040,EQNE
2005-12-09,14.5,14.5,14.5,14.5,200,2900,EQNE
2005-12-12,13.05,13.05,13,13.0,50000,650051,EQNE
2005-12-13,12.1,12.1,12.1,12.1,500,6050,EQNE
2005-12-14,13,13,13,13.0,400,5200,EQNE
2005-12-15,13.7,15.2,13.7,15.0,38500,576920,EQNE
2005-12-16,14,14.2,14,14.2,3000,42400,EQNE
2005-12-19,11.5,14,11.5,14.0,6300,72700,EQNE
2005-12-20,12.51,12.51,12.51,12.51,62800,785628,EQNE
2005-12-21,13.01,14.3,12.5,14.29,72100,1025400,EQNE
2005-12-22,14,14,13,13.0,2700,37700,EQNE
2005-12-26,14,14,14,14.0,200,2800,EQNE
2005-12-27,12,15,12,14.52,700,9204,EQNE
2005-12-28,14,15.01,14,15.01,4800,67301,EQNE
2006-01-10,17.2,17.2,17.2,17.2,25300,435160,EQNE
2006-01-13,15.02,15.02,15.02,15.02,300,4506,EQNE
2006-01-17,16,16,16,16.0,100,1600,EQNE
2006-01-23,16,16,16,16.0,5000,80000,EQNE
2006-01-24,17.5,17.5,16.02,17.5,30600,498918,EQNE
2006-01-26,15.7,15.7,15.7,15.7,43800,687660,EQNE
2006-01-27,16.5,16.5,16.5,16.5,1500,24750,EQNE
2006-01-31,15.02,15.02,15.02,15.02,7700,115654,EQNE
2006-02-01,14.73,14.73,14.71,14.71,9100,133911,EQNE
2006-02-02,15.02,15.02,15.02,15.02,6100,91622,EQNE
2006-02-03,15.07,15.88,14.67,15.88,66700,1005446,EQNE
2006-02-06,16,16,15.37,15.38,81600,1255600,EQNE
2006-02-07,16,16,15.4,15.4,99200,1557200,EQNE
2006-02-08,15.5,16.47,15.49,16.47,94300,1522204,EQNE
2006-02-09,16.5,16.5,16.05,16.1,73200,1176020,EQNE
2006-02-10,16.2,16.31,16.2,16.31,39500,642270,EQNE
2006-02-13,15.05,16.32,15.05,16.32,33700,534139,EQNE
2006-02-14,16.1,16.29,15.75,16.29,86300,1371618,EQNE
2006-02-15,16.01,16.01,16.01,16.01,17000,272170,EQNE
2006-02-16,17.98,17.98,16.1,16.1,7600,123428,EQNE
2006-02-17,16.2,20.3,16.1,20.3,106600,1830708,EQNE
2006-02-20,20.3,20.98,20.2,20.6,6700,136338,EQNE
2006-02-21,20,20,19.2,19.89,51500,1028450,EQNE
2006-02-22,20,20.5,19.9,19.9,26100,528277,EQNE
2006-02-26,18,18,17.5,17.5,4100,72000,EQNE
2006-02-27,19.93,19.93,19.2,19.49,2000,38763,EQNE
2006-02-28,20,20.77,19.51,20.48,15900,318043,EQNE
2006-03-01,19.5,19.7,19.5,19.7,1500,29450,EQNE
2006-03-02,19.5,19.5,19.5,19.5,1000,19500,EQNE
2006-03-03,20,20,20,20.0,4300,86000,EQNE
2006-03-06,19.6,21.59,19.6,21.5,272900,5707358,EQNE
2006-03-07,22,22,21.26,21.26,25500,547870,EQNE
2006-03-09,21.48,21.6,21.48,21.5,66500,1430323,EQNE
2006-03-10,21.78,22,21.5,21.94,82600,1794251,EQNE
2006-03-13,22,22.9,22,22.9,216400,4831130,EQNE
2006-03-14,22.7,22.7,22.4,22.4,1300,29360,EQNE
2006-03-16,22.5,22.5,22.48,22.48,1100,24748,EQNE
2006-03-17,22.9,22.9,22.9,22.9,300,6870,EQNE
2006-03-20,22.2,22.2,22.2,22.2,200,4440,EQNE
2006-03-21,22.2,22.77,22.2,22.77,700,15654,EQNE
2006-03-23,22.78,22.8,22.78,22.8,200,4558,EQNE
2006-03-24,22.5,23,22.5,23.0,5000,112550,EQNE
2006-03-27,23.2,23.4,23,23.29,30600,715787,EQNE
2006-03-28,23.34,23.34,23.34,23.34,100,2334,EQNE
2006-03-29,23.35,23.78,23.35,23.4,5100,120810,EQNE
2006-03-30,23.8,23.8,23.5,23.79,500,11839,EQNE
2006-03-31,23.78,24,23.75,23.99,41300,983097,EQNE
2006-04-03,24,24,23.8,23.85,41300,985145,EQNE
2006-04-04,24,24.05,24,24.0,52000,1248060,EQNE
2006-04-05,23.6,23.9,23.5,23.9,500,11820,EQNE
2006-04-06,24,24,23.6,23.9,18800,444208,EQNE
2006-04-07,23.7,24.01,23.65,24.01,1700,40296,EQNE
2006-04-10,23.86,23.95,23.86,23.95,200,4781,EQNE
2006-04-13,23.5,23.85,23.5,23.85,4000,95203,EQNE
2006-04-14,23.85,24,23.85,24.0,9900,237360,EQNE
2006-04-18,23.5,23.5,23.5,23.5,5500,129250,EQNE
2006-04-19,18.5,23.9,18.5,23.9,95400,2029860,EQNE
2006-04-25,23.35,23.7,23.35,23.7,30300,707550,EQNE
2006-04-26,23.2,23.5,23.2,23.5,300,6990,EQNE
2006-04-27,23.5,23.5,23.5,23.5,1500,35250,EQNE
2006-04-28,17,23.995,17,23.5,97700,2035995.5,EQNE
2006-05-11,22,22,22,22.0,6800,149600,EQNE
2006-05-12,21,21,21,21.0,2000,42000,EQNE
2006-05-15,23.499,23.499,23.499,23.499,40000,939960,EQNE
2006-05-17,22.5,23.77,22.5,23.77,3000,67627,EQNE
2006-05-24,21.998,21.998,21,21.0,800,16999.6,EQNE
2006-05-25,20.001,20.8,20,20.5,2200,45350.2,EQNE
2006-05-26,20.5,20.999,20.5,20.999,51400,1060419.3,EQNE
