date,open,high,low,close,volume,value,board
2007-10-30,10.0,10.0,10.0,10.0,100,1000.0,EQNE
2007-10-31,10.0,10.0,10.0,10.0,1000,10000.0,EQNE
2007-11-22,10.0,10.0,10.0,10.0,200,2000.0,EQNE
2007-11-28,8.25,8.5,8.25,8.25,97400,810075.0,EQNE
2007-11-29,8.31,8.31,8.31,8.31,5000,41550.0,EQNE
2007-12-03,9.0,9.0,9.0,9.0,1000,9000.0,EQNE
2007-12-07,9.0,9.0,9.0,9.0,200,1800.0,EQNE
2007-12-10,7.77,7.77,6.033,6.033,24600,174052.8,EQNE
2007-12-11,6.381,7.0,6.381,7.0,22600,158043.4,EQNE
2007-12-12,7.1,7.101,7.0,7.0,20400,143840.4,EQNE
2007-12-13,6.82,6.82,6.82,6.82,1000,6820.0,EQNE
2007-12-17,6.55,6.55,6.55,6.55,200,1310.0,EQNE
2007-12-18,6.995,8.881,6.001,6.001,20300,145905.3,EQNE
2007-12-20,7.0,7.1,7.0,7.0,29800,208620.0,EQNE
2007-12-25,7.699,7.699,6.501,6.501,8400,59640.0,EQNE
2007-12-26,7.0,7.0,7.0,7.0,1000,7000.0,EQNE
2007-12-27,7.0,7.0,6.999,6.999,5200,36395.8,EQNE
2007-12-28,7.0,7.1,7.0,7.1,2500,17600.0,EQNE
2008-01-10,7.0,7.0,7.0,7.0,18800,131600.0,EQNE
2008-01-14,7.0,7.0,7.0,7.0,10000,70000.0,EQNE
2008-01-15,6.9,6.901,6.9,6.9,5800,40025.0,EQNE
2008-01-18,6.9,6.9,6.9,6.9,100,690.0,EQNE
2008-01-24,6.999,6.999,6.999,6.999,100,699.9,EQNE
2008-01-28,6.997,6.998,6.8,6.8,100600,703936.2,EQNE
2008-02-07,5.0,5.5,5.0,5.0,1500,7850.0,EQNE
2008-02-20,6.0,7.0,6.0,6.93,33300,225300.0,EQNE
2008-02-21,7.0,7.1,6.0,6.5,24200,157800.1,EQNE
2008-02-22,6.02,7.0,6.02,6.5,28800,190775.0,EQNE
2008-02-26,6.012,6.8,6.0,6.65,123300,794084.9,EQNE
2008-02-27,6.101,6.3,6.1,6.3,5100,31391.0,EQNE
2008-02-28,6.1,6.12,6.1,6.1,13400,81750.0,EQNE
2008-02-29,6.5,6.5,6.0,6.0,42300,262430.1,EQNE
2008-03-04,6.7,6.7,5.111,5.111,400,2381.1,EQNE
2008-03-06,5.02,5.02,5.02,5.02,100,502.0,EQNE
2008-03-13,5.0,5.0,5.0,5.0,100,500.0,EQNE
2008-03-31,5.98,5.98,5.91,5.91,9300,55607.0,EQNE
2008-04-01,5.051,5.051,5.051,5.051,100,505.1,EQNE
2008-04-02,5.99,5.99,5.99,5.99,100,599.0,EQNE
2008-04-09,5.9,5.9,5.9,5.9,2500,14750.0,EQNE
2008-04-11,6.5,6.5,6.5,6.5,100,650.0,EQNE
2008-04-14,5.657,5.657,5.657,5.657,100,565.7,EQNE
2008-04-15,6.3,6.3,6.3,6.3,300,1890.0,EQNE
2008-04-17,6.5,6.5,6.0,6.3,13100,83250.4,EQNE
2008-04-18,6.12,6.12,5.65,6.0,12200,70884.0,EQNE
2008-04-21,5.85,5.85,5.85,5.85,7900,46215.0,EQNE
2008-04-22,6.0,6.0,6.0,6.0,100,600.0,EQNE
2008-04-23,6.45,6.45,5.8,6.0,500,2985.0,EQNE
2008-04-25,5.351,5.999,5.351,5.998,22800,124295.2,EQNE
2008-04-28,6.499,6.499,5.503,5.999,1700,10178.6,EQNE
2008-05-04,5.351,5.979,5.25,5.898,4500,24104.3,EQNE
2008-05-05,5.645,5.886,5.645,5.886,2700,15272.5,EQNE
2008-05-06,5.651,6.5,5.651,6.5,800,4697.1,EQNE
2008-05-12,6.5,6.5,5.9,6.5,800,4860.0,EQNE
2008-05-14,6.0,6.5,6.0,6.5,3100,18650.0,EQNE
2008-05-23,6.0,6.0,5.9,5.9,200,1190.0,EQNE
2008-05-28,6.0,6.0,6.0,6.0,100,600.0,EQNE
2008-05-30,5.8,6.0,5.65,6.0,600,3510.0,EQNE
2008-06-03,5.85,6.0,5.85,6.0,200,1185.0,EQNE
2008-06-06,5.65,5.85,5.6,5.65,43900,252055.0,EQNE
2008-06-07,7.0,7.0,6.0,6.0,1100,6700.0,EQNE
2008-06-09,6.51,6.51,5.65,5.85,4800,27347.2,EQNE
2008-06-11,5.999,5.999,5.6,5.8,10900,61611.9,EQNE
2008-06-16,5.799,5.799,5.65,5.799,6100,34510.7,EQNE
2008-06-17,5.8,6.5,5.8,5.8,500,2972.0,EQNE
2008-06-18,5.799,5.8,5.749,5.8,1000,5779.2,EQNE
2008-06-19,5.9,5.9,5.9,5.9,1200,7080.0,EQNE
2008-06-20,5.9,6.0,5.7,5.7,6700,39610.0,EQNE
2008-06-23,5.9,5.9,5.9,5.9,100,590.0,EQNE
2008-06-24,6.0,6.0,6.0,6.0,400,2400.0,EQNE
2008-06-26,6.0,6.0,6.0,6.0,1000,6000.0,EQNE
2008-06-27,6.0,6.0,6.0,6.0,300,1800.0,EQNE
2008-07-01,6.0,6.0,5.7,5.7,400,2340.0,EQNE
2008-07-02,6.0,6.0,6.0,6.0,500,3000.0,EQNE
2008-07-07,5.65,5.65,5.65,5.65,5500,31075.0,EQNE
2008-07-10,5.5,5.5,5.5,5.5,100,550.0,EQNE
