date,open,high,low,close,volume,value,board
2006-03-14,5.5,6.5,5.5,6.5,300,1800,EQNE
2006-07-27,10,10,10,10.0,600,6000,EQNE
2006-10-20,6,6,6,6.0,300,1800,EQNE
2006-11-02,6,6,6,6.0,2,12,SMAL
2007-03-21,170,170,170,170.0,100,17000,EQNE
2007-03-28,151.781,170,151.001,151.001,500,79378.3,EQNE
2007-03-29,170,170,170,170.0,200,34000,EQNE
2007-03-30,170,170,170,170.0,300,51000,EQNE
2007-04-03,170,170,170,170.0,100,17000,EQNE
2007-04-04,170,175,170,175.0,400,68900,EQNE
2007-04-19,160,160,160,160.0,100,16000,EQNE
2007-04-24,160,160,155,160.0,2400,383450,EQNE
2007-04-25,160,160,159,159.0,500,79600,EQNE
2007-04-27,155,155,155,155.0,100,15500,EQNE
2007-04-28,157,160,157,158.0,300,47500,EQNE
2007-05-02,160,160,160,160.0,2000,320000,EQNE
2007-05-03,160,160,160,160.0,3000,480000,EQNE
2007-05-08,160,160,158,158.0,3200,511600,EQNE
2007-05-11,155,155,155,155.0,100,15500,EQNE
2007-05-31,155,155,155,155.0,800,124000,EQNE
2007-06-28,159,170,159,170.0,5400,906890,EQNE
2007-06-29,170,170,170,170.0,100,17000,EQNE
2007-07-02,170,170,170,170.0,800,136000,EQNE
2007-07-11,170,171,170,171.0,5000,850200,EQNE
2007-07-17,165,165,165,165.0,200,33000,EQNE
2007-07-19,170,170,170,170.0,100,17000,EQNE
2007-07-20,171,172,171,172.0,300,51400,EQNE
2007-07-25,170,170,170,170.0,100,17000,EQNE
2007-07-31,170,170,170,170.0,200,34000,EQNE
2007-08-07,175,175,175,175.0,1000,175000,EQNE
2007-08-08,175,175,175,175.0,500,87500,EQNE
2007-08-17,170,170,155.005,155.02,400,64992.5,EQNE
2007-08-20,200,200,150,167.0,2600,420485,EQNE
2007-08-22,155,155,155,155.0,200,31000,EQNE
2007-08-29,160,160,160,160.0,900,144000,EQNE
2007-08-30,160,160,160,160.0,200,32000,EQNE
2007-09-04,160,160,160,160.0,5000,800000,EQNE
2007-09-10,160,160,160,160.0,800,128000,EQNE
2007-10-03,160,160,160,160.0,1000,160000,EQNE
2007-10-18,154,154,154,154.0,5300,816200,EQNE
2007-11-02,207,210,207,210.0,1600,332200,EQNE
2007-11-14,214,215,214,215.0,1600,343000,EQNE
2007-11-29,172,172.01,172,172.01,2300,395601,EQNE
2007-11-30,177,177.01,177,177.01,1300,230109,EQNE
2007-12-04,176.01,176.01,176.01,176.01,1600,281616,EQNE
2007-12-13,126,126,126,126.0,6,756,SMAL
2007-12-14,180.01,180.011,180,180.011,2900,522019.9,EQNE
2007-12-18,192,192,192,192.0,4500,864000,EQNE
2007-12-24,185,192.5,185,190.0,4500,853500,EQNE
2007-12-26,190,199,190,198.0,2200,427301,EQNE
2007-12-27,199,199.9,199,199.9,800,159290,EQNE
2007-12-28,199,199,199,199.0,800,159200,EQNE
2008-01-11,180,195,180,195.0,2500,480000,EQNE
2008-01-14,200,210,200,210.0,400,81999,EQNE
2008-01-15,198,200,198,200.0,2600,519000,EQNE
2008-01-17,209.9,209.9,201.3,208.0,3800,779899.6,EQNE
2008-01-21,185,185,185,185.0,100,18500,EQNE
2008-01-23,198,198,198,198.0,500,99000,EQNE
2008-01-24,172.01,172.01,172.01,172.01,100,17201,EQNE
2008-01-25,190,190,190,190.0,3400,646000,EQNE
2008-02-14,181,181,181,181.0,100,18100,EQNE
2008-03-04,190,190,190,190.0,700,133000,EQNE
2008-03-06,172,172,172,172.0,400,68800,EQNE
2008-03-07,190,190,190,190.0,1000,190000,EQNE
2008-03-12,140,140,140,140.0,92,12880,SMAL
2008-03-14,198,198,190,190.0,1700,331000,EQNE
2008-03-18,191.01,191.01,191.01,191.01,500,95505,EQNE
2008-03-19,193,193,190,191.01,3700,709702,EQNE
2008-03-20,190,190.03,190,190.01,6300,1197064,EQNE
